,SYMBOL,NAME OF COMPANY,cm18APR2024bhav.csv,cm16APR2024bhav.csv,cm15APR2024bhav.csv,cm12APR2024bhav.csv,cm10APR2024bhav.csv,cm09APR2024bhav.csv,cm08APR2024bhav.csv,cm05APR2024bhav.csv,cm04APR2024bhav.csv,cm03APR2024bhav.csv,cm02APR2024bhav.csv,cm01APR2024bhav.csv
0,20MICRONS,20 Microns Limited,151.7,151.9,151.15,152.55,154.8,153.9,153.35,153.3,154.0,155.2,153.0,149.9
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,794.9,750.0,739.25,752.0,737.0,721.5,721.3,712.0,714.0,719.0,703.0,688.0
3,3IINFOLTD,3i Infotech Limited,39.55,39.8,40.0,41.85,42.55,42.3,43.45,45.1,45.2,44.95,42.95,43.0
4,3MINDIA,3M India Limited,29348.0,29850.0,29151.95,29700.0,29880.0,30000.0,30000.0,30385.0,30200.0,30225.15,30200.0,30699.0
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,560.0,540.0,535.0,553.25,549.0,561.0,562.55,574.0,572.0,597.05,535.5,530.0
8,63MOONS,63 moons technologies limited,401.0,415.0,415.55,398.7,419.65,440.0,444.0,434.55,436.15,441.65,420.65,400.65
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,134.1,111.75,93.15,,,,,,,,,
11,AAKASH,Aakash Exploration Services Limited,10.75,10.35,10.7,11.1,11.05,10.55,11.05,11.6,12.2,11.1,10.15,9.75
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,256.0,259.9,257.35,263.25,261.0,259.25,265.0,271.0,265.8,262.55,264.95,264.0
14,AARTIDRUGS,Aarti Drugs Limited,492.0,494.0,491.0,500.0,508.0,513.1,487.5,491.75,488.5,474.0,465.6,457.1
15,AARTIIND,Aarti Industries Limited,730.0,747.0,734.15,752.0,737.25,699.6,705.15,696.0,690.45,695.95,685.0,686.0
16,AARTIPHARM,Aarti Pharmalabs Limited,503.5,470.75,461.5,450.95,447.5,438.05,448.0,451.15,456.0,456.0,465.0,448.45
17,AARTISURF,Aarti Surfactants Limited,663.0,663.25,669.95,656.0,676.0,618.1,619.25,625.15,619.0,614.35,603.0,581.0
18,AARVEEDEN,Aarvee Denims & Exports Limited,27.65,27.0,26.35,27.35,28.4,29.95,28.65,27.4,27.2,26.75,25.5,24.45
19,AARVI,Aarvi Encon Limited,149.5,154.5,162.7,161.1,136.0,133.1,137.0,137.0,134.0,126.85,126.6,124.0
20,AAVAS,Aavas Financiers Limited,1530.0,1540.3,1550.0,1572.9,1575.0,1588.0,1622.95,1594.45,1460.0,1399.0,1408.0,1422.3
