,SYMBOL,NAME OF COMPANY,cm23AUG2023bhav.csv,cm22AUG2023bhav.csv,cm21AUG2023bhav.csv,cm18AUG2023bhav.csv,cm17AUG2023bhav.csv,cm16AUG2023bhav.csv,cm14AUG2023bhav.csv,cm11AUG2023bhav.csv,cm10AUG2023bhav.csv,cm09AUG2023bhav.csv,cm08AUG2023bhav.csv,cm07AUG2023bhav.csv,cm04AUG2023bhav.csv,cm03AUG2023bhav.csv,cm02AUG2023bhav.csv,cm01AUG2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,19.75,19.5,19.8,19.55,19.35,19.7,19.7,20.0,20.7,20.8,20.9,20.5,20.5,20.4,20.65,20.4
2,360ONE,360 ONE WAM LIMITED,513.0,509.9,512.5,508.0,514.0,519.0,512.0,515.0,505.6,507.0,505.0,500.9,508.65,500.0,503.15,514.0
3,3IINFOLTD,3i Infotech Limited,32.65,32.85,32.1,32.05,32.2,32.15,32.4,32.6,33.1,33.5,34.0,33.85,34.15,34.15,34.5,35.0
4,3MINDIA,3M India Limited,30240.0,29500.0,29284.0,28724.75,29000.1,28550.0,28600.0,29350.0,28225.0,27000.0,27500.0,27400.0,28113.9,28500.0,28200.0,28550.0
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,459.05,465.0,439.0,435.0,441.15,447.0,451.0,449.0,462.0,456.1,454.9,451.7,447.1,450.35,446.6,458.0
8,63MOONS,63 moons technologies limited,329.0,313.95,284.3,291.15,298.0,289.15,263.15,270.0,273.25,278.95,253.6,230.0,231.5,230.05,229.2,233.85
9,A2ZINFRA,A2Z Infra Engineering Limited,9.5,9.1,8.7,8.25,8.15,7.8,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,52.6,52.85,52.8,52.85,52.9,52.75,53.3,53.4,53.1,54.95,54.4,54.85,55.3,54.05,54.5,53.3
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,49.1,52.5,49.1,41.7,41.15,42.0,40.05,38.45,39.45
13,AARON,Aaron Industries Limited,,,,,,,,,,,,,,,,
14,AARTIDRUGS,Aarti Drugs Limited,567.7,571.0,557.5,560.25,562.6,562.45,561.4,571.65,581.95,574.3,578.0,561.0,575.0,594.4,598.0,596.5
15,AARTIIND,Aarti Industries Limited,461.25,452.3,452.55,449.25,458.6,461.9,463.1,457.15,461.8,474.45,473.1,473.25,473.4,474.5,470.95,478.0
16,AARTIPHARM,Aarti Pharmalabs Limited,393.0,379.75,369.0,359.0,356.65,349.2,343.8,342.0,334.9,335.8,340.0,339.9,349.7,347.35,349.4,350.0
17,AARTISURF,Aarti Surfactants Limited,600.9,594.95,594.0,599.9,599.0,600.0,595.15,594.0,587.75,600.0,607.0,596.0,604.5,605.0,608.0,611.0
18,AARVEEDEN,Aarvee Denims & Exports Limited,23.65,24.25,24.0,23.25,22.5,22.4,23.3,23.95,22.85,22.6,23.05,22.95,23.0,23.0,23.2,22.05
19,AARVI,Aarvi Encon Limited,126.25,126.0,125.95,126.65,127.8,126.15,131.0,132.5,131.9,131.45,131.9,132.95,131.95,128.55,126.5,126.0
20,AAVAS,Aavas Financiers Limited,1597.95,1577.0,1567.1,1568.0,1575.0,1585.0,1605.0,1608.9,1600.0,1589.8,1590.0,1569.45,1559.0,1570.0,1564.0,1556.0
21,ABAN,Aban Offshore Limited,45.8,40.85,39.6,39.8,39.85,40.0,40.0,40.3,41.6,40.05,39.55,40.0,40.25,39.8,40.05,41.2
22,ABB,ABB India Limited,4299.05,4324.9,4319.3,4285.0,4307.0,4299.5,4345.55,4510.55,4510.0,4525.0,4475.55,4520.0,4445.0,4370.0,4400.0,4510.1
23,ABBOTINDIA,Abbott India Limited,23239.95,23401.5,23458.35,23425.0,23650.0,23894.95,23504.85,23711.0,24000.0,24100.0,23700.9,23801.0,23896.0,24560.0,24134.0,23980.0
24,ABCAPITAL,Aditya Birla Capital Limited,186.6,186.1,183.15,180.6,180.65,182.2,182.45,183.8,184.95,187.0,185.75,185.45,188.45,192.9,189.75,195.4
25,ABFRL,Aditya Birla Fashion and Retail Limited,218.7,219.05,217.7,214.5,214.35,211.5,211.65,211.75,212.75,216.2,201.65,199.4,207.5,221.5,218.1,221.0
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,393.3,390.05,384.75,390.75,389.25,392.5,398.0,402.8,402.5,400.0,401.9,401.6,408.0,411.25,408.85,417.0
28,ACC,ACC Limited,1970.85,1980.0,1977.0,1933.5,1897.8,1890.15,1907.0,1951.25,1961.25,1986.95,1994.5,2026.05,2039.0,2025.0,1968.3,2012.0
29,ACCELYA,Accelya Solutions India Limited,1568.5,1546.3,1533.0,1460.85,1438.55,1455.0,1387.0,1402.45,1419.95,1426.5,1348.0,1378.0,1378.0,1345.0,1360.0,1365.05
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,778.5,782.2,770.0,793.3,794.0,784.0,774.0,762.0,774.8,795.65,761.0,735.0,721.8,726.2,716.0,726.1
32,ACEINTEG,Ace Integrated Solutions Limited,,,,,,,,,,,,,,,,
33,ACI,Archean Chemical Industries Limited,590.0,581.65,559.0,560.9,554.5,543.0,538.0,519.9,511.3,519.4,518.0,517.5,518.4,509.0,504.9,511.5
34,ACL,Andhra Cements Limited,,,,,,,,,,,,,,,115.75,110.25
35,ADANIENT,Adani Enterprises Limited,2539.0,2694.9,2637.0,2570.95,2477.5,2442.0,2446.95,2538.0,2549.0,2506.0,2477.05,2552.0,2536.15,2535.0,2473.1,2481.9
36,ADANIGREEN,Adani Green Energy Limited,977.0,1016.0,1020.9,999.0,931.45,949.8,953.05,972.0,974.5,971.0,991.0,965.5,1012.0,1041.0,1050.0,1085.0
