,SYMBOL,NAME OF COMPANY,cm20DEC2023bhav.csv,cm19DEC2023bhav.csv,cm18DEC2023bhav.csv,cm15DEC2023bhav.csv,cm14DEC2023bhav.csv,cm13DEC2023bhav.csv,cm12DEC2023bhav.csv,cm11DEC2023bhav.csv,cm08DEC2023bhav.csv,cm07DEC2023bhav.csv,cm06DEC2023bhav.csv,cm05DEC2023bhav.csv,cm04DEC2023bhav.csv,cm01DEC2023bhav.csv
0,20MICRONS,20 Microns Limited,-8.112628937831047,0.3918275958578162,-0.11182555213865733,-0.7216208714959819,-1.5573770491803247,-1.7713365539452557,-1.6886543535619993,3.6652078774617,2.094387042725496,7.1834780005986225,-2.6515151515151416,-2.9686174724342664,0.2266931141966595,-3.894335511982574
1,21STCENMGM,21st Century Management Services Limited,1.9704433497536995,1.8394648829431464,1.8739352640545048,1.9097222222222248,1.946902654867259,1.985559566787006,1.8382352941176472,1.8726591760299627,1.9083969465648856,1.9455252918287937,1.984126984126984,1.8181818181818152,1.851851851851849,1.8867924528301856
2,360ONE,360 ONE WAM LIMITED,-0.9651019147621988,-2.653137918075908,-0.7015448914098135,-5.307420494699641,3.982951205173431,5.578400186205281,-0.31709203402938196,-0.16214964095435944,1.0218408736349383,-1.3011009315574786,6.79986844269035,0.921085387104816,2.8593376579037217,2.3678462210572224
3,3IINFOLTD,3i Infotech Limited,-5.460385438972171,-1.4767932489451387,0.0,5.56792873051225,2.161547212741742,-2.6578073089700904,1.34680134680135,-0.7795100222717181,-1.642935377875137,-1.1904761904761996,4.524886877828054,-1.2290502793296025,0.33632286995515376,-4.0860215053763405
4,3MINDIA,3M India Limited,-2.3896191385613665,1.4618237976789483,-0.5674340918890586,0.1552431071739286,-1.1230711352463376,0.9066023395466027,-1.8604278276616613,1.040352989386811,-0.05206993881781496,2.11468412665734,-1.7556907856493325,0.129008183807163,0.8561057241515669,0.1631881125595289
5,3PLAND,3P Land Holdings Limited,-1.7142857142857115,-0.3795066413662293,1.7374517374517486,-1.3333333333333388,3.5502958579881603,-3.0592734225621308,-2.6070763500931204,-1.4678899082568755,1.4897579143389146,-1.1049723756905974,-1.630434782608706,1.0989010989011014,4.1984732824427535,-1.5037593984962485
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,-1.7268292682926871,0.46064882877585467,1.451725166550652,0.8220551378446161,2.6551404754553825,0.46526054590570715,-0.2989382537882669,-2.089220831651184,-2.11420667852204,0.07909827961242517,1.1298870112988655,-1.710073710073708,-1.1464101816768635,-0.6563073062445667
8,63MOONS,63 moons technologies limited,,,,,,,-5.0,-5.000759993920045,4.995212256623038,4.993297587131379,4.99648135116115,4.996767340906983,4.994181536074476,4.796747967479679
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,-9.273743016759774,1.6467915956842736,0.859106529209622,1.334881021474163,-0.0580046403712264,1.5910430170889907,2.2289156626505955,13.465481886534509,0.41180507892932244,-0.5460750853242398,0.06830601092895787,-0.4081632653061186,-1.8691588785046804,-0.332667997338656
11,AAKASH,Aakash Exploration Services Limited,,,,,,,-5.357142857142857,9.803921568627452,19.718309859154925,19.662921348314605,9.876543209876552,9.459459459459449,6.4748201438848945,-0.7142857142857117
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,-4.6759498023036,-0.08588114050154586,-0.3764544832306523,-1.0162601626016259,1.2692967409948503,0.08583690987124463,-4.131007241606324,7.616011335458732,1.7114033507476132,1.9093078758949837,0.31307550644568055,-0.9485589201021607,0.07301935012780048,-0.6348630509704336
14,AARTIDRUGS,Aarti Drugs Limited,-4.289026275115928,5.02181191031754,4.229671143068627,-1.3662911973299865,-0.4774756072244159,1.0170913285100063,-0.4072681704260628,-1.7846153846153825,-0.6420055029043059,0.9983532317826196,-0.3895837605085047,-1.004770120775396,1.4518121911037798,-0.43059257740413487
15,AARTIIND,Aarti Industries Limited,-5.797339464608302,1.0706282679060388,1.9029093369418133,3.005488282951476,0.5694760820045558,0.5461592670895036,-0.9251178216093481,0.6235180468955747,-1.0428434865733902,-0.060795553239538426,1.4628128304547179,0.8980172490441813,1.6356407012470757,-0.18941102191757342
16,AARTIPHARM,Aarti Pharmalabs Limited,-4.02853124372112,1.664794198753953,3.041464954746367,-1.5642805345488355,-0.38183694530444223,4.768083036003895,-1.2808197246237594,0.3642206748794834,-1.2796108291032173,0.7780027709687806,-0.540597837608652,0.5221097496004238,10.282021151586369,3.3645086845621335
17,AARTISURF,Aarti Surfactants Limited,-2.2474568251715166,0.9071377417044532,0.899237254114817,0.31411082474227536,-1.3898816615042493,-0.07142857142857865,-1.6623741512526307,1.0488958990536241,0.17380312845631582,2.6601784266017803,1.5650741350906094,-1.132014007655354,1.0783668093513448,-1.2759041040227588
18,AARVEEDEN,Aarvee Denims & Exports Limited,-0.5235602094240789,-6.065573770491808,19.84282907662083,3.245436105476676,-3.1434184675834995,-1.1650485436893232,-0.3868471953578391,2.1739130434782634,2.0161290322580645,-1.1952191235059788,-1.1811023622047132,-2.6819923371647616,-1.8796992481203008,6.613226452905821
19,AARVI,Aarvi Encon Limited,-4.7720042417815485,-1.804928844151352,0.9106830122592023,-0.314245810055858,0.3152364273204824,-2.8581150051037696,-1.1436259670366746,3.805865921787722,-4.7872340425532025,1.1092436974789954,-4.186795491143317,-1.2404580152671685,7.267144319344918,-2.592223330009955
20,AAVAS,Aavas Financiers Limited,-2.1320427716555974,-1.7256893116524286,0.630598583578566,-0.3769329896907158,-1.0519604717883329,1.3734044272095653,1.8363115806101356,1.9048257822193813,-0.8149281532730176,0.006652917304246985,0.8149166638720187,3.5381944444444473,0.9994739610731194,-0.962072797999438
21,ABAN,Aban Offshore Limited,,,,,,,,,,,,,,
22,ABB,ABB India Limited,-4.641502805360656,-1.0115784305703261,1.1023556906785643,0.8909940739504367,0.5254491488982196,0.975366954016906,-1.3693765210942515,0.8437262998230425,0.04215140785702242,0.13506668917779305,-2.23249288160774,4.661231981860397,5.5501737990768705,-0.7353357090333164
23,ABBOTINDIA,Abbott India Limited,-3.3494525647043347,0.5353309657906206,0.376738283659693,-0.20754551050919326,-0.1705379737806032,-0.1934282584885058,-0.9613152510896394,0.8248753171756027,-0.9335425208248522,-0.020149016056373124,-0.14019631811583702,-1.2321171002724474,-1.1856246964674084,-0.5278269618128911
24,ABCAPITAL,Aditya Birla Capital Limited,-4.734446130500766,-0.6931886678722156,0.18115942028986196,-0.4209260372820307,1.3715330691862235,0.18320610687023595,-1.0275007555152547,1.3786764705882355,-2.040816326530616,-3.7272464605605413,0.3188405797101515,-0.028977108084619743,1.5597410241318455,1.1309523809523845
25,ABFRL,Aditya Birla Fashion and Retail Limited,-5.909090909090912,-1.0494752623688108,0.36543422184006635,1.4834205933682398,0.7029876977152875,-1.2152777777777826,-1.7274472168905879,0.2137208805300278,-2.2152560083594617,0.6732589943193749,-1.1439267886855242,3.420090342009042,0.4537597234226374,-0.1510248112189835
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,0.7566876265586724,-1.3354363827549995,3.167715339553053,-0.15164644714039113,-0.06494912318682713,-0.398921832884102,-0.4187245007515544,1.3162188621777464,-1.5211569362613868,0.5168515128674442,0.4869075957584938,2.1779988944168096,0.9036144578313279,-0.14481452601092437
28,ACC,ACC Limited,-5.270684371807963,-1.542071739859202,1.1255000339006076,-0.9824105983977207,2.2937459939566143,0.4022156335470823,-0.17208149779735685,1.9365703059219586,-0.17510681515724588,0.6249265828732612,-2.5883376052728018,8.185194355038385,6.275490067096435,1.3169470288715335
29,ACCELYA,Accelya Solutions India Limited,-1.8714663994847107,-0.0929500929500897,2.5404157043879807,2.7883492218998454,1.0855488687438104,-3.0323176361957493,-1.6563146997929574,-1.0067958721369241,-0.00719088196168241,-0.7210422987685104,0.2648437779607062,0.4927348582937642,0.808527609586316,0.0
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,-2.8520179372197334,-0.724164539680658,-1.352617402506143,4.4462112409026995,0.2329430515539726,1.727363432277379,-1.2622375469490794,-0.3680755781853874,-2.4884847759765587,4.651308376111177,-1.510574018126888,-1.0915965361629385,-0.34034277379361466,-1.855055174470618
32,ACEINTEG,Ace Integrated Solutions Limited,-7.973421926910302,-4.038257173219976,-8.90609874152953,11.675675675675674,10.381861575179,6.075949367088604,8.367626886145397,0.5517241379310424,0.13812154696131812,3.4285714285714364,2.18978102189781,-0.5805515239477586,1.026392961876837,1.488095238095238
33,ACI,Archean Chemical Industries Limited,1.3261533515511976,1.7334423548650897,-2.998096446700504,3.208906352324824,0.3449975357318727,-1.830497540520911,-3.3813790416829055,3.133788670148654,1.658225780101287,3.8601849495206584,-3.139124003615749,0.4540201419844807,2.4179912073047123,1.1113010771071978
34,ACL,Andhra Cements Limited,-7.453416149068327,-1.2269938650306673,-0.39284155390659353,-1.2925463162429989,2.7445772465692735,5.118659841786878,-4.827280779450844,6.059182714889622,9.969008264462815,2.814657461497601,-0.4756871035940684,0.6918573709419814,-1.1572856391372903,0.4756871035940834
35,ADANIENT,Adani Enterprises Limited,-5.351466213344669,-1.3202039857746732,-0.37435657463735117,3.3776195988320863,0.6608580720335298,0.6088919216839043,0.0647804468099975,1.192353347625041,-2.251355142614689,0.11095892785936902,-2.5478567928768174,16.91490202275601,7.131671392897957,0.1759555659197234
36,ADANIGREEN,Adani Green Energy Limited,-5.199764982373669,0.46896008920079124,-0.13100579700651752,1.2166014718557407,5.6454437206696015,-2.4728465059088767,-4.320261437908491,-1.3094239824550058,-4.5469938121479005,3.882439476798109,15.939933259176867,20.0,9.473940574768632,-0.22356143079315266
