,SYMBOL,NAME OF COMPANY,cm20DEC2023bhav.csv,cm19DEC2023bhav.csv,cm18DEC2023bhav.csv,cm15DEC2023bhav.csv,cm14DEC2023bhav.csv,cm13DEC2023bhav.csv,cm12DEC2023bhav.csv,cm11DEC2023bhav.csv,cm08DEC2023bhav.csv,cm07DEC2023bhav.csv,cm06DEC2023bhav.csv,cm05DEC2023bhav.csv,cm04DEC2023bhav.csv,cm01DEC2023bhav.csv
0,20MICRONS,20 Microns Limited,164.9,178.15,181.3,179.0,181.0,182.55,186.0,189.1,183.1,179.05,168.0,172.5,177.15,176.0
1,21STCENMGM,21st Century Management Services Limited,31.05,30.45,29.9,29.35,28.8,28.25,27.7,27.2,26.7,26.2,25.7,25.2,24.75,24.3
2,360ONE,360 ONE WAM LIMITED,642.8,647.0,666.5,661.7,710.0,681.0,649.0,643.0,646.1,640.0,644.45,609.2,633.5,587.0
3,3IINFOLTD,3i Infotech Limited,43.85,46.85,47.2,47.25,45.15,44.05,45.35,44.6,45.25,45.75,45.75,44.4,44.75,44.95
4,3MINDIA,3M India Limited,30554.9,31233.35,30850.0,31200.0,31126.55,31290.05,31280.0,31735.0,31400.0,31500.0,30855.1,31449.0,31115.9,30600.0
5,3PLAND,3P Land Holdings Limited,25.4,26.4,26.3,25.8,26.3,25.2,26.2,26.6,26.55,26.7,27.8,27.85,27.3,25.8
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,508.75,515.0,510.0,505.0,500.05,487.0,484.0,485.0,495.5,505.45,507.0,501.0,508.9,518.95
8,63MOONS,63 moons technologies limited,,,,,,,593.75,625.0,657.9,626.6,596.8,568.4,541.35,516.6
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,81.0,90.0,87.75,87.85,86.3,86.1,84.65,82.6,74.0,72.85,73.2,73.4,73.5,74.6
11,AAKASH,Aakash Exploration Services Limited,,,,,,,13.15,14.0,12.75,10.65,8.9,8.1,7.4,7.0
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,278.6,293.5,293.5,295.0,296.0,291.0,292.0,301.0,280.05,277.0,272.05,270.5,275.0,274.0
14,AARTIDRUGS,Aarti Drugs Limited,494.85,518.7,493.0,473.7,481.6,482.5,477.0,478.5,487.15,490.5,486.85,485.3,493.8,486.2
15,AARTIIND,Aarti Industries Limited,572.95,608.1,601.0,592.0,573.75,569.85,566.0,573.25,570.0,575.0,577.0,567.0,562.0,555.5
16,AARTIPHARM,Aarti Pharmalabs Limited,481.0,495.2,490.0,475.55,481.85,485.0,462.0,465.0,467.0,471.0,467.9,471.25,468.0,431.0
17,AARTISURF,Aarti Surfactants Limited,617.8,635.0,629.1,624.0,629.0,636.2,631.95,643.95,636.5,637.0,617.9,609.75,618.0,608.5
18,AARVEEDEN,Aarvee Denims & Exports Limited,28.65,28.55,30.5,25.2,24.9,25.35,25.55,26.0,25.15,24.25,25.55,25.05,26.25,26.45
19,AARVI,Aarvi Encon Limited,135.5,141.8,144.0,143.0,143.0,143.5,147.05,148.5,143.35,150.3,148.05,155.55,156.8,147.5
20,AAVAS,Aavas Financiers Limited,1488.5,1532.0,1560.0,1543.95,1558.0,1568.6,1549.0,1518.25,1495.0,1508.5,1499.0,1493.95,1439.0,1426.0
21,ABAN,Aban Offshore Limited,,,,,,,,,,,,,,
22,ABB,ABB India Limited,4592.4,4840.0,4883.0,4824.95,4815.0,4769.0,4707.85,4787.0,4749.0,4760.0,4750.0,4855.0,4639.0,4380.0
23,ABBOTINDIA,Abbott India Limited,22134.35,22930.0,22771.0,22689.0,22800.0,22924.0,22887.75,23060.0,22899.9,23100.0,23085.0,23159.7,23500.0,23654.9
24,ABCAPITAL,Aditya Birla Capital Limited,156.7,165.1,166.0,165.2,166.4,164.1,163.75,165.55,163.45,166.7,173.15,172.2,172.9,169.6
25,ABFRL,Aditya Birla Fashion and Retail Limited,217.45,230.75,233.0,232.2,229.0,228.0,230.45,235.0,234.6,239.7,239.0,241.55,232.45,231.05
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,471.75,469.0,475.0,462.0,460.0,462.15,462.55,465.0,458.8,466.1,465.9,465.0,451.5,448.7
28,ACC,ACC Limited,2074.0,2207.0,2240.0,2217.65,2230.0,2179.0,2175.6,2179.0,2132.0,2140.3,2130.0,2184.0,2023.0,1900.5
29,ACCELYA,Accelya Solutions India Limited,1355.5,1400.0,1398.0,1370.0,1330.0,1315.0,1359.0,1377.0,1389.0,1392.0,1404.0,1398.45,1400.0,1379.0
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,818.0,841.95,843.2,847.7,819.0,813.65,804.0,812.0,815.0,832.9,795.6,816.05,820.9,825.15
32,ACEINTEG,Ace Integrated Solutions Limited,41.8,45.25,46.95,51.55,49.9,42.5,39.85,36.6,36.1,36.45,35.0,34.25,34.5,34.5
33,ACI,Archean Chemical Industries Limited,632.5,623.0,609.5,629.8,614.0,609.0,623.0,641.9,621.1,613.0,591.0,610.0,606.9,592.5
34,ACL,Andhra Cements Limited,104.0,114.0,114.65,114.3,116.15,113.4,107.6,112.3,106.45,96.7,94.4,94.25,94.0,95.0
35,ADANIENT,Adani Enterprises Limited,2775.0,2940.0,2974.0,2987.0,2893.0,2887.0,2855.0,2862.0,2829.9,2892.3,2893.0,2971.0,2523.0,2359.0
36,ADANIGREEN,Adani Green Energy Limited,1452.0,1535.0,1529.0,1517.0,1504.0,1426.0,1461.9,1532.85,1556.0,1631.0,1575.0,1348.5,1124.0,1021.95
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,1007.0,1075.0,1090.0,1078.0,1073.0,1074.0,1039.55,1033.4,1021.1,1044.0,1020.5,1010.0,878.7,827.0
38,ADANIPOWER,Adani Power Limited,,,,,,507.0,517.65,523.5,535.85,562.25,565.0,535.95,464.55,439.9
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,,
