,SYMBOL,NAME OF COMPANY,cm20FEB2024bhav.csv,cm19FEB2024bhav.csv,cm16FEB2024bhav.csv,cm15FEB2024bhav.csv,cm14FEB2024bhav.csv,cm13FEB2024bhav.csv,cm12FEB2024bhav.csv,cm09FEB2024bhav.csv,cm08FEB2024bhav.csv,cm07FEB2024bhav.csv,cm06FEB2024bhav.csv,cm05FEB2024bhav.csv,cm02FEB2024bhav.csv,cm01FEB2024bhav.csv
0,20MICRONS,20 Microns Limited,2.032913843175222,0.3562176165802998,0.2923026956804268,-0.8692852543464408,4.12336573918874,-0.3341129301703976,-4.285257435241439,-2.2812500000000036,-0.5593536357986363,3.6392914653784256,-1.491116751269032,-3.608562691131502,-1.5356820234869082,-1.7455621301775082
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,0.49857549857549854,1.3864818024263466,-2.9708520179372258,0.8123189941371759,2.3348272372415755,6.7026610104126565,-0.9246523001681116,-0.2819477253676786,2.029233400715278,2.322991249005572,2.1121039805036554,1.7439457806430205,-2.032388663967604,-0.4112571566809055
3,3IINFOLTD,3i Infotech Limited,-0.7547169811320728,-0.4694835680751174,-3.357531760435574,11.87817258883249,2.711157455682997,-0.6217616580310822,-3.9800995024875623,-6.944444444444445,-9.547738693467341,2.2260273972602813,4.099821746880565,-1.405975395430575,-1.0434782608695676,-6.580016246953692
4,3MINDIA,3M India Limited,1.5078399917201313,0.06812882010917735,0.35403001459967814,-0.5134543457011574,-1.6646992563029994,-1.0112400193126398,-2.6039552548582914,-1.4177596709359936,-2.5330670406930365,2.5643618908168775,2.2923972273821467,-1.4842342890522384,-2.766105044247906,-1.7568409993504484
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,0.5039719825745164,3.0545774647887365,-1.3032145960034751,6.751994064181038,-2.35464589748234,-2.5419240953221496,-3.730138499447709,-1.6709833737154314,-0.20011673476193312,0.2675361591840185,-1.8544350537458059,-2.379045177827623,2.6054080710117566,1.1052019278710281
8,63MOONS,63 moons technologies limited,,,,,,,,,,,,,,
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,,,,,
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,0.059066745422329474,1.7835671342685326,1.2375735443294833,0.77693723164996,-3.2634493670886076,-2.2050290135396478,-3.3825453186320353,1.7687333586915308,-2.1949404761904887,1.1667293940534524,-1.4831294030404154,-0.8638117993016072,0.27644673792849245,-2.4977538185085315
14,AARTIDRUGS,Aarti Drugs Limited,0.4619791185438419,2.113406925181608,-1.119507416736636,0.19629837352777493,1.2588736393752915,0.5998857360502717,-1.3804113062259409,-0.35557219051183253,0.30974281959826866,-1.1046133853151272,3.4770915377965657,2.198880926671234,-3.358315150365228,0.0759517706256484
