,SYMBOL,NAME OF COMPANY,cm21FEB2024bhav.csv,cm20FEB2024bhav.csv,cm19FEB2024bhav.csv,cm16FEB2024bhav.csv,cm15FEB2024bhav.csv,cm14FEB2024bhav.csv,cm13FEB2024bhav.csv,cm12FEB2024bhav.csv,cm09FEB2024bhav.csv,cm08FEB2024bhav.csv,cm07FEB2024bhav.csv,cm06FEB2024bhav.csv,cm05FEB2024bhav.csv,cm02FEB2024bhav.csv,cm01FEB2024bhav.csv
0,20MICRONS,20 Microns Limited,154.0,158.0,155.35,155.0,153.25,155.7,150.6,149.05,156.0,162.9,160.6,154.55,157.0,163.9,166.15
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,718.0,706.0,699.0,695.0,713.0,707.15,691.45,649.9,644.65,646.4,639.0,628.25,615.5,606.0,618.0
3,3IINFOLTD,3i Infotech Limited,51.4,52.65,53.05,53.25,55.5,49.4,48.0,48.45,50.4,53.85,59.5,58.5,56.2,57.0,57.5
4,3MINDIA,3M India Limited,30930.0,31350.0,30800.0,30855.0,30849.9,30890.0,31490.0,31750.0,33048.85,33002.0,33985.0,33266.25,32370.05,32830.0,33701.0
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,584.0,590.9,587.0,568.0,575.0,537.0,556.0,570.0,587.05,600.0,602.9,600.0,610.1,622.0,612.0
8,63MOONS,63 moons technologies limited,,,,,,,,,,,,,,,
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,,,,,,
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,258.0,255.95,257.95,250.0,248.25,246.0,251.15,260.0,265.0,261.5,267.1,264.2,270.0,272.4,273.9
14,AARTIDRUGS,Aarti Drugs Limited,537.0,540.95,541.4,529.3,535.05,531.05,527.0,525.0,533.55,536.0,532.45,538.4,520.05,511.0,524.05
15,AARTIIND,Aarti Industries Limited,687.2,706.3,689.3,694.7,682.0,670.0,663.4,675.0,663.05,635.8,665.9,661.0,642.8,644.2,642.9
16,AARTIPHARM,Aarti Pharmalabs Limited,530.7,533.0,535.95,536.9,521.0,505.0,515.0,497.3,510.0,519.45,560.0,549.9,524.05,519.9,514.95
17,AARTISURF,Aarti Surfactants Limited,685.0,687.55,689.25,682.0,681.3,672.9,679.0,675.0,699.9,716.0,716.5,728.0,736.0,717.0,698.0
18,AARVEEDEN,Aarvee Denims & Exports Limited,33.85,35.25,36.6,36.3,36.3,35.45,35.15,37.3,37.6,35.9,38.6,39.0,42.7,35.6,34.7
19,AARVI,Aarvi Encon Limited,139.0,137.0,138.75,136.15,136.45,137.0,138.85,133.3,136.85,142.0,148.95,149.5,149.8,150.95,149.9
20,AAVAS,Aavas Financiers Limited,1449.9,1434.15,1441.0,1423.0,1419.0,1439.0,1403.15,1387.0,1408.0,1421.0,1439.0,1454.0,1440.0,1488.0,1510.0
21,ABAN,Aban Offshore Limited,,,,,,,,,,,86.1,88.6,80.35,84.8,81.8
22,ABB,ABB India Limited,5003.95,4528.85,4498.0,4516.0,4472.05,4563.95,4460.0,4440.0,4482.0,4452.0,4565.0,4410.0,4358.0,4485.0,4520.0
23,ABBOTINDIA,Abbott India Limited,29042.5,29249.0,29505.95,29461.7,29315.95,29290.0,28900.0,28598.75,28060.0,28278.0,28740.0,28345.0,27984.9,28100.0,25801.1
24,ABCAPITAL,Aditya Birla Capital Limited,183.0,183.9,184.9,185.7,181.5,182.9,180.2,179.8,187.9,187.85,188.0,180.25,178.2,180.0,167.0
25,ABFRL,Aditya Birla Fashion and Retail Limited,226.85,237.0,235.6,230.8,237.7,245.1,242.0,240.0,251.6,259.7,262.9,254.85,249.8,248.55,242.7
26,ABMINTLLTD,ABM International Limited,59.0,60.55,58.0,57.1,56.9,59.0,56.35,61.8,68.65,61.5,66.45,66.35,64.7,62.25,61.0
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,494.15,482.0,483.0,479.2,475.35,467.0,464.6,471.5,480.85,486.15,488.1,489.6,482.0,480.0,471.8
28,ACC,ACC Limited,2660.0,2687.0,2672.05,2721.5,2639.75,2627.0,2610.15,2625.0,2629.7,2520.0,2514.85,2527.0,2481.95,2500.0,2520.3
29,ACCELYA,Accelya Solutions India Limited,1897.7,1954.0,2001.0,2000.05,2066.0,1975.0,1862.0,1854.95,1824.0,1892.0,1831.5,1825.0,1770.0,1809.9,1810.0
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,1111.0,1132.0,1168.55,1175.0,1154.0,1178.0,1145.0,1107.7,1102.0,1144.0,1120.0,990.0,997.0,954.0,970.0
32,ACEINTEG,Ace Integrated Solutions Limited,38.35,38.25,39.85,39.5,39.1,40.5,38.55,38.4,39.5,41.05,40.55,39.5,38.65,40.5,40.3
33,ACI,Archean Chemical Industries Limited,759.5,740.0,721.0,657.0,631.4,639.0,650.0,640.4,639.0,629.0,623.0,615.3,628.85,619.0,628.0
34,ACL,Andhra Cements Limited,115.3,116.0,117.9,118.95,122.0,122.0,118.3,122.6,122.9,119.8,120.4,122.0,122.8,121.8,122.7
35,ADANIENT,Adani Enterprises Limited,3226.95,3235.0,3265.0,3223.2,3190.4,3202.0,3180.0,3166.0,3215.0,3179.0,3233.0,3200.65,3175.25,3157.0,3154.85
36,ADANIGREEN,Adani Green Energy Limited,1901.1,1927.0,1963.0,1900.0,1899.0,1853.8,1820.0,1852.0,1880.85,1830.0,1872.0,1718.0,1667.0,1672.0,1665.0
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,1290.0,1302.8,1311.0,1310.1,1266.2,1268.0,1270.95,1249.85,1272.4,1247.8,1256.25,1274.0,1262.0,1262.5,1220.75
38,ADANIPOWER,Adani Power Limited,,,,,,,,,,,,,,,
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,,,
40,ADFFOODS,ADF Foods Limited,193.5,194.0,196.8,194.6,193.15,189.2,187.7,186.25,197.5,197.0,199.4,200.25,202.0,203.45,205.45
41,ADL,Archidply Decor Limited,,,,,,,,,,,,,,,
42,ADORWELD,Ador Welding Limited,1454.0,1472.0,1458.0,1447.3,1452.0,1449.0,1443.0,1450.0,1484.0,1478.0,1475.0,1450.0,1450.0,1526.45,1650.0
43,ADROITINFO,Adroit Infotech Limited,,,,,,,,,,,,,,,
44,ADSL,Allied Digital Services Limited,156.5,158.85,160.75,160.2,166.0,155.9,161.95,154.0,160.0,164.0,165.5,172.0,161.05,166.95,175.9
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,165.9,164.95,157.8,157.15,159.0,154.0,154.0,159.4,152.0,159.9,158.6,157.45,158.7,156.25,154.4
46,ADVENZYMES,Advanced Enzyme Technologies Limited,405.0,400.95,408.9,409.0,410.55,410.15,416.2,382.85,382.0,374.1,392.0,387.0,380.0,388.0,377.0
47,AEGISCHEM,Aegis Logistics Limited,456.1,465.0,470.0,433.35,428.8,392.0,400.9,365.0,374.5,383.45,376.2,383.0,398.0,375.0,390.5
48,AETHER,Aether Industries Limited,861.5,867.6,870.9,863.0,865.0,854.5,864.0,860.0,866.0,868.0,876.0,857.0,837.0,853.4,870.0
49,AFFLE,Affle (India) Limited,1127.0,1145.0,1165.0,1162.5,1182.8,1139.5,1135.0,1110.0,1123.95,1158.25,1186.7,1187.0,1198.0,1230.0,1213.5
50,AGARIND,Agarwal Industrial Corporation Limited,981.0,999.0,1008.0,1015.0,976.0,997.0,1046.1,1025.0,1072.2,1083.75,1081.0,1086.0,1095.0,1097.0,1135.0
51,AGI,AGI Greenpac Limited,804.7,825.05,821.1,772.1,777.7,783.55,779.95,779.65,823.0,842.5,851.1,819.35,794.0,794.0,780.8
52,AGRITECH,Agri-Tech (India) Limited,197.0,198.0,191.4,199.4,197.0,190.5,196.0,195.05,202.0,205.45,201.9,211.15,209.4,216.0,212.9
53,AGROPHOS,Agro Phos India Limited,50.0,49.75,49.85,49.25,49.65,52.7,48.55,49.95,53.9,56.8,55.7,57.0,60.2,55.8,46.45
54,AGSTRA,AGS Transact Technologies Limited,,,,,,,,,,,,,,,
55,AHL,Abans Holdings Limited,309.0,314.9,316.9,314.6,316.15,316.5,316.5,325.0,324.2,316.25,318.5,325.0,322.15,319.0,321.95
56,AHLADA,Ahlada Engineers Limited,124.3,126.65,126.9,133.05,138.0,138.0,128.25,131.0,138.5,139.2,142.9,143.0,132.55,131.85,126.8
57,AHLEAST,Asian Hotels (East) Limited,161.7,161.95,160.8,157.0,152.0,142.85,150.0,150.0,174.55,178.0,175.0,168.5,171.5,171.3,167.0
58,AHLUCONT,Ahluwalia Contracts (India) Limited,1155.2,1080.0,1073.8,1015.05,999.0,1000.0,898.7,885.5,899.0,902.45,899.0,885.1,882.0,858.9,879.8
59,AIAENG,AIA Engineering Limited,3799.95,3865.0,3916.55,3835.25,3850.0,3950.0,3977.0,3909.0,3919.0,3939.95,4150.0,4378.0,4380.0,4485.0,4289.0
60,AIRAN,Airan Limited,,,,,,,,,,,,,,,
61,AIROLAM,Airo Lam limited,172.65,190.3,157.15,163.0,153.6,146.0,146.9,139.0,147.0,150.0,154.0,147.0,150.35,159.2,167.0
62,AJANTPHARM,Ajanta Pharma Limited,2125.0,2115.0,2136.1,2150.0,2144.05,2122.95,2152.0,2175.0,2151.0,2200.0,2262.0,2262.1,2159.35,2165.0,2185.0
63,AJMERA,Ajmera Realty & Infra India Limited,728.0,710.95,705.0,725.0,730.65,679.0,687.0,684.8,624.0,660.0,684.0,710.5,591.9,602.7,576.0
64,AJOONI,Ajooni Biotech Limited,,,,,,,,,,,,,,,
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED,,,,,,,,,,,,,,,
66,AKASH,Akash Infra-Projects Limited,,,,,,,,,,,,,,,
67,AKG,Akg Exim Limited,22.9,23.2,23.6,23.5,20.75,20.95,20.6,21.25,22.2,22.65,23.0,22.95,22.7,23.0,23.0
68,AKI,AKI India Limited,,,,,,,,,,,,,,,
69,AKSHAR,Akshar Spintex Limited,,,,,,,,,,,,,,,
70,AKSHARCHEM,AksharChem India Limited,297.0,267.8,263.0,263.95,265.15,266.0,264.9,265.15,268.4,277.7,276.05,278.85,273.5,277.85,276.9
71,AKSHOPTFBR,Aksh Optifibre Limited,,,,,,,,,,,,,,,
72,AKZOINDIA,Akzo Nobel India Limited,2780.0,2822.95,2814.8,2834.7,2800.0,2805.0,2750.0,2790.0,2890.0,2850.0,2869.0,2890.0,2745.0,2680.0,2610.0
73,ALANKIT,Alankit Limited,,,,,,,,,,,,,,,
74,ALBERTDAVD,Albert David Limited,1381.0,1373.0,1406.0,1407.0,1366.9,1354.95,1339.55,1350.0,1365.55,1385.75,1415.0,1410.0,1436.0,1420.0,1398.5
75,ALEMBICLTD,Alembic Limited,103.15,101.5,102.35,102.0,97.5,100.9,97.5,98.2,101.9,105.0,101.8,103.5,101.6,96.2,98.05
76,ALICON,Alicon Castalloy Limited,929.0,935.1,933.0,923.25,919.0,910.0,881.15,901.0,967.0,963.15,989.5,956.05,975.0,1005.1,992.0
77,ALKALI,Alkali Metals Limited,118.9,118.7,121.9,122.4,124.5,124.0,119.35,123.35,129.6,137.2,134.85,142.0,139.7,144.8,144.0
78,ALKEM,Alkem Laboratories Limited,5400.0,5416.0,5470.0,5442.0,5327.0,5244.0,5298.0,5140.95,5342.0,5311.0,5149.65,5065.05,4915.8,4920.0,4840.0
