,Index Name,ind_close_all_29042024.csv,ind_close_all_26042024.csv,ind_close_all_25042024.csv,ind_close_all_24042024.csv,ind_close_all_23042024.csv,ind_close_all_22042024.csv,ind_close_all_19042024.csv,ind_close_all_18042024.csv,ind_close_all_16042024.csv,ind_close_all_15042024.csv,ind_close_all_12042024.csv,ind_close_all_10042024.csv,ind_close_all_09042024.csv,ind_close_all_08042024.csv,ind_close_all_05042024.csv,ind_close_all_04042024.csv,ind_close_all_03042024.csv,ind_close_all_02042024.csv,ind_close_all_01042024.csv
0,Nifty 50,1,-.67,.75,.15,.14,.86,.69,-.69,-.56,-1.1,-1.03,.49,-.1,.68,0,.36,-.08,-.04,.61
1,Nifty Next 50,.55,.68,.67,.76,.18,1.29,-.16,-.11,.08,-1.68,-.41,.85,-.32,.47,.86,-.42,.27,1.01,1.67
2,Nifty 100,.91,-.42,.7,.22,.16,.96,.53,-.57,-.42,-1.24,-.94,.54,-.13,.6,.15,.3,-.01,.14,.81
3,Nifty 200,.83,-.23,.66,.31,.3,.94,.35,-.56,-.37,-1.29,-.89,.6,-.16,.51,.21,.26,.07,.29,.95
4,Nifty 500,.73,-.14,.66,.38,.38,.93,.3,-.48,-.27,-1.29,-.81,.6,-.14,.5,.24,.29,.17,.38,1.17
5,Nifty Midcap 50,.5,.85,.45,.88,.73,.63,-.67,-.57,-.55,-1.48,-.35,1.12,-.11,-.15,.27,-.11,.24,1.09,1.82
6,NIFTY Midcap 100,.42,.79,.47,.76,1.06,.82,-.61,-.49,-.09,-1.57,-.62,.97,-.29,.04,.56,.01,.52,1.16,1.74
7,NIFTY Smallcap 100,.22,.56,.84,.36,1.23,1.31,-.1,-.28,.75,-1.73,-.45,.73,.27,.32,.84,.45,1.16,1.22,3.26
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.15,-.28,1.27,-.08,.47,.94,.41,-.84,.1,-.78,-.61,-.06,-.31,2.16,-.24,.45,-.27,1.07,-.16
10,Nifty Bank,2.54,-.61,.63,.46,.1,.74,1.07,-.87,-.6,-1.63,-.86,.53,.31,.18,.9,.92,.17,-.07,.96
11,Nifty Energy,.96,-.05,1.08,.29,-.31,.54,0,-.89,.21,-.32,-.91,1.07,-.65,1.27,-.2,-.44,.03,.52,1.2
12,Nifty Financial Services,2.14,-.89,.48,.51,.04,.72,1.31,-.95,-.22,-1.75,-.9,.16,.36,.22,.86,.83,.22,-.22,1
