,Index Name,ind_close_all_22042025.csv,ind_close_all_21042025.csv,ind_close_all_17042025.csv,ind_close_all_16042025.csv,ind_close_all_15042025.csv,ind_close_all_11042025.csv,ind_close_all_09042025.csv,ind_close_all_08042025.csv,ind_close_all_07042025.csv,ind_close_all_04042025.csv,ind_close_all_03042025.csv,ind_close_all_02042025.csv,ind_close_all_01042025.csv
0,Nifty 50,.17,1.15,1.77,.47,2.19,1.92,-.61,1.69,-3.24,-1.49,-.35,.72,-1.5
1,Nifty Next 50,.22,1.79,.72,.67,3.09,1.33,-.24,2.12,-3.13,-2.59,.03,1.15,-1.06
2,Nifty 100,.18,1.26,1.59,.5,2.35,1.82,-.54,1.76,-3.22,-1.68,-.29,.79,-1.43
3,Nifty 200,.28,1.46,1.42,.54,2.44,1.82,-.54,1.82,-3.29,-1.88,-.21,.93,-1.34
4,Nifty 500,.36,1.5,1.3,.59,2.54,1.95,-.61,1.87,-3.36,-2.06,-.1,.92,-1.26
5,Nifty Midcap 50,1.06,2.45,.63,.52,2.75,1.68,-.23,2.24,-3.39,-2.87,-.04,1.69,-.96
6,NIFTY Midcap 100,.78,2.5,.6,.71,2.92,1.85,-.51,2.11,-3.63,-2.91,.21,1.61,-.86
7,NIFTY Smallcap 100,.73,2.21,.37,1.05,3.08,2.88,-.86,2.13,-3.88,-3.56,.58,1.12,-.7
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.36,2.12,1.03,-.43,3.39,2.03,.01,1.63,-3.78,-2.7,-1.14,.82,-.28
10,Nifty Bank,.62,1.87,2.21,1.41,2.7,1.52,-.54,1.31,-3.19,-.18,.49,1.02,-1.43
11,Nifty Energy,-.36,2.5,1.02,1.06,2.15,2.7,-.97,1.44,-2.77,-3.73,.29,.52,-.84
12,Nifty Financial Services,.72,1.39,2.27,.84,2.95,1.75,-.69,1.64,-3.49,.2,-.1,.9,-2.18
13,Nifty FMCG,1.89,-.96,.58,.8,.28,.86,1.78,1.99,-1.1,.04,.19,1.13,-.91
14,Nifty IT,-.57,2.29,.23,.06,1.63,.69,-2.19,1.76,-2.51,-3.58,-4.21,.84,-2.45
15,Nifty Media,.15,.96,.23,1.88,2.97,1.66,-1.22,4.72,-3.94,-2.97,1.09,.61,2.24
16,Nifty Metal,.18,2.09,.26,.3,3.2,4.09,-1.48,1.52,-6.75,-6.56,-.82,.7,-.83
17,Nifty MNC,.82,.65,.75,.35,1.97,1.34,.75,1.38,-1.57,-2.49,-.09,.64,-1.17
18,Nifty Pharma,.41,1.06,1.21,-.18,2.2,2.43,-1.97,1.91,-2.75,-4.03,2.25,.87,-1.73
19,Nifty PSU Bank,.75,2.47,1.64,2.37,1.57,1.29,-2.52,2.64,-2.84,-2.43,1.94,.74,-.14
20,Nifty Realty,2.42,2.25,.51,.72,5.64,1.26,-1.9,2.47,-5.69,-3.6,-.1,3.61,-3.11
21,Nifty India Consumption,.7,.59,1.43,.54,1.7,1.29,.66,1.95,-2.72,-.8,.02,1.55,-.54
22,Nifty Commodities,-.16,1.5,.82,.39,2.08,2.99,-.51,1.67,-3.7,-3.65,.16,.44,-.71
23,Nifty Dividend Opportunities 50,.13,1.59,.77,.67,1.51,1.43,-.82,1.89,-2.36,-2.6,-.72,.62,-1.01
24,Nifty Infrastructure,-.49,1.11,1.79,.36,2.43,2.03,-.28,1.88,-3.3,-2.64,.24,.54,-.81
25,Nifty PSE,-.37,2.03,.61,.79,1.9,2.46,-.46,1.86,-2.49,-3.11,1.03,.12,-.41
26,Nifty Services Sector,.18,1.28,2.01,.69,2.34,1.56,-.73,1.59,-3,-.65,-.66,.99,-1.87
27,Nifty50 Shariah,.1,.93,1.01,.79,1.21,1.15,-.52,1.51,-2.56,-2.27,-.56,.49,-.83
28,Nifty500 Shariah,.48,1.47,.71,.63,2.17,1.85,-.6,1.71,-3.05,-2.9,-.42,.89,-1.02
29,Nifty Low Volatility 50,.33,.76,.93,.44,1.8,1.48,.15,1.88,-2.52,-1.43,-.04,.98,-1.15
30,Nifty Alpha 50,1.21,2.32,.32,1,3.57,2.98,-1.31,2.93,-4.3,-3.64,.65,1.73,-1.53
31,Nifty High Beta 50,-.13,2.68,.81,1.33,3.5,1.72,-.81,2.45,-4.25,-3.52,1.24,1.16,.39
32,Nifty100 Equal Weight,.06,1.52,1.02,.7,2.64,1.66,-.47,2,-3.18,-2.4,.02,.92,-.87
33,Nifty100 Liquid 15,-.31,1.55,2.3,.45,2.06,2.63,-.98,1.78,-3.73,-1.8,-.13,.87,-.59
34,Nifty CPSE,-.51,1.85,.76,.82,1.21,3.1,-.57,1.68,-1.88,-3.33,1.21,-.39,-.87
35,Nifty50 Value 20,-.22,1.16,1.29,.3,1.68,1.55,-.92,1.63,-2.63,-2.31,-1.01,.59,-1.19
36,Nifty Midcap Liquid 15,.84,3.43,1.01,.13,3.78,2.38,-.64,3.16,-3.76,-3.89,-1.14,2.27,-1.32
37,Nifty Shariah 25,.46,1.13,.66,.69,1.56,1.3,-.17,1.8,-1.88,-2.45,-.98,.64,-1.32
38,India VIX,-1.84,.31,-2.51,-1.61,-19.81,-6.17,4.83,-10.31,65.7,1.14,-.89,-.44,8.37
39,Nifty Growth Sectors 15,.5,1.52,.81,.24,1.7,1.63,-.34,1.99,-2.52,-2.23,-.76,1.08,-1.49
40,Nifty50 TR 1x Inverse,-.14,-1.11,-1.74,-.45,-2.13,-1.9,.62,-1.67,3.31,1.5,.36,-.69,1.57
41,Nifty50 TR 2x Leverage,.33,2.23,3.52,.92,4.32,3.8,-1.23,3.36,-6.54,-2.99,-.72,1.42,-3.07
42,Nifty50 PR 1x Inverse,-.17,-1.08,-1.76,-.44,-2.14,-1.88,.62,-1.66,3.28,1.51,.37,-.71,1.58
43,Nifty50 PR 2x Leverage,.33,2.23,3.52,.92,4.32,3.8,-1.23,3.36,-6.54,-2.99,-.72,1.42,-3.07
44,NIFTY100 Quality 30,.33,.87,.4,.44,1.71,1.37,.13,1.84,-2.05,-1.82,-.47,.52,-1.19
45,Nifty Mahindra Group,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.16,1.29,1.8,.41,1.92,1.98,-.65,1.67,-2.97,-1.56,-.46,.52,-1.26
47,Nifty Tata Group,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,
