,Index Name,ind_close_all_23042026.csv,ind_close_all_22042026.csv,ind_close_all_21042026.csv,ind_close_all_20042026.csv,ind_close_all_17042026.csv,ind_close_all_16042026.csv,ind_close_all_15042026.csv,ind_close_all_13042026.csv,ind_close_all_10042026.csv,ind_close_all_09042026.csv,ind_close_all_08042026.csv,ind_close_all_07042026.csv,ind_close_all_06042026.csv,ind_close_all_02042026.csv,ind_close_all_01042026.csv
0,Nifty 50,-.84,-.81,.87,.05,.65,-.14,1.63,-.86,1.16,-.93,3.78,.68,1.12,.15,1.56
1,Nifty Next 50,-1.31,.74,.69,.1,1.4,1.07,2.15,-.77,2.07,.19,4.74,.46,1.45,.07,2.59
2,Nifty 100,-.93,-.53,.84,.06,.79,.07,1.72,-.85,1.32,-.73,3.95,.64,1.18,.14,1.74
3,Nifty 200,-.83,-.39,.77,.01,.88,.18,1.81,-.8,1.36,-.54,3.96,.56,1.24,.06,1.83
4,Nifty 500,-.79,-.22,.77,-.02,.94,.27,1.88,-.75,1.4,-.45,3.95,.48,1.22,.02,1.98
5,Nifty Midcap 50,-.71,-.02,.47,-.19,1.25,.63,2.29,-.77,1.27,.22,4.09,.43,1.55,-.16,2.08
6,NIFTY Midcap 100,-.41,.19,.49,-.18,1.27,.63,2.2,-.57,1.52,.32,4.03,.2,1.52,-.26,2.22
7,NIFTY Smallcap 100,-.67,1.13,.88,-.45,1.48,.89,2.35,-.46,1.65,.17,4.39,-.06,1.29,-.38,3.33
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-2.35,-.66,.39,.33,.2,-.38,1.53,-2.09,2.85,-.39,6.69,.09,1.08,-.62,1.97
10,Nifty Bank,-1.43,-.43,1.39,.03,.85,-.38,1.25,-.55,1.99,-1.58,5.67,.2,2.06,.19,2.33
11,Nifty Energy,.25,1.42,.39,.78,1.83,.5,2.15,.06,1.11,.82,2.5,.54,.25,-.29,1.59
12,Nifty Financial Services,-1.42,-.84,1.18,.06,.67,-.38,1.53,-.63,2.06,-1.41,5.54,.34,2.34,.25,1.96
13,Nifty FMCG,-.11,.75,2.55,-.21,2.65,.18,1.51,-1.29,1.16,-.13,1.54,.82,.8,.21,1.31
14,Nifty IT,-1.22,-3.89,.45,-.7,-.02,.88,2.84,-1.16,-1.91,.22,.52,2.5,.64,2.6,2.09
15,Nifty Media,.9,.69,.97,.9,1.34,.59,2.15,-.35,1.96,-.8,2.96,.8,-.22,-.39,3.69
16,Nifty Metal,-.82,.45,.04,-.39,1.1,1.53,1.77,-.22,1.04,1.25,2.69,1.55,1.11,.39,2.46
17,Nifty MNC,-.51,.82,1.37,.04,2.15,.39,1.8,-1.49,2.09,.48,3.26,.61,.82,.34,1.73
18,Nifty Pharma,2.36,.08,-.08,-.18,.14,.13,1.52,-.29,.13,.66,.56,.15,.12,-.92,-.99
19,Nifty PSU Bank,-2.19,.12,.79,.87,.74,-.17,1.13,-.73,2.01,-1.27,5.46,-.71,2.33,-.37,3.7
20,Nifty Realty,-1.83,.58,2.14,-.62,.94,.39,2.56,-.27,2.08,-.27,6.75,1.67,2.23,1.07,2.13
