,Index Name,ind_close_all_30082024.csv,ind_close_all_29082024.csv,ind_close_all_28082024.csv,ind_close_all_27082024.csv,ind_close_all_26082024.csv,ind_close_all_23082024.csv,ind_close_all_22082024.csv,ind_close_all_21082024.csv,ind_close_all_20082024.csv,ind_close_all_19082024.csv,ind_close_all_16082024.csv,ind_close_all_14082024.csv,ind_close_all_13082024.csv,ind_close_all_12082024.csv,ind_close_all_09082024.csv,ind_close_all_08082024.csv,ind_close_all_07082024.csv,ind_close_all_06082024.csv,ind_close_all_05082024.csv,ind_close_all_02082024.csv,ind_close_all_01082024.csv
0,Nifty 50,.33,.4,.14,.03,.76,.05,.17,.29,.51,.13,1.65,.02,-.85,-.08,1.04,-.74,1.27,-.26,-2.68,-1.17,.24
1,Nifty Next 50,.51,-.25,.31,.11,.49,-.34,.65,.28,.82,.59,1.82,.05,-1.14,-.39,1.24,-.79,3.01,-.92,-3.26,-1.3,-.66
2,Nifty 100,.33,.28,.13,.02,.66,-.02,.22,.27,.56,.23,1.66,.02,-.91,-.15,1.05,-.74,1.64,-.41,-2.83,-1.1,.12
3,Nifty 200,.38,.16,.09,.1,.66,-.09,.3,.29,.61,.23,1.71,-.08,-.89,-.08,1.02,-.68,1.77,-.44,-2.95,-1.08,-.04
4,Nifty 500,.44,.07,.05,.18,.61,-.09,.31,.38,.61,.36,1.69,-.15,-.92,-.03,.96,-.63,1.81,-.44,-3.08,-1.05,-.1
5,Nifty Midcap 50,.63,-.43,.03,.14,.58,-.68,.8,.3,.83,.08,2.03,-.82,-.87,.12,.77,-.16,2.7,-.52,-3.28,-1.43,-.93
6,NIFTY Midcap 100,.68,-.44,-.12,.49,.64,-.49,.69,.34,.84,.18,1.96,-.59,-.78,.27,.87,-.34,2.45,-.61,-3.55,-.99,-.85
7,NIFTY Smallcap 100,.48,-.54,-.07,1.05,.28,-.11,.17,1.21,.47,1.71,1.93,-.64,-1.3,.19,.56,-.41,2.86,-.39,-4.57,-.79,-.98
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.59,.54,-.13,-.11,.35,1.12,-.09,.34,.52,-.89,2.01,.05,-.78,-.27,1.72,-.08,1.7,-.75,-3.92,-2.92,-.74
10,Nifty Bank,.39,.02,-.26,.26,.42,-.1,.59,-.23,.86,-.29,1.59,-.21,-1.48,.19,.65,.08,.75,-.69,-2.45,-.41,.02
11,Nifty Energy,.22,.61,-.29,-.61,1.05,.04,-.62,.15,.45,1.33,1.1,-.64,-.81,-.69,1.24,-1.64,2.18,-.39,-3.82,-1.38,1.97
12,Nifty Financial Services,.24,.26,-.24,.82,.66,-.06,.45,-.15,1.11,-.23,1.7,-.02,-1.87,.2,.63,.15,1.26,-1.07,-2.58,-.3,.1
13,Nifty FMCG,-.16,.72,-.42,-1.06,.39,-.12,.62,1.37,-.14,.18,1.48,-.31,-.28,-.79,.19,-.45,1.17,.09,-.32,-.69,.15
14,Nifty IT,.46,.47,1.64,.11,1.39,-1,-.16,0,.81,.88,2.89,1.58,.01,.17,1.55,-1.9,1.48,.49,-3.26,-2.41,-.35
15,Nifty Media,-.36,-.31,-1.41,4.1,-.22,-1.29,-.19,1.2,-.27,1.02,2.09,-1.06,-.95,-2.05,1.83,.24,2.58,.15,-4.58,-.42,-1.89
16,Nifty Metal,.38,-.48,-.19,-.61,2.16,-.38,.67,.65,.47,1.87,1.69,-1.26,-1.64,.75,.77,-1.74,2.69,.3,-4.85,-2.7,-.11
17,Nifty MNC,.46,-.06,-.31,-.21,.34,-.49,.18,.97,.35,.03,1.63,-.31,-.57,-.35,.5,-.8,1.75,.06,-1.94,-1.85,-.37
18,Nifty Pharma,1.48,-.48,1.14,.77,.12,-.08,-.14,.91,.61,.59,.43,-.81,-.06,-.02,.43,.35,2.2,-.09,-1.46,.52,.06
19,Nifty PSU Bank,.3,.16,-.45,.04,-.5,-.59,.67,-.43,1.68,1.2,1.02,-.39,-1.61,-1.18,1.92,-.78,1.46,-1.26,-4.09,-1.72,-.99
20,Nifty Realty,1.83,-.16,-.18,.2,1.76,-2.43,.47,-1.31,.2,.15,2.49,-.48,-.73,1.32,1.55,-1.21,1.83,.84,-4.32,-3.53,-1.7
21,Nifty India Consumption,.3,.25,.24,-.45,.42,.13,.58,.77,.15,-.19,1.51,.2,-.37,-.46,1.23,-.53,1.47,-.65,-1.78,-.71,.23
22,Nifty Commodities,.41,.09,-.23,-.53,1.08,-.25,.17,.43,.48,1.31,1.6,-.83,-1.21,-.13,.84,-1.69,2.21,-.29,-3.72,-1.98,.67
23,Nifty Dividend Opportunities 50,.31,.45,.09,-.07,.84,-.3,-.01,.3,.68,.88,1.97,.07,-.95,-.09,1.22,-1.12,2.15,-.34,-3.09,-1.74,-.07
24,Nifty Infrastructure,.59,.28,.06,-.08,.81,.06,.35,.35,.22,.27,1.46,-.3,-.73,-.51,.98,-1.41,1.64,-.13,-3.28,-1.6,.34
25,Nifty PSE,.61,.2,-.27,-.12,1.07,-.2,-.31,.13,.46,1.16,1.89,-1.04,-1.58,-.32,.96,-1.64,3.91,-1.18,-3.83,-1.76,.45
26,Nifty Services Sector,.43,.21,.32,.33,.76,-.16,.18,-.06,.65,.1,1.8,.36,-1.21,.06,.86,-.55,1.32,-.6,-2.78,-.44,.39
27,Nifty50 Shariah,.52,.33,.12,-.31,.83,-.18,-.17,.49,.45,.79,1.72,-.15,-.12,-.15,1.11,-1.22,1.46,.15,-1.88,-1.42,.61
28,Nifty500 Shariah,.53,-.16,.14,.07,.66,-.25,.27,.58,.52,.7,1.66,-.24,-.49,.07,1.02,-.77,2.04,-.16,-2.77,-1.31,-.13
29,Nifty Low Volatility 50,.54,.18,.02,0,.9,-.26,.45,.64,.68,.07,1.43,-.26,-.44,-.29,.56,-.65,1.34,-.32,-1.83,-1.15,.18
30,Nifty Alpha 50,.57,-.3,.65,.22,.17,-.04,.38,-.09,.42,.81,1.99,-.51,-.84,.63,1.63,-.42,3.38,-1.54,-4.46,-.85,-1.3
31,Nifty High Beta 50,-.29,-.26,-.11,.73,.2,-.6,.31,.51,.94,1.11,1.98,-1.28,-2.01,.26,.95,-1.2,2.9,-1.01,-4.89,-1.12,-1.23
32,Nifty100 Equal Weight,.45,.07,.11,.06,.54,-.23,.27,.48,.75,.5,1.6,-.15,-.88,-.45,.92,-.94,2.08,-.56,-2.9,-1.19,.05
33,Nifty100 Liquid 15,.22,.96,-.06,.04,.38,.23,.22,.4,.39,.09,1.5,-.18,-.71,-.26,1.18,-.5,1.25,-.66,-3.39,-1.55,.42
34,Nifty CPSE,.63,-.07,-.17,-.75,1.3,.12,-.67,.09,-.12,1,1.38,-1.4,-1.23,-.45,1.59,-1.78,4.18,-.88,-3.97,-1.8,1.81
35,Nifty50 Value 20,.42,.32,.3,0,.9,-.06,.1,.21,.46,.5,1.97,.27,-.6,-.12,1.19,-1.26,1.56,-.12,-2.9,-1.7,.04
36,Nifty Midcap Liquid 15,.96,-.25,.21,.32,.53,-.72,.81,.34,1.03,.19,1.85,-.41,-.07,.55,1.16,-.54,2.65,-.34,-2.86,-1.19,-.81
37,Nifty Shariah 25,.55,.16,-.1,-.44,1.05,-.45,.1,.44,.4,.54,1.82,-.4,-.24,-.2,1.11,-1.24,2.03,-.05,-2.05,-1.6,.36
38,India VIX,-2.86,-1.16,2.33,-1.18,1.79,4.25,-2.49,-3.53,-3.46,-.61,-6.69,-4.53,1.89,3.47,-7.63,2.67,-13.73,-7.98,42.23,10.75,-2.42
39,Nifty Growth Sectors 15,.39,.47,.36,-.15,.66,-.27,-.04,.69,.36,.34,1.77,.57,-.07,.03,.97,-.94,1.07,.18,-1.95,-1.63,-.07
40,Nifty50 TR 1x Inverse,-.31,-.4,-.12,0,-.7,-.03,-.15,-.27,-.51,-.09,-1.63,0,.87,.06,-1.01,.74,-1.29,.29,2.7,1.16,-.21
41,Nifty50 TR 2x Leverage,.65,.78,.26,.04,1.46,.09,.32,.56,1.01,.27,3.3,.02,-1.73,-.09,2.07,-1.5,2.61,-.53,-5.39,-2.31,.47
42,Nifty50 PR 1x Inverse,-.31,-.38,-.13,0,-.71,-.03,-.15,-.28,-.5,-.07,-1.6,0,.87,.12,-1.01,.77,-1.27,.29,2.72,1.2,-.23
43,Nifty50 PR 2x Leverage,.65,.78,.26,.04,1.46,.08,.32,.56,1.01,.2,3.26,.02,-1.73,-.22,2.06,-1.5,2.52,-.54,-5.41,-2.36,.46
44,NIFTY100 Quality 30,.29,.34,.22,-.41,.73,-.24,.24,.69,.43,.36,1.86,-.05,-.43,-.32,.82,-1.12,1.69,-.02,-1.83,-1.5,.03
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.46,.43,.14,-.09,.83,.07,.19,.37,.49,.1,1.74,.08,-.78,-.13,1.12,-.92,1.31,-.17,-2.4,-1.26,.1
47,Nifty Tata Group,,,,,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,.31,-.15,-.14,.3,.39,-.12,.57,0,1.02,-.48,1.65,-.4,-1.24,.44,.49,.09,.48,-.6,-2.27,-.39,0
50,Nifty Smallcap 250,.52,-.57,-.22,.77,.41,.12,.32,1.1,.54,1.53,1.71,-.57,-1.23,.32,.64,-.28,2.39,-.39,-4.18,-.83,-.69
51,Nifty Smallcap 50,.86,-.57,-.22,1.05,.41,-.03,.26,1.63,.58,1.92,2.24,-.7,-1.5,.26,.53,-.25,2.99,-.46,-4.37,-.9,-1.03
52,Nifty MidSmallcap 400,.73,-.49,-.17,.6,.48,-.3,.54,.66,.73,.7,1.78,-.59,-.94,.29,.72,-.32,2.26,-.52,-3.76,-.93,-.7
53,Nifty Midcap 150,.85,-.45,-.14,.51,.52,-.53,.66,.41,.83,.25,1.82,-.6,-.77,.27,.76,-.35,2.2,-.6,-3.52,-.99,-.71
54,Nifty Midcap Select,.66,-.07,.02,.19,.74,-.81,1,.54,1.1,.03,1.64,-.35,-.7,.43,.59,-.33,2.59,-.37,-2.62,-1.8,-.67
55,NIFTY LargeMidcap 250,.59,-.08,-.01,.27,.59,-.27,.44,.34,.7,.24,1.74,-.29,-.84,.06,.91,-.54,1.91,-.5,-3.18,-1.04,-.29
56,NIFTY SME EMERGE,1.22,-1.24,-.63,.93,.24,.71,1.56,.94,.57,1.24,.98,-.17,-.67,.97,1.3,.65,1.97,-.4,-2.35,.14,-1.54
57,Nifty Oil & Gas,.3,.94,-.04,.04,1.16,-.66,-.23,.31,.15,1.52,1.49,-.76,-1.05,.54,1.33,-1.32,3.06,-.48,-3.71,-1.24,.35
58,Nifty Financial Services 25/50,.21,.36,-.21,1.48,.71,-.11,.32,.13,1.73,-.19,1.77,-.02,-1.7,.07,.64,.01,1.56,-1.42,-2.66,-.67,-.17
59,Nifty Healthcare Index,1.35,-.27,1.2,.44,.13,-.16,-.11,.86,.53,.48,.73,-.88,.09,-.37,.47,.13,2.01,-.18,-1.66,.36,.27
