,Index Name,ind_close_all_26082025.csv,ind_close_all_25082025.csv,ind_close_all_22082025.csv,ind_close_all_21082025.csv,ind_close_all_20082025.csv,ind_close_all_19082025.csv,ind_close_all_18082025.csv,ind_close_all_14082025.csv,ind_close_all_13082025.csv,ind_close_all_12082025.csv,ind_close_all_11082025.csv,ind_close_all_08082025.csv,ind_close_all_07082025.csv,ind_close_all_06082025.csv,ind_close_all_05082025.csv,ind_close_all_04082025.csv,ind_close_all_01082025.csv
0,Nifty 50,-1.02,.39,-.85,.13,.28,.42,1,.05,.54,-.4,.91,-.95,.09,-.31,-.3,.64,-.82
1,Nifty Next 50,-1.35,.25,-.64,-.28,.38,.75,1.34,-.17,.6,-.09,1.17,-1.24,.24,-.87,-.23,1.09,-1.35
2,Nifty 100,-1.08,.37,-.82,.06,.3,.47,1.05,.01,.55,-.34,.96,-1,.11,-.4,-.29,.72,-.91
3,Nifty 200,-1.17,.33,-.7,-.01,.32,.56,1.06,-.04,.56,-.33,.94,-1.11,.15,-.47,-.3,.83,-.98
4,Nifty 500,-1.23,.26,-.63,-.03,.33,.59,1.11,-.08,.57,-.29,.85,-1.11,.12,-.58,-.27,.82,-1.05
5,Nifty Midcap 50,-1.91,.16,-.06,-.46,.57,1.01,1.32,-.44,.89,-.42,.87,-1.55,.49,-.8,-.58,1.34,-1.54
6,NIFTY Midcap 100,-1.62,.12,-.14,-.38,.46,.97,1.08,-.31,.63,-.27,.85,-1.64,.33,-.8,-.39,1.4,-1.33
7,NIFTY Smallcap 100,-2.03,-.04,-.26,-.01,.3,.7,1.38,-.38,.66,.04,.36,-1.49,.17,-1.13,-.16,1.27,-1.66
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.41,.37,-.19,-.36,.05,1.31,4.18,-.02,1.12,.56,1.06,-1.4,.25,-.53,.37,1.61,-1.04
10,Nifty Bank,-1.25,-.02,-1.09,.1,-.3,.23,.71,.29,.25,-.84,.92,-.93,.2,.09,-.47,0,-.62
11,Nifty Energy,-1.56,-.04,-.5,-.48,.23,.83,.04,-.78,-.01,.38,.64,-.64,-.2,-.66,-.03,.1,-.65
12,Nifty Financial Services,-1.35,-.04,-.96,.32,-.39,-.06,1.05,.36,.39,-1.02,.91,-.9,.12,-.01,-.39,-.06,-.59
13,Nifty FMCG,.91,-.1,-1,-.64,1.39,1.05,1.19,-.64,-.04,-.5,.74,-.72,.12,-.9,-.72,-.1,.69
14,Nifty IT,-.6,2.37,-.79,.09,2.69,.35,-.57,.4,.05,.38,.42,-.95,.87,-1.74,-.48,1.6,-1.85
15,Nifty Media,-.75,-1.67,.95,0,-1.98,1.34,-.22,-.53,.88,.6,.16,-.1,.99,-1.18,-.07,1.51,-.59
16,Nifty Metal,-1.66,.65,-1.25,-.04,.43,.75,1.86,-1.39,1.26,.38,.52,-1.76,.13,-.4,.09,2.48,-1.97
17,Nifty MNC,.34,.1,-.73,-.28,.77,1.32,2.78,-.43,.53,-.1,.55,-1,.09,-1.13,-.09,.21,-.22
18,Nifty Pharma,-1.67,.44,.39,.95,-.44,-.34,-.05,.1,1.73,.69,.95,-1.3,.75,-2.03,-.83,.65,-3.33
19,Nifty PSU Bank,-1.87,-.25,-1.12,-.37,-.27,.98,.41,.12,-.14,-.08,2.2,-.41,.29,.59,-.15,1.26,-1.13
20,Nifty Realty,-2.24,.75,-.84,.38,1.06,.65,2.17,-.76,.24,-.73,1.86,-2.11,-.13,-1.51,-.46,1.77,-1.78
21,Nifty India Consumption,-.38,.13,-.51,-.3,.87,.83,2.11,-.04,.83,-.08,.94,-1.07,.21,-.36,.06,.73,-.36
22,Nifty Commodities,-1.37,.41,-1.08,-.13,.24,.67,1.34,-.91,.3,.14,.86,-.79,.01,-.47,.01,1.49,-1.44
23,Nifty Dividend Opportunities 50,-.62,.91,-.96,-.28,.96,.62,.32,-.29,.21,.02,.69,-.36,.18,-.59,-.24,.89,-.92
24,Nifty Infrastructure,-1.55,.05,-.73,.15,.29,.9,.67,-.38,.6,-.06,1.11,-1.3,-.25,-.27,-.17,.99,-1.06
25,Nifty PSE,-1.67,-.05,-.54,-.47,.05,.16,-.38,-.7,.73,.07,.47,-.12,-.45,-.41,-.05,.95,-1.5
26,Nifty Services Sector,-1.11,.44,-.87,.11,.5,.19,.61,.33,.51,-.62,.8,-.99,.12,-.3,-.32,.26,-.95
27,Nifty50 Shariah,-.45,1.3,-.96,-.04,1.48,.45,.91,.02,.81,-.04,.89,-.66,.2,-.91,-.33,.95,-1.32
28,Nifty500 Shariah,-.85,.69,-.57,-.09,.99,.8,1.1,-.2,.55,.03,.6,-1.01,.17,-1.05,-.25,.85,-1.22
29,Nifty Low Volatility 50,-.72,.31,-.71,-.04,.73,.49,1.76,-.07,.58,-.25,.68,-.98,.33,-.66,-.3,.62,-1.03
30,Nifty Alpha 50,-2.08,-.02,-.06,-.2,.4,.67,1.21,.01,.88,-.27,.46,-2.96,.45,-1.51,-.36,.85,-1.32
31,Nifty High Beta 50,-2.24,.25,-.54,-.52,-.07,1.24,1.29,-.65,.4,-.3,.93,-2.12,-.19,-1.01,-.26,2.05,-1.64
32,Nifty100 Equal Weight,-1.19,.37,-.8,-.19,.32,.67,1.46,-.12,.63,-.12,1.08,-1.03,.2,-.71,-.15,1.1,-1.18
33,Nifty100 Liquid 15,-1.4,.27,-.72,-.1,-.13,1.1,1.67,0,.71,-.46,1.21,-1.35,-.08,-.28,.18,.96,-.79
34,Nifty CPSE,-1.48,.1,-.43,-.63,.07,-.39,.07,-.6,.74,.35,.26,-.14,-.13,-.3,.04,.54,-1.04
35,Nifty50 Value 20,-.47,1.07,-.89,.07,.73,.3,.68,.21,.4,-.06,.66,-.43,.19,-.67,-.32,.66,-1.12
36,Nifty Midcap Liquid 15,-2.13,.18,.29,-.98,.74,.54,1.68,-.13,1.44,-.56,1.2,-1.84,1.39,-1.01,-1.16,1.68,-1.57
37,Nifty Shariah 25,-.49,.67,-.78,-.02,1.14,.43,1.36,-.22,.83,.06,.81,-.76,.7,-.79,-.22,1.01,-.82
38,India VIX,3.7,.26,3.12,-3.5,-.04,-4.46,-.12,1.77,-.76,.12,1.54,2.95,-2.28,2.11,-2.13,-.06,3.75
39,Nifty Growth Sectors 15,-.65,.89,-.05,.05,1.34,.29,1.57,.15,1.26,.24,.91,-1.37,.39,-1.22,-.32,1.08,-1.4
40,Nifty50 TR 1x Inverse,1.04,-.32,.86,-.15,-.27,-.38,-.97,-.06,-.52,.35,-.87,.93,-.06,.29,.32,-.61,.82
41,Nifty50 TR 2x Leverage,-2.06,.74,-1.72,.27,.54,.83,1.94,.15,1.06,-.66,1.78,-1.9,.16,-.6,-.61,1.24,-1.61
42,Nifty50 PR 1x Inverse,1.02,-.34,.88,-.12,-.27,-.41,-.94,-.02,-.52,.41,-.86,.96,-.07,.31,.31,-.6,.82
43,Nifty50 PR 2x Leverage,-2.06,.74,-1.72,.25,.54,.82,1.94,.08,1.06,-.81,1.77,-1.91,.16,-.63,-.61,1.24,-1.65
44,NIFTY100 Quality 30,-.12,.73,-.7,-.28,.88,.49,1.49,-.1,.61,-.15,.57,-.81,.52,-1.02,-.25,.89,-.68
45,Nifty Mahindra Group,,,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-1.03,.4,-.87,.17,.22,.28,1.21,-.09,.66,-.28,.81,-.93,.17,-.28,-.33,.72,-.97
47,Nifty Tata Group,,,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,,,
49,Nifty Private Bank,-1.33,.02,-1.06,.14,-.36,.42,1.01,.04,.31,-.81,.81,-1.25,.19,-.09,-.3,.13,-.61
50,Nifty Smallcap 250,-1.86,.06,-.16,.08,.34,.76,1.33,-.43,.64,.03,.45,-1.26,-.1,-1.2,-.32,.98,-1.64
51,Nifty Smallcap 50,-2.14,-.18,-.27,-.42,.14,.67,1.46,-.42,.67,.19,.49,-1.44,.31,-1.24,-.31,1.5,-1.77
52,Nifty MidSmallcap 400,-1.6,0,-.17,-.24,.42,.88,1.24,-.3,.63,-.14,.58,-1.37,.13,-1.01,-.24,1.08,-1.41
53,Nifty Midcap 150,-1.46,-.03,-.18,-.42,.46,.94,1.19,-.24,.63,-.23,.65,-1.44,.26,-.9,-.19,1.14,-1.28
54,Nifty Midcap Select,-2.17,.14,.11,-.6,.71,.76,1.36,-.47,1.09,-.39,.83,-1.72,.7,-.98,-.78,1.52,-1.55
55,NIFTY LargeMidcap 250,-1.27,.17,-.5,-.18,.38,.71,1.12,-.11,.59,-.29,.8,-1.22,.19,-.65,-.24,.93,-1.09
56,NIFTY SME EMERGE,-.59,-.79,.05,.39,.75,.54,1.06,-.14,.06,.44,.21,.14,-.06,-.99,-.87,.13,-.71
57,Nifty Oil & Gas,-1.64,.05,-.83,.3,-.13,1.66,.18,-.91,-.05,.4,.64,-.07,-.19,-.24,-.96,.55,-1.52
58,Nifty Financial Services 25/50,-1.59,-.03,-.85,.29,-.44,.01,1.2,.33,.41,-.9,.91,-.94,.07,-.14,-.24,.44,-.9
59,Nifty Healthcare Index,-1.66,.11,.11,.93,-.26,-.05,-.08,-.32,2.13,.59,1.17,-1.22,.61,-1.78,-.48,.57,-2.77
60,Nifty500 Multicap 50:25:25,-1.37,.19,-.49,-.05,.35,.66,1.16,-.16,.59,-.23,.76,-1.17,.1,-.73,-.27,.89,-1.18
61,Nifty Microcap 250,-1.71,-.15,-.59,.31,-.09,1.19,1.55,-.82,.68,0,.2,-.85,-.31,-1.08,-.36,.55,-1.59
62,Nifty Total Market,-1.25,.25,-.63,-.01,.32,.61,1.12,-.11,.58,-.28,.82,-1.1,.1,-.6,-.27,.81,-1.07
63,Nifty India Digital,-1.25,1.23,-.29,-.21,1.61,1.3,.11,.4,.85,-.15,1.25,-1.33,.94,-1.12,-.69,1.09,-1.64
64,Nifty Mobility,-.58,.27,-.51,-.52,.19,1.6,2.6,.08,.92,.07,1.16,-1.12,.11,-.47,-.11,1.42,-1.1
65,Nifty India Defence,-2.29,-.29,.29,.21,-.72,-1.03,.14,-.28,2.63,-.97,1.22,-2.46,-.46,-.49,.85,2.53,-2.07
66,Nifty Financial Services Ex-Bank,-2.36,-.06,-.4,-.46,-.37,.25,2.11,.02,1.1,-.89,1.06,-.86,.37,-.56,-.35,1.77,-1.35
67,Nifty Housing,-1.33,.22,-1.1,-.24,.28,.25,1.51,-.27,.23,-.17,1.03,-1.17,.26,-.41,-.19,1.2,-1.03
68,Nifty Transportation & Logistics,-.54,.36,-.35,-.62,.35,1.43,3.01,.19,1.1,.21,1.22,-1.25,.09,-.45,.07,1.38,-1.08
69,Nifty MidSmall Financial Services,-2.23,-.32,-.19,-1.1,.23,.97,1.86,.1,1.36,-.5,1.1,-1.03,1.08,-.4,-1.02,2.1,-1.42
70,Nifty MidSmall Healthcare,-1.33,-.44,-.2,.41,-.47,.59,.22,-.7,1.26,.67,.89,-1.34,.76,-1.29,-.17,.06,-1.71
71,Nifty MidSmall IT & Telecom,-2.19,1.11,.66,-.23,2.11,.54,.31,.18,-.29,.6,.37,-1.82,.75,-1.9,-.68,1.15,-2.29
72,Nifty MidSmall India Consumption,-1.55,.13,-.23,-.09,.59,.94,1.51,-.65,.68,-.22,.67,-1.92,.37,-.92,-.12,1.05,-.89
73,Nifty REITs & InvITs,-.89,-.94,.43,-.02,.49,.12,.06,.28,.1,-.29,.64,-.12,-.69,.82,-.1,-.2,-.16
74,Nifty Consumer Durables,-1.77,.57,.1,-.22,.06,.58,3.38,.75,.05,-.65,-.72,-1.91,.39,-.85,.12,1.37,-.97
75,Nifty Non-Cyclical Consumer,-.4,.24,-.59,-.61,1.16,.96,1.53,.18,.66,-.49,.86,-1.14,.13,-.43,-.28,.48,-.21
76,Nifty India Manufacturing,-1.24,.38,-.23,.05,-.14,.84,1.91,-.27,1.01,.04,.69,-1.29,.14,-.76,.08,1.48,-1.6
77,NIFTY100 Alpha 30,-1.22,.15,-.44,-.05,.45,.03,1.07,.38,1.29,-.4,1.04,-1.15,.28,-.64,-.13,1.02,-1.1
78,NIFTY500 Value 50,-1.53,.48,-.95,-.37,-.16,1.04,.95,-.73,.62,.23,.91,-.6,-.08,-.37,0,1.32,-1.69
