,Index Name,ind_close_all_15122023.csv,ind_close_all_14122023.csv,ind_close_all_13122023.csv,ind_close_all_12122023.csv,ind_close_all_11122023.csv,ind_close_all_08122023.csv,ind_close_all_07122023.csv,ind_close_all_06122023.csv,ind_close_all_05122023.csv,ind_close_all_04122023.csv,ind_close_all_01122023.csv
0,Nifty 50,1.29,1.23,.1,-.43,.13,.33,-.17,.4,.81,2.07,.67
1,Nifty Next 50,.06,1.27,.91,-.64,1.05,-.61,.8,1.16,1.04,1.94,.97
2,Nifty 100,1.08,1.25,.2,-.49,.26,.15,.01,.6,.92,2.06,.69
3,Nifty 200,.93,1.26,.3,-.47,.33,.09,.1,.54,.85,1.93,.75
4,Nifty 500,.9,1.19,.35,-.44,.36,0,.13,.49,.76,1.84,.71
5,Nifty Midcap 50,.22,1.44,1.31,-.27,.48,-.06,.65,.33,.35,1.05,1.1
6,NIFTY Midcap 100,.11,1.31,.88,-.39,.74,-.21,.59,.25,.47,1.24,1.1
7,NIFTY Smallcap 100,.71,.85,.87,.03,.84,-1.09,.37,.38,.11,1.39,.48
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.04,.71,1.08,-.7,.47,-.55,.44,-.02,.59,1.13,-.36
10,Nifty Bank,.86,1.36,-.01,-.46,.11,.9,.01,-.38,1.25,3.61,.75
11,Nifty Energy,1.57,.83,.66,-1.31,.4,-.91,1.23,1.55,3.24,2.61,.9
12,Nifty Financial Services,.32,1.37,-.01,-.2,0,.91,-.02,-.14,.92,3.23,.78
13,Nifty FMCG,-.32,.27,.7,-.26,.63,-.99,-.9,1.02,-.23,.72,1.58
14,Nifty IT,4.56,3.5,-1.28,-.06,.36,1.31,-.18,1.67,-.57,.21,.05
15,Nifty Media,-.18,-.38,.4,.59,1.28,.06,.92,2.11,-.58,-.78,2.57
16,Nifty Metal,2.13,.61,.88,.31,1.04,-.09,-.75,.03,3.07,1.63,.99
17,Nifty MNC,-.02,.41,.67,-.78,.5,-.66,.04,.2,.77,.94,.83
18,Nifty Pharma,.15,.08,1.12,-.48,-.76,-.8,.77,-.37,.01,-.18,.11
