,Index Name,ind_close_all_30122025.csv,ind_close_all_29122025.csv,ind_close_all_26122025.csv,ind_close_all_24122025.csv,ind_close_all_23122025.csv,ind_close_all_22122025.csv,ind_close_all_19122025.csv,ind_close_all_18122025.csv,ind_close_all_17122025.csv,ind_close_all_16122025.csv,ind_close_all_15122025.csv,ind_close_all_12122025.csv,ind_close_all_11122025.csv,ind_close_all_10122025.csv,ind_close_all_09122025.csv,ind_close_all_08122025.csv,ind_close_all_05122025.csv,ind_close_all_04122025.csv,ind_close_all_03122025.csv,ind_close_all_02122025.csv,ind_close_all_01122025.csv
0,Nifty 50,-.01,-.38,-.38,-.13,.02,.79,.58,-.01,-.16,-.64,-.08,.57,.55,-.32,-.47,-.86,.59,.18,-.18,-.55,-.1
1,Nifty Next 50,.04,-.47,.01,-.2,.37,.68,.81,-.36,-.38,-.42,.16,.84,.54,-.2,.6,-2.05,.22,.23,-1.09,-.1,.12
2,Nifty 100,0,-.4,-.32,-.14,.07,.77,.62,-.07,-.2,-.61,-.04,.62,.55,-.3,-.3,-1.05,.53,.19,-.33,-.47,-.07
3,Nifty 200,-.03,-.42,-.3,-.23,.06,.79,.73,.01,-.26,-.65,-.05,.72,.62,-.45,-.19,-1.19,.52,.15,-.44,-.43,-.05
4,Nifty 500,-.06,-.41,-.29,-.19,.12,.8,.79,-.02,-.31,-.65,0,.74,.61,-.46,-.04,-1.3,.4,.1,-.44,-.42,-.04
5,Nifty Midcap 50,-.22,-.5,-.38,-.81,-.05,.76,1.02,.5,-.63,-.86,-.08,1.09,1.01,-1.12,.14,-1.71,.76,.21,-.96,-.23,0
6,NIFTY Midcap 100,-.15,-.52,-.23,-.6,0,.84,1.2,.34,-.54,-.83,-.12,1.18,.97,-1.12,.32,-1.83,.49,-.03,-.98,-.22,0
7,NIFTY Smallcap 100,-.28,-.72,-.08,.28,.37,1.17,1.34,.13,-.73,-.92,.21,.94,.81,-.9,1.14,-2.61,-.57,-.24,-.71,-.55,.25
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,1.08,-.53,-.52,-.02,.02,.82,1.23,-.61,-.19,-.09,-.91,.58,1.11,-.15,-.72,-1.23,.74,.32,-1.2,-.05,.79
10,Nifty Bank,.41,-.13,-.29,-.2,-.01,.4,.27,-.02,-.18,-.72,.12,.3,.42,-.44,-.03,-.9,.82,-.1,.13,-.68,-.12
11,Nifty Energy,-.16,-.54,-.1,-.34,.54,.66,.96,-.79,-.09,-.74,-.03,.83,.34,-.09,.64,-1.5,-.04,-.34,-1,-.22,-.03
12,Nifty Financial Services,.07,-.25,-.49,-.07,.38,.37,.41,.06,-.49,-.79,-.25,.4,.58,-.53,-.5,-.7,.98,-.07,.23,-.9,-.27
13,Nifty FMCG,-.29,.11,.03,-.42,.52,.51,.43,-.1,-.47,-.01,.69,-.24,.21,-.03,-.04,-1.2,-.01,.47,-.8,-.2,-.17
14,Nifty IT,-.74,-.75,-1.03,-.51,-.8,2.06,.15,1.21,.29,-.84,.29,.47,.81,-.89,-1.19,-.29,.9,1.41,.76,-.02,.39
15,Nifty Media,-.05,.93,-.62,.44,.8,.58,.09,-1.27,-1.71,.03,1.79,-.05,-.09,.48,.7,-2.73,-.48,-1.45,.25,-.4,-.23
16,Nifty Metal,2.03,-.16,.59,.15,.54,1.41,.05,.25,.25,-.84,.16,2.63,1.06,.46,-.29,-1.92,.67,.06,-.49,-.36,.58
17,Nifty MNC,.07,-.16,.05,-.15,0,.7,.65,-.56,-.44,.07,.36,.83,.56,-.15,.24,-1.57,-.21,-.26,-.86,.33,.36
18,Nifty Pharma,-.17,-.47,-.32,-.51,-.23,.78,.86,-.24,.09,-.56,-.39,.11,.98,.17,-.52,-1.34,-.05,.22,.01,.08,-.48
19,Nifty PSU Bank,1.69,.05,-.27,-.46,-.34,.23,.38,.09,1.29,-.89,.46,.15,.51,-.7,1.29,-2.81,1.51,.04,-3.07,-.24,.25
20,Nifty Realty,-.84,-.67,-.23,.17,-.17,.03,1.67,.34,-.84,-1.29,-.05,1.53,.75,-.36,.95,-3.53,.34,.54,-.75,-.21,-1.02
21,Nifty India Consumption,-.01,-.39,-.33,-.09,0,.75,.72,-.27,-.46,-.1,-.06,.59,.54,-.68,-.1,-1.66,.21,.2,-1.08,-.02,-.08
22,Nifty Commodities,.49,-.15,.19,-.27,.57,.71,.58,-.3,0,-.88,.15,1.62,.69,.23,-.1,-1.32,.28,0,-.66,-.32,.18
