,Index Name,ind_close_all_01022024.csv
0,Nifty 50,-.13
1,Nifty Next 50,.38
2,Nifty 100,-.05
3,Nifty 200,-.14
4,Nifty 500,-.12
5,Nifty Midcap 50,-.67
6,NIFTY Midcap 100,-.56
7,NIFTY Smallcap 100,.63
8,Nifty50 Dividend Points,-
9,Nifty Auto,.53
10,Nifty Bank,.42
11,Nifty Energy,.44
12,Nifty Financial Services,.09
13,Nifty FMCG,.26
14,Nifty IT,-.28
15,Nifty Media,-1.09
16,Nifty Metal,-1.03
17,Nifty MNC,-.35
18,Nifty Pharma,-.55
19,Nifty PSU Bank,3.11
20,Nifty Realty,-.94
21,Nifty India Consumption,.09
22,Nifty Commodities,-.47
23,Nifty Dividend Opportunities 50,.11
24,Nifty Infrastructure,-.43
25,Nifty PSE,.47
26,Nifty Services Sector,.13
27,Nifty50 Shariah,-.4
28,Nifty500 Shariah,-.3
29,Nifty Low Volatility 50,.05
30,Nifty Alpha 50,-.67
31,Nifty High Beta 50,.25
32,Nifty100 Equal Weight,.06
33,Nifty100 Liquid 15,.02
34,Nifty CPSE,.47
35,Nifty50 Value 20,-.02
36,Nifty Midcap Liquid 15,-1.16
37,Nifty Shariah 25,-.39
38,India VIX,-9.92
39,Nifty Growth Sectors 15,.31
40,Nifty50 TR 1x Inverse,.16
41,Nifty50 TR 2x Leverage,-.28
42,Nifty50 PR 1x Inverse,.16
43,Nifty50 PR 2x Leverage,-.28
44,NIFTY100 Quality 30,.04
45,Nifty Mahindra Group,-.66
46,Nifty 50 Futures TR Index,-.24
47,Nifty Tata Group,.11
48,Nifty Tata Group 25% Cap,-.26
49,Nifty Private Bank,.12
50,Nifty Smallcap 250,.14
51,Nifty Smallcap 50,.26
52,Nifty MidSmallcap 400,-.32
53,Nifty Midcap 150,-.57
54,Nifty Midcap Select,-.66
55,NIFTY LargeMidcap 250,-.32
56,NIFTY SME EMERGE,.07
57,Nifty Oil & Gas,-.01
58,Nifty Financial Services 25/50,0
59,Nifty Healthcare Index,-.44
60,Nifty500 Multicap 50:25:25,-.14
61,Nifty Microcap 250,-.38
62,Nifty Total Market,-.13
63,Nifty India Digital,-1.32
64,Nifty Mobility,.6
65,Nifty India Defence,-.55
66,Nifty Financial Services Ex-Bank,-.63
67,Nifty Housing,-.52
68,Nifty Transportation & Logistics,.69
69,Nifty MidSmall Financial Services,-.94
70,Nifty MidSmall Healthcare,-.09
71,Nifty MidSmall IT & Telecom,-1.09
72,Nifty MidSmall India Consumption,-.35
73,Nifty REITs & InvITs,.92
74,Nifty Consumer Durables,-.44
75,Nifty Non-Cyclical Consumer,-.23
76,Nifty India Manufacturing,-.29
77,NIFTY100 Alpha 30,-.27
78,NIFTY500 Value 50,.2
79,Nifty100 Low Volatility 30,-.09
80,NIFTY Alpha Low-Volatility 30,-.32
81,NIFTY Quality Low-Volatility 30,-.13
82,NIFTY Alpha Quality Low-Volatility 30,-.14
83,NIFTY Alpha Quality Value Low-Volatility 30,-.57
84,NIFTY200 Quality 30,-.34
85,NIFTY Midcap150 Quality 50,-.32
86,Nifty200 Momentum 30,-.7
87,Nifty100 ESG Sector Leaders,-.1
88,Nifty200 Alpha 30,-.76
89,Nifty Midcap150 Momentum 50,-.95
90,Nifty Smallcap250 Quality 50,-.83
91,NIFTY100 ESG,-.06
92,NIFTY100 Enhanced ESG,-.06
93,NIFTY50 Equal Weight,-.18
94,Nifty 50 Futures Index,-.26
95,Nifty 50 Arbitrage,.09
96,Nifty Aditya Birla Group,-2.01
97,Nifty 8-13 yr G-Sec,.53
98,Nifty 4-8 yr G-Sec Index,.17
99,Nifty 11-15 yr G-Sec Index,.87
100,Nifty 15 yr and above G-Sec Index,1.06
101,Nifty Composite G-sec Index,.6
102,Nifty 10 yr Benchmark G-Sec,.56
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.56
104,Nifty 1D Rate Index,.02
105,Nifty50 USD,
