,Index Name,ind_close_all_14022025.csv,ind_close_all_13022025.csv,ind_close_all_12022025.csv,ind_close_all_11022025.csv,ind_close_all_10022025.csv,ind_close_all_07022025.csv,ind_close_all_06022025.csv,ind_close_all_05022025.csv,ind_close_all_04022025.csv,ind_close_all_03022025.csv,ind_close_all_01022025.csv
0,Nifty 50,-.44,-.06,-.12,-1.32,-.76,-.18,-.39,-.18,1.62,-.52,-.11
1,Nifty Next 50,-2.28,.2,0,-2.5,-1.83,.02,-.74,.65,1.54,-1.37,.6
2,Nifty 100,-.76,-.01,-.1,-1.53,-.95,-.15,-.45,-.03,1.6,-.67,.01
3,Nifty 200,-1.03,.03,-.12,-1.78,-1.14,-.09,-.59,.09,1.6,-.71,-.06
4,Nifty 500,-1.3,-.02,-.2,-1.97,-1.27,-.12,-.51,.26,1.52,-.83,0
5,Nifty Midcap 50,-2.31,.27,-.25,-2.85,-2.26,.32,-1.28,.57,1.63,-.65,-.15
6,NIFTY Midcap 100,-2.41,.25,-.26,-3.02,-2.12,.2,-1.26,.68,1.56,-.93,-.42
7,NIFTY Smallcap 100,-3.55,-.37,-.26,-3.45,-2.11,-.29,-.3,1.85,1.09,-2.13,.41
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-1.23,-.28,-.74,-2.33,-1.48,.69,-.93,-.08,.89,.09,1.91
10,Nifty Bank,-.53,-.24,.15,-1.16,-.35,-.44,.08,.37,1.93,-.6,-.16
11,Nifty Energy,-2.28,-.1,-.38,-2.1,-2.16,-.73,-.86,1.36,2.24,-3,-2.13
12,Nifty Financial Services,-.37,.34,.45,-1.33,-.59,-.51,-.02,.19,2.11,-.16,-.22
13,Nifty FMCG,-.33,-.79,-.1,-1.94,-.47,-1.3,-.96,-1.56,-.25,-1.67,3.01
14,Nifty IT,-.01,-1,-.56,-1.47,-.76,-.23,.31,.07,1.29,.68,-1.48
15,Nifty Media,-3.4,.49,-.06,-2.85,-2.38,-1.01,-.75,1.79,.74,-.33,2.21
16,Nifty Metal,-1.79,.82,.67,-1.74,-2.64,2.66,-.75,1.51,1.79,-1.73,-1.2
17,Nifty MNC,-.98,-.44,-.03,-1.71,-1.12,-.37,-.18,-.09,.94,-2.01,.26
18,Nifty Pharma,-2.87,1.35,-.51,-1.92,-1.86,.31,.64,.62,1.74,.13,-.48
19,Nifty PSU Bank,-2.09,-.9,.84,-2.15,-1.02,-1.38,-.73,1.03,2.41,-1.6,-1.59
20,Nifty Realty,-1.74,.81,-2.74,-3.07,-2.99,.1,-2.19,-1.85,.55,-.29,3.38
21,Nifty India Consumption,-.94,-.19,-.49,-1.99,-1.24,.42,-1.5,-.77,-.17,-.13,3.14
22,Nifty Commodities,-1.76,.35,.1,-1.63,-1.81,.54,-.74,1.04,1.94,-1.47,-1.29
23,Nifty Dividend Opportunities 50,-.98,-.26,-.17,-2.07,-1.18,-.42,-.8,.23,1.62,-1.39,-.78
