,Index Name,ind_close_all_25022026.csv,ind_close_all_24022026.csv,ind_close_all_23022026.csv,ind_close_all_20022026.csv,ind_close_all_19022026.csv,ind_close_all_18022026.csv,ind_close_all_17022026.csv,ind_close_all_16022026.csv,ind_close_all_13022026.csv,ind_close_all_12022026.csv,ind_close_all_11022026.csv,ind_close_all_10022026.csv,ind_close_all_09022026.csv,ind_close_all_06022026.csv,ind_close_all_05022026.csv,ind_close_all_04022026.csv,ind_close_all_03022026.csv,ind_close_all_02022026.csv,ind_close_all_01022026.csv
0,Nifty 50,.23,-1.12,.55,.46,-1.41,.37,.17,.83,-1.3,-.57,.07,.26,.68,.2,-.52,.19,2.55,1.06,-1.96
1,Nifty Next 50,.89,.08,.39,.62,-1.86,.67,.54,.97,-1.56,-.43,.55,.14,.97,.13,-.47,.65,2.65,1.07,-2.18
2,Nifty 100,.34,-.92,.53,.49,-1.49,.42,.23,.85,-1.34,-.54,.15,.24,.72,.19,-.51,.26,2.56,1.06,-1.99
3,Nifty 200,.38,-.81,.35,.48,-1.51,.43,.23,.79,-1.41,-.53,.13,.29,.88,.15,-.47,.33,2.61,1.04,-2.04
4,Nifty 500,.43,-.77,.38,.42,-1.47,.45,.29,.68,-1.43,-.55,.12,.3,1.06,.1,-.52,.38,2.67,1,-2.03
5,Nifty Midcap 50,.66,-.32,-.83,.4,-1.63,.44,.14,.38,-1.69,-.45,.15,.32,1.33,-.36,-.22,.65,2.8,1.22,-2.06
6,NIFTY Midcap 100,.58,-.32,-.43,.48,-1.59,.5,.27,.48,-1.71,-.47,.03,.49,1.58,-.02,-.28,.63,2.84,.96,-2.24
7,NIFTY Smallcap 100,.94,-.55,.29,-.11,-1.27,.54,.56,.11,-1.79,-.64,.02,.38,2.64,-.27,-1.29,1.27,2.82,.64,-2.73
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,1.85,-.45,.83,.41,-2.1,.54,.52,-.73,-.95,-.12,1.3,1.37,.99,-.52,-.58,1.18,2.81,2.13,-2.09
10,Nifty Bank,-.01,-.35,.15,.71,-1.32,.62,.37,1.27,-.91,-.01,.2,-.07,.91,.09,-.29,.33,2.43,.35,-2
