,Index Name,ind_close_all_15012024.csv,ind_close_all_12012024.csv,ind_close_all_11012024.csv,ind_close_all_10012024.csv,ind_close_all_09012024.csv,ind_close_all_08012024.csv,ind_close_all_05012024.csv,ind_close_all_04012024.csv,ind_close_all_03012024.csv,ind_close_all_02012024.csv,ind_close_all_01012024.csv
0,Nifty 50,.93,1.14,.13,.34,.15,-.91,.24,.66,-.69,-.35,.05
1,Nifty Next 50,.35,.27,.96,.22,.43,-1.04,-.12,1.27,.76,-.25,.12
2,Nifty 100,.81,.99,.26,.32,.2,-.93,.18,.75,-.43,-.32,.07
3,Nifty 200,.79,.89,.29,.32,.2,-.95,.18,.89,-.31,-.3,.16
4,Nifty 500,.71,.82,.34,.3,.22,-.88,.25,.9,-.26,-.26,.21
5,Nifty Midcap 50,.93,.62,.27,-.13,-.29,-1.27,.05,1.73,.21,-.2,.61
6,NIFTY Midcap 100,.68,.37,.49,.29,.16,-1.06,.18,1.68,.3,-.18,.63
7,NIFTY Smallcap 100,.42,.44,.58,-.15,.44,-.62,.65,.99,-.01,-.24,.54
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.27,-.21,1.06,.21,.92,-.31,.44,.05,-.12,-1.37,-.13
10,Nifty Bank,.94,.57,.16,.25,-.44,-1.47,-.08,1.03,-.12,-.98,-.12
11,Nifty Energy,1.37,.56,1.3,.3,.25,-.21,.08,1.18,.26,.48,.23
12,Nifty Financial Services,.75,.24,.12,.13,-.45,-1.03,-.01,1.22,-.42,-.52,-.14
13,Nifty FMCG,.3,.46,-.21,-.4,-.18,-1.72,-.06,.86,.01,-.14,.54
14,Nifty IT,1.86,5.14,-.28,.5,.43,-.97,1.29,.04,-2.52,-1.16,.51
15,Nifty Media,-1.9,-.65,-.35,3.47,-3.32,.08,.13,.42,.49,.49,1.78
16,Nifty Metal,-.43,.28,-.08,.95,.79,-1.59,-.14,.06,-1.81,.3,.27
17,Nifty MNC,.44,.12,.34,.01,.16,-1.33,-.05,.68,-.4,-.54,.32
18,Nifty Pharma,1,-.19,-.12,.32,.87,-.94,-.31,.19,.61,2.46,.16
19,Nifty PSU Bank,.98,2.75,.64,-.26,-.16,-2.52,-.38,1.03,1.15,-.38,.76
20,Nifty Realty,.26,1.8,-.04,-.11,2.52,.13,.36,6.76,1.23,-1.04,.45
21,Nifty India Consumption,.62,.36,.27,.1,.48,-1.11,-.11,.74,.25,-.3,-.29
22,Nifty Commodities,.64,.39,.87,.05,.14,-.79,-.25,.6,-.48,-.04,.04
23,Nifty Dividend Opportunities 50,1.33,1.92,.27,-.21,.22,-.78,.43,.6,-.56,-.43,.57
24,Nifty Infrastructure,1.06,.79,.69,.24,.82,-.34,.38,1.13,.12,-.35,.01
25,Nifty PSE,1.78,.56,.45,-1.01,.22,-.25,.18,1.6,.13,0,.94
26,Nifty Services Sector,1.1,1.46,-.07,.2,.04,-.87,.3,1.04,-.73,-.53,-.03
27,Nifty50 Shariah,1.37,2.88,-.25,.17,.4,-1.05,.61,.16,-1.61,-.5,.51
28,Nifty500 Shariah,.83,1.6,.03,.18,.34,-.97,.46,.47,-.9,-.21,.4
29,Nifty Low Volatility 50,.72,.77,.38,.02,.19,-1.01,-.01,.63,-.3,.03,.07
30,Nifty Alpha 50,1.44,.81,-.08,.25,-.04,-.02,.63,1.41,.35,-.22,.27
31,Nifty High Beta 50,.16,.91,1.14,.29,.36,-1.14,-.02,1.86,.59,-.07,.83
32,Nifty100 Equal Weight,.45,.5,.5,.16,.44,-1,-.03,.8,.16,-.14,.24
33,Nifty100 Liquid 15,.76,.82,.61,.6,.43,-.62,.3,1.02,-.19,.16,.04
34,Nifty CPSE,2.26,.46,.28,-1.03,.51,-.27,.01,2.05,-.3,.25,.52
35,Nifty50 Value 20,1.18,2.59,-.05,.06,.22,-1.01,.45,.32,-.91,-.54,.44
36,Nifty Midcap Liquid 15,.79,.89,.77,.11,-.44,-1.31,-.19,1.91,-.06,-.66,.46
37,Nifty Shariah 25,1.15,1.86,-.06,.21,.36,-1.12,.29,.29,-1.01,-.3,.53
38,India VIX,5.23,2.6,-1.56,-2.21,-1.49,6.59,-5.25,-5.44,-3.31,-.68,1.22
39,Nifty Growth Sectors 15,1.07,2.42,-.35,.21,.26,-.85,.44,.14,-.89,-.39,.36
40,Nifty50 TR 1x Inverse,-.87,-1.13,-.11,-.32,-.13,.98,-.22,-.64,.7,.35,.03
41,Nifty50 TR 2x Leverage,1.8,2.27,.25,.67,.28,-1.88,.46,1.29,-1.39,-.72,.04
42,Nifty50 PR 1x Inverse,-.87,-1.13,-.11,-.32,-.13,.98,-.23,-.63,.7,.36,0
43,Nifty50 PR 2x Leverage,1.8,2.27,.24,.67,.28,-1.88,.46,1.29,-1.39,-.72,.04
44,NIFTY100 Quality 30,1.05,1.09,.37,-.02,.17,-1.17,.2,.38,-.72,-.32,.24
