,Index Name,ind_close_all_27012025.csv,ind_close_all_24012025.csv,ind_close_all_23012025.csv,ind_close_all_22012025.csv,ind_close_all_21012025.csv,ind_close_all_20012025.csv,ind_close_all_17012025.csv,ind_close_all_16012025.csv,ind_close_all_15012025.csv,ind_close_all_14012025.csv,ind_close_all_13012025.csv,ind_close_all_10012025.csv,ind_close_all_09012025.csv,ind_close_all_08012025.csv,ind_close_all_07012025.csv,ind_close_all_06012025.csv,ind_close_all_03012025.csv,ind_close_all_02012025.csv,ind_close_all_01012025.csv
0,Nifty 50,-1.14,-.49,.22,.57,-1.37,.61,-.47,.42,.16,.39,-1.47,-.4,-.69,-.08,.39,-1.62,-.76,1.88,.41
1,Nifty Next 50,-2.82,-1.58,1.01,-.85,-2.61,.08,.76,1.45,.88,2.61,-4.32,-1.98,-1.27,-.8,-.09,-3.17,.13,1.25,.38
2,Nifty 100,-1.44,-.68,.36,.31,-1.6,.51,-.24,.61,.29,.78,-1.99,-.69,-.79,-.21,.3,-1.91,-.6,1.76,.41
3,Nifty 200,-1.66,-.83,.61,.03,-1.72,.58,-.16,.69,.31,1.06,-2.33,-.93,-.82,-.36,.4,-2.05,-.54,1.65,.41
4,Nifty 500,-1.91,-1.02,.66,-.17,-1.72,.59,-.16,.76,.33,1.12,-2.55,-1.12,-.83,-.49,.52,-2.13,-.49,1.5,.48
5,Nifty Midcap 50,-2.7,-1.21,1.58,-1.26,-2.19,1.05,.05,.62,.46,2.18,-4.04,-1.98,-.75,-1.11,.76,-2.68,-.37,1.18,.49
6,NIFTY Midcap 100,-2.75,-1.55,1.86,-1.34,-2.31,.91,.23,1.08,.41,2.45,-4.02,-2.08,-.93,-1.05,.89,-2.7,-.3,1.14,.44
7,NIFTY Smallcap 100,-3.84,-2.35,1.12,-1.63,-2.28,1.09,.16,1.67,.56,1.98,-4.1,-2.61,-1.35,-1.65,1.35,-3.2,-.24,.64,1.02
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.9,-1.54,1.1,-.13,-1.63,-.52,-.31,.65,-.53,2.01,-2.76,-1.23,-.28,-.48,0,-2.18,-.05,3.79,1.34
10,Nifty Bank,-.63,-.46,-.28,.32,-1.58,1.67,-1.5,1.08,.05,1.43,-1.42,-1.55,-.67,-.73,.56,-2.09,-1.2,1.07,.39
11,Nifty Energy,-2.54,-1.78,.18,-1.47,-1.89,.82,1.2,1.34,.76,2.9,-3.32,-2.04,-2.03,-.02,1.25,-3.24,.5,.81,.69
12,Nifty Financial Services,-.58,-.5,-.11,.45,-1.65,1.41,-1.46,1.16,-.19,1.44,-1.45,-1.29,-.9,-.83,.48,-1.76,-1.13,1.64,.46
13,Nifty FMCG,-.74,.52,.33,-.05,-.21,-.11,1.02,-.56,-.14,-1.41,-1.22,-.66,.93,.44,.01,-1.91,.25,1.15,.38
14,Nifty IT,-3.36,.4,1.79,2.14,-1.17,.38,-2.68,-.49,.79,-2.13,-1.37,3.44,-1.16,.6,-.68,-.12,-1.41,2.26,.08
15,Nifty Media,-4.73,-2.6,1.44,-1.8,-1.49,1,.22,.48,-1.36,2.97,-4.54,-3.59,-.77,-.73,1.36,-2.71,1.7,-.11,.81
16,Nifty Metal,-2.95,-.9,.53,-.72,-.94,1.08,1.18,1.7,.16,3.98,-3.77,-1.62,-1.23,-.67,1.24,-3.14,.08,.97,-.12
17,Nifty MNC,-1.77,-.73,.63,.15,-1.11,.25,.61,.59,-.12,.34,-2.5,-1.35,-.27,-.29,.3,-1.97,.4,1.66,.62
18,Nifty Pharma,-2.65,-2.11,1.4,.69,-1.35,.55,.69,-.29,-1.04,1.37,-2.13,-2.13,-.62,-.94,.67,-.82,-1.23,.4,.2
19,Nifty PSU Bank,-.97,-1.37,-.1,-1.01,-1.73,1.99,-.22,2.55,.1,4.2,-3.09,-2.72,-1.26,-.79,.5,-4,.31,.79,.09
20,Nifty Realty,-1.05,-2.31,1,-4.56,-4.12,.65,1.32,.67,1.39,.8,-6.47,-2.77,-2.73,-.16,.8,-3.16,-.62,1.06,-1.11
21,Nifty India Consumption,-1.23,-.61,.95,-.08,-1.72,-.29,.4,.12,.4,.3,-2.81,-1.05,.05,-.3,-.27,-2.02,-.13,2.22,.59
22,Nifty Commodities,-2,-.88,1,-.48,-1.26,.76,1.1,1.35,.74,3,-3.26,-1.81,-1.05,-.12,1.06,-3.1,.47,1.54,-.01
23,Nifty Dividend Opportunities 50,-2.02,-.5,.28,.22,-1.13,.43,-.42,.35,.64,.55,-1.82,-.28,-1.02,.2,.11,-2.14,-.41,1.83,.13
24,Nifty Infrastructure,-1.59,-.85,.35,-.29,-1.68,.61,1.2,1.01,.97,1.06,-2.49,-1.16,-1.16,-.06,.82,-2.38,-.3,1.44,.44
25,Nifty PSE,-2.73,-1.53,.31,-1.56,-1.75,1.3,1.37,1.43,.93,3.14,-3.89,-2.35,-1.75,-.11,.81,-3.58,.7,1.56,.31
26,Nifty Services Sector,-1.5,-.31,.12,.92,-1.66,.86,-1.5,.59,.23,.5,-1.63,-.12,-.93,-.33,-.04,-1.41,-1.15,1.71,.35
27,Nifty50 Shariah,-1.64,-.73,.64,.92,-.87,-.21,.13,-.63,.34,-1.38,-1.39,.83,-.6,.31,-.21,-1.12,-.48,1.71,.08
