,Index Name,ind_close_all_30012026.csv,ind_close_all_29012026.csv,ind_close_all_28012026.csv,ind_close_all_27012026.csv,ind_close_all_23012026.csv,ind_close_all_22012026.csv,ind_close_all_21012026.csv,ind_close_all_20012026.csv,ind_close_all_19012026.csv,ind_close_all_16012026.csv,ind_close_all_14012026.csv,ind_close_all_13012026.csv,ind_close_all_12012026.csv,ind_close_all_09012026.csv,ind_close_all_08012026.csv,ind_close_all_07012026.csv,ind_close_all_06012026.csv,ind_close_all_05012026.csv,ind_close_all_02012026.csv,ind_close_all_01012026.csv
0,Nifty 50,-.39,.3,.66,.51,-.95,.53,-.3,-1.38,-.42,.11,-.26,-.22,.42,-.75,-1.01,-.14,-.27,-.3,.7,.06
1,Nifty Next 50,-.83,.3,2.26,.66,-1.97,1.09,-.37,-2.3,-.24,.1,.39,-.26,.3,-1.02,-2.11,.13,.27,0,1.06,.45
2,Nifty 100,-.46,.3,.92,.53,-1.12,.62,-.31,-1.53,-.39,.11,-.15,-.23,.4,-.79,-1.19,-.1,-.18,-.25,.76,.13
3,Nifty 200,-.41,.28,1.06,.54,-1.24,.75,-.46,-1.73,-.39,.12,-.07,-.22,.32,-.79,-1.33,0,-.19,-.23,.8,.18
4,Nifty 500,-.24,.23,1.15,.5,-1.31,.76,-.49,-1.83,-.47,.04,-.02,-.13,.18,-.9,-1.4,.03,-.2,-.17,.79,.16
5,Nifty Midcap 50,-.26,.2,1.65,.51,-1.94,1.33,-1.1,-2.73,-.25,.54,.12,-.3,-.06,-.69,-1.82,.36,-.06,-.13,.94,.51
6,NIFTY Midcap 100,-.19,.18,1.66,.59,-1.8,1.34,-1.14,-2.62,-.37,.16,.29,-.2,-.05,-.79,-1.96,.45,-.19,-.16,1.01,.44
7,NIFTY Smallcap 100,.32,.2,2.26,.41,-1.95,.76,-.9,-2.85,-.99,-.28,.67,.6,-.52,-1.81,-1.99,.39,-.22,.53,.72,-.05
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.73,-.68,.69,-.93,-1.13,.89,-.29,-2.48,.13,-.45,-.69,-.35,-.27,-1.15,-.97,-.8,.1,.31,1.13,1.03
10,Nifty Bank,-.58,.6,.66,1.25,-1.23,.68,-1.02,-.81,-.34,.86,0,.22,.34,-.73,-.51,-.21,.12,-.18,.74,.22
11,Nifty Energy,-.56,1.87,4.18,.59,-1.92,1.13,.03,-2.22,-.67,-.8,.6,-.16,.19,-.92,-2.89,-.24,-.56,-.62,2.16,.52
12,Nifty Financial Services,-.65,.64,1.02,.88,-1.21,.69,-.87,-1.16,-.02,.08,-.31,.25,.5,-1.05,-.65,-.33,.34,-.17,.84,.19
13,Nifty FMCG,1.37,-.91,-.71,-.6,-.61,1.12,-.6,-1.48,.67,-.22,-.61,-.32,.59,-1.08,-.9,-.13,.23,.68,-1.19,-3.17
14,Nifty IT,-1.03,-.76,.41,.86,-.17,.81,-.29,-2.06,-.47,3.34,-1.08,.65,-.1,.28,-1.99,1.87,.55,-1.43,.39,.76
15,Nifty Media,1.85,-.02,2.13,-1.44,-2.51,2.39,-.47,-1.75,-1.84,-.35,.11,.76,-1.55,-.84,-1.38,.07,-1.05,.62,1,.26
16,Nifty Metal,-5.21,3.07,2.34,3.07,-.83,1.18,.57,-1.89,-.06,-.53,2.7,.35,1.99,-.33,-3.4,0,.29,.6,1.47,.79
17,Nifty MNC,-.23,.44,.98,.14,-.86,1.19,-.33,-1.74,.39,-.13,.26,.03,.22,-.64,-1.61,-.11,.24,.32,.78,.22
18,Nifty Pharma,.7,-.81,-.22,.3,-.94,1.59,-.6,-1.91,-.36,-1.28,-.25,-.47,-.41,-.88,-1.39,.69,1.69,-.21,.7,-.4
19,Nifty PSU Bank,.06,-.79,1.68,1.76,-2.27,2.34,-1.01,-1.31,-.31,1.16,2.13,.78,.65,.18,-2.08,-.27,.59,.46,1.5,.45
20,Nifty Realty,.84,.67,1.57,.4,-3.34,-.74,-.71,-5.04,-1.99,.35,-.92,-.62,-1.22,-2.26,-1.71,-.5,-.33,2.07,1.52,.84
21,Nifty India Consumption,.72,-.62,.11,-.76,-1.36,.26,-.04,-2.17,.15,-.69,-.44,-.32,.44,-1.06,-.76,-.2,-.07,.22,.16,-.43
22,Nifty Commodities,-2.13,1.58,2.26,1.7,-1.38,1.25,.06,-2.02,-.89,0,1.48,-.12,1.32,-.74,-2.4,-.31,-.38,.02,1.57,.73
23,Nifty Dividend Opportunities 50,-.99,.24,1.49,.85,-.67,1.08,-.26,-1.69,-.05,.98,.31,.29,.57,-.3,-1.82,.2,.19,-.48,.86,-.37
