,Index Name,ind_close_all_21072023.csv,ind_close_all_20072023.csv,ind_close_all_19072023.csv,ind_close_all_18072023.csv,ind_close_all_17072023.csv,ind_close_all_14072023.csv,ind_close_all_13072023.csv,ind_close_all_12072023.csv,ind_close_all_11072023.csv,ind_close_all_10072023.csv,ind_close_all_07072023.csv,ind_close_all_06072023.csv,ind_close_all_05072023.csv,ind_close_all_04072023.csv,ind_close_all_03072023.csv
0,Nifty 50,-1.17,.74,.42,.19,.75,.78,.15,-.28,.43,.12,-.85,.51,.05,.34,.7
1,Nifty Next 50,-.37,-.14,.53,-.43,.29,.74,-.65,.25,.76,-.55,-.83,.6,.8,-.38,.4
2,Nifty 100,-1.06,.62,.43,.11,.67,.77,.06,-.21,.49,.03,-.84,.51,.14,.24,.65
3,Nifty 200,-.96,.56,.47,.07,.62,.83,-.06,-.12,.54,-.03,-.84,.58,.22,.18,.59
4,Nifty 500,-.81,.53,.48,0,.64,.85,-.1,-.04,.57,-.07,-.78,.59,.25,.17,.6
5,Nifty Midcap 50,-.28,.2,.83,-.05,.22,1.54,-.89,.36,1.06,-.28,-.95,.72,.74,-.23,.16
6,NIFTY Midcap 100,-.36,.25,.68,-.14,.31,1.15,-.81,.43,.88,-.38,-.81,.97,.71,-.2,.25
7,NIFTY Smallcap 100,.72,.37,.78,-.94,.88,1.42,-1,.76,1.26,-.58,-.44,.8,.74,.25,1.23
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.09,.41,0,-.08,-.32,.36,-.61,-.02,1.39,-.62,.29,1.12,1.64,-.48,-.27
10,Nifty Bank,-.24,1.13,.57,-.09,1.41,.35,.06,-.24,-.26,-.14,-.92,.42,-.33,.32,.92
11,Nifty Energy,-.61,.71,.81,.36,.75,-.01,-1.43,-.08,.88,.65,-.95,2.16,.38,-.32,1.31
12,Nifty Financial Services,-.24,1.02,.57,-.19,1.25,.14,.49,-.23,-.44,-.15,-.9,.12,-.82,.79,.98
13,Nifty FMCG,-1,1.35,.33,-.24,.03,.8,-.47,.18,1.23,-.77,-1.53,-.02,1.82,.14,1.05
14,Nifty IT,-4.09,-.66,-.06,1.06,.31,4.45,1.75,-.71,.45,-1.24,-.82,-.12,.38,1.04,-.47
15,Nifty Media,.47,.06,1.13,-1.84,3.15,3.94,-1.88,.47,.18,-.95,3.91,1.71,1.49,.82,.51
16,Nifty Metal,-.66,.17,.43,-.83,.48,1.41,.26,-.09,-.25,1.69,-.73,.53,.27,0,1.07
17,Nifty MNC,-.15,.1,.11,-.17,.49,.87,-.55,.25,1.05,-.68,-1.08,.41,1.33,-.17,-.28
18,Nifty Pharma,-.18,1.46,.54,-.26,.77,.5,-.43,.3,1.04,-.12,-.74,.72,.71,.45,-1.11
19,Nifty PSU Bank,.25,.72,1.95,-1.23,2.25,.8,-2.38,.83,-.19,-.57,.98,.73,1.03,1.89,3.61
20,Nifty Realty,-.04,.03,.21,-.85,-.03,1.16,1.02,.26,-.01,-.85,-1.18,2.25,.56,-.18,.75
21,Nifty India Consumption,-.66,.78,.12,-.18,.02,.5,-.54,-.06,1.16,-.58,-.89,.62,1.24,-.23,.21
22,Nifty Commodities,-.66,.25,.63,-.34,.54,.6,-.59,-.03,-.04,.54,-1.04,.98,.15,-.24,1.24
23,Nifty Dividend Opportunities 50,-1.72,.32,.35,.27,-.06,1.83,-.1,-.21,.7,-.53,-1.03,.56,1.11,.43,.5
24,Nifty Infrastructure,-.06,.51,.72,-.03,.47,.23,-.9,-.1,1.01,.61,-1.06,1.39,.4,-.55,.8
25,Nifty PSE,.34,.26,.96,-.1,-.13,.23,-1.53,-.05,1.14,-.7,-.98,1.84,.85,-.18,.63
26,Nifty Services Sector,-1.3,.52,.35,.28,.82,1.11,.63,-.38,0,-.32,-.98,.24,-.43,.68,.51
27,Nifty50 Shariah,-2.93,-.1,0,.8,.22,2.47,.53,-.37,.7,-.62,-1.06,.25,.67,.46,.05
28,Nifty500 Shariah,-1.67,-.09,.25,.36,.3,1.79,.11,-.02,.79,-.59,-.9,.42,.6,.13,-.02
29,Nifty Low Volatility 50,-.67,.69,.28,0,.32,.86,-.38,-.02,.85,-.21,-1,.5,1,.11,.01
30,Nifty Alpha 50,-.25,.06,1.31,-.09,.32,1.08,-1.12,.72,1.56,-.84,-.38,.74,1.21,-.05,1.12
31,Nifty High Beta 50,-.1,.35,.55,-.9,.67,1.37,-.85,.19,.61,-.12,-.44,.49,.69,.65,1.9
32,Nifty100 Equal Weight,-.51,.24,.39,-.27,.38,.8,-.34,.05,.68,-.34,-.85,.55,.66,-.01,.32
33,Nifty100 Liquid 15,-.8,.77,.63,-.24,.77,.39,-.18,-.26,.26,.21,-.46,.42,.36,.6,.64
34,Nifty CPSE,.34,.34,.85,-.03,-.38,.17,-1.66,.2,1.28,-.73,-1.36,2.19,.41,-.15,-.02
35,Nifty50 Value 20,-2.47,.35,.16,.56,-.04,2.16,.42,-.34,.65,-.6,-1.17,.29,.96,.57,.47
36,Nifty Midcap Liquid 15,-.32,.04,.61,.21,.19,1.67,-1.04,.35,.85,-.36,-.64,.68,.78,-.05,-.03
37,Nifty Shariah 25,-2.11,.16,.02,.59,.2,2.03,.03,-.13,.75,-.74,-1.19,.32,.84,.27,-.07
38,India VIX,-2.55,1.59,-.94,3.49,5.92,-2.33,.02,-.7,-3.93,-.61,-2.6,-.36,1.56,1.39,6.85
39,Nifty Growth Sectors 15,-1.57,.86,.07,-.05,.12,1.64,.07,-.13,1.11,-1.25,-.83,-.17,1.06,.42,.04
40,Nifty50 TR 1x Inverse,1.2,-.76,-.4,-.18,-.7,-.77,-.15,.32,-.42,-.07,.85,-.47,-.05,-.32,-.64
41,Nifty50 TR 2x Leverage,-2.35,1.5,.83,.37,1.45,1.57,.3,-.58,.86,.2,-1.71,1,.08,.67,1.34
42,Nifty50 PR 1x Inverse,1.18,-.72,-.4,-.17,-.69,-.77,-.13,.29,-.4,-.08,.86,-.48,-.04,-.31,-.66
43,Nifty50 PR 2x Leverage,-2.36,1.45,.83,.37,1.45,1.54,.29,-.58,.84,.2,-1.72,1,.08,.67,1.34
44,NIFTY100 Quality 30,-1.37,.37,.06,.2,.2,1.67,-.04,-.23,.79,-.66,-1.12,-.01,1.27,.13,-.04
45,Nifty Mahindra Group,-1.71,.32,.29,-.05,.16,.58,.13,.01,1.03,-.63,-.46,2.41,1.13,.69,.52
46,Nifty 50 Futures TR Index,-.95,.64,.41,.27,.68,.66,.09,-.18,.49,.11,-.69,.37,.06,.29,.8
47,Nifty Tata Group,-1.69,-.11,-.09,-.27,-.44,3.06,1.06,-.31,.6,-1.2,.28,.41,.25,.55,-.57
48,Nifty Tata Group 25% Cap,-1.11,-.01,.27,-.57,-.28,1.81,.29,-.24,.75,-.79,.23,.63,.18,.18,-.37
49,Nifty Private Bank,-.19,1.15,.39,.05,1.33,.56,.02,-.29,.05,-.12,-1.1,.37,-.08,-.03,.62
50,Nifty Smallcap 250,.28,.27,.73,-.72,.78,1.32,-.71,.49,.95,-.32,-.29,.84,.62,.14,.89
51,Nifty Smallcap 50,.65,.33,.36,-1.23,.92,1.34,-1.36,.91,1.33,-.71,-.59,.68,.65,.47,1.95
52,Nifty MidSmallcap 400,-.03,.24,.64,-.35,.52,1.11,-.62,.49,.82,-.39,-.6,.83,.59,-.06,.43
53,Nifty Midcap 150,-.19,.22,.6,-.15,.38,1,-.57,.49,.75,-.42,-.75,.83,.57,-.17,.2
54,Nifty Midcap Select,.04,.04,.99,.12,-.01,1.52,-1.08,.48,.84,-.55,-1.22,.92,.76,-.23,0
55,NIFTY LargeMidcap 250,-.63,.42,.51,-.02,.52,.89,-.26,.14,.62,-.19,-.8,.67,.35,.04,.42
56,NIFTY SME EMERGE,.15,.28,-.13,-.53,.34,.3,-1.05,.56,-.38,-.05,-.04,.86,.86,.89,1.01
57,Nifty Oil & Gas,-.5,.65,.66,.17,.64,.46,-1.17,.17,.94,.59,-.09,1.89,.84,-.68,2.26
58,Nifty Financial Services 25/50,-.21,.86,.63,-.3,.74,.21,.31,.03,-.21,-.07,-.8,-.08,-.41,.72,.91
59,Nifty Healthcare Index,-.31,1.17,.48,-.4,.8,.1,-.52,.22,1.18,-.09,-.88,1.19,.75,.23,-.94
60,Nifty500 Multicap 50:25:25,-.5,.43,.55,-.17,.63,.97,-.29,.14,.67,-.17,-.68,.67,.37,.11,.59
61,Nifty Microcap 250,.2,.18,.84,-.15,1,1.16,-1.04,.81,.97,-.06,-.12,.74,1.22,-.23,.78
62,Nifty Total Market,-.78,.52,.49,0,.65,.86,-.13,-.02,.58,-.07,-.76,.59,.28,.16,.6
63,Nifty India Digital,-1.34,-.11,.1,-.2,.09,2.52,1.28,.17,1.16,-1.07,-1.05,.38,.17,-.18,-.41
64,Nifty Mobility,.02,.33,.04,-.1,-.11,.6,-.39,.11,1.33,-.19,-.43,.95,1.31,-.48,.02
65,Nifty India Defence,.12,.8,-.12,.12,.7,-.68,.01,.92,4.58,.09,-.15,.46,.36,-.89,-.06
66,Nifty Financial Services Ex-Bank,-.37,.2,1.09,-.81,-.1,.26,.08,.42,-.19,-.27,-.93,-.24,-.31,1.62,1.22
67,Nifty Housing,-.17,.37,.73,-.02,.65,.59,-.31,-.26,.4,.22,-1.21,.62,.05,-.04,.77
68,Nifty Transportation & Logistics,.05,.32,.08,-.14,-.25,.4,-.38,.06,1.39,-.35,-.11,1,1.34,-.4,-.3
69,Nifty MidSmall Financial Services,.27,.34,.53,-.54,.25,1.01,-1.45,1,.74,-.24,-1.3,.65,.95,.4,1.16
70,Nifty MidSmall Healthcare,-.31,.82,.21,.01,.93,.48,-.54,.44,.93,-.21,-.52,1.4,.7,-.53,-.52
71,Nifty MidSmall IT & Telecom,-1.08,-.79,1.33,-.81,.43,3.34,.99,-.5,1.28,-1.48,-.78,.4,.18,-.24,-.61
72,Nifty MidSmall India Consumption,-.19,.06,.82,-.4,.73,.93,-.52,.06,1.08,-.59,-.39,1.33,.37,-.56,.14
73,Nifty REITs & InvITs,.38,-.15,-.47,0,.52,.46,.03,-.23,-.1,.05,.85,.5,-.02,-.22,-.02
74,Nifty Consumer Durables,-1.3,-.18,.97,-.06,.22,.07,-.87,-.18,1.31,-.8,-.19,.66,.35,.07,-.22
75,Nifty Non-Cyclical Consumer,-.69,.63,.3,-.29,-.09,.73,-.35,.07,1.37,-.54,-.98,.34,.92,-.37,.26
76,Nifty India Manufacturing,-.41,.41,.41,.01,.35,.52,-.47,.17,.98,.07,-.51,.95,.6,-.26,-.12
