,Index Name,ind_close_all_16072024.csv,ind_close_all_15072024.csv,ind_close_all_12072024.csv,ind_close_all_11072024.csv,ind_close_all_10072024.csv,ind_close_all_09072024.csv,ind_close_all_08072024.csv,ind_close_all_05072024.csv,ind_close_all_04072024.csv,ind_close_all_03072024.csv,ind_close_all_02072024.csv,ind_close_all_01072024.csv
0,Nifty 50,.11,.35,.77,-.03,-.45,.46,-.01,.09,.06,.67,-.07,.55
1,Nifty Next 50,-.6,.86,-.44,.22,.05,.48,.11,.68,.47,1.08,-.54,.94
2,Nifty 100,-.07,.46,.56,.03,-.35,.48,.01,.19,.14,.74,-.14,.59
3,Nifty 200,-.06,.53,.48,.09,-.34,.46,-.05,.3,.21,.75,-.24,.66
4,Nifty 500,-.02,.5,.39,.12,-.39,.42,-.07,.32,.28,.76,-.22,.74
5,Nifty Midcap 50,.1,.84,-.07,.12,-.5,.24,-.67,.76,.72,.96,-.81,.82
6,NIFTY Midcap 100,0,.86,.04,.4,-.27,.33,-.35,.83,.58,.79,-.78,1
7,NIFTY Smallcap 100,.08,.52,.16,.69,-.88,.26,-.17,.79,.49,1.03,-.45,1.51
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.25,1.09,-.44,-.18,-2.02,2.23,-.54,.13,.73,.21,-.76,.49
10,Nifty Bank,-.11,.34,.02,.16,-.72,.27,-.45,-.83,.03,1.77,-.77,.44
11,Nifty Energy,-.23,1.07,.21,.19,.16,-.08,.28,1.62,.15,.17,.35,-.53
12,Nifty Financial Services,-.18,.37,.02,0,-.27,.32,-.23,-1,-.18,1.8,-.55,.9
13,Nifty FMCG,.96,.58,.35,.28,.28,.97,1.63,1.08,-.21,.9,-.85,.7
14,Nifty IT,.59,-.29,4.53,.14,-1.03,-.2,.06,-.01,1.1,.04,1.17,1.97
15,Nifty Media,-1.03,1.53,2.08,1.03,-1.76,.36,-.37,.13,-.45,-.39,1.05,2.42
16,Nifty Metal,-.08,.22,-.15,0,-1.61,.05,-.93,.34,-.03,1.06,-.48,.7
17,Nifty MNC,.3,.57,-.32,-.39,-.35,1.08,-.24,.61,.3,.54,-.56,1
18,Nifty Pharma,-.38,1.13,.05,-.6,.39,1.57,-.63,1.29,1.39,.65,.14,.14
19,Nifty PSU Bank,-.25,3.07,-.53,.17,-1.4,1.28,-1.6,1.25,.16,1.06,-1.81,-.76
20,Nifty Realty,1.66,1.34,-1.5,-1.49,-.04,1.14,-.43,-.03,.51,.33,.83,-.33
21,Nifty India Consumption,.44,.68,.12,.03,-.4,1.21,.17,.46,.06,.52,-.76,.53
22,Nifty Commodities,-.02,.83,.07,.26,-.33,.36,-.46,.76,-.06,.36,-.12,.37
23,Nifty Dividend Opportunities 50,.16,.95,1.29,.54,-.37,.28,.41,.92,.53,.81,-.28,.75
24,Nifty Infrastructure,-.14,.73,.13,-.15,.15,.14,.01,1.24,-.05,.04,.07,-.02
25,Nifty PSE,-.6,1.23,-.3,1.1,.47,.07,1.17,1.4,.49,1.62,-.16,.44
26,Nifty Services Sector,.03,.4,1.08,-.04,-.4,.2,-.1,-.54,.06,1.03,-.19,.75
27,Nifty50 Shariah,.59,.24,2.36,.15,-.29,.18,.36,.44,.66,.25,.64,1.04
28,Nifty500 Shariah,.26,.44,1.05,.1,-.34,.2,.16,.51,.68,.56,.17,1.21
29,Nifty Low Volatility 50,.27,.56,.55,-.12,.31,.75,.21,.63,.25,.48,-.37,.6
30,Nifty Alpha 50,-.41,.89,-.34,.81,-.13,.15,.78,1.3,1.23,1.45,-.54,.46
31,Nifty High Beta 50,-.22,.88,-.28,.66,-.89,.06,.09,.72,.54,1.96,-.82,.75
32,Nifty100 Equal Weight,-.04,.69,.26,.05,.03,.58,-.06,.59,.23,.83,-.34,.59
33,Nifty100 Liquid 15,.09,.5,.3,.12,-.34,.45,-.25,.67,-.07,.71,-1.03,.21
34,Nifty CPSE,-.45,1.52,.22,1.08,.5,.15,1.12,1.78,.95,1.46,.4,-.48
35,Nifty50 Value 20,.36,.55,1.53,.31,-.56,.46,.36,.61,.84,.5,-.05,.64
36,Nifty Midcap Liquid 15,-.01,.91,.68,.47,-.53,.11,-.64,.53,1.26,1.07,-.06,1.08
37,Nifty Shariah 25,.34,.39,1.46,.03,-.09,.23,.58,.59,.65,.48,.13,.95
38,India VIX,.25,3.37,-1.93,-3.03,1.07,5,7.13,-1.24,-2.65,-3.19,-1.37,.2
39,Nifty Growth Sectors 15,.59,.23,1.9,.21,-.39,1.09,.31,.41,.51,.21,.24,.95
40,Nifty50 TR 1x Inverse,-.09,-.3,-.75,.06,.45,-.45,.06,-.09,-.03,-.65,.09,-.5
41,Nifty50 TR 2x Leverage,.21,.64,1.53,-.09,-.91,.92,-.08,.2,.11,1.33,-.17,1.04
42,Nifty50 PR 1x Inverse,-.1,-.3,-.75,.07,.45,-.45,.07,-.07,-.05,-.64,.07,-.49
43,Nifty50 PR 2x Leverage,.2,.64,1.51,-.09,-.91,.91,-.08,.16,.11,1.33,-.17,1.04
44,NIFTY100 Quality 30,.46,.17,.83,.11,.04,.69,.5,.43,.19,.68,-.1,.91
45,Nifty Mahindra Group,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,.11,.47,.59,.13,-.51,.47,.04,.1,.06,.63,.01,.37
47,Nifty Tata Group,,,,,,,,,,,,
