,Index Name,ind_close_all_23072025.csv,ind_close_all_22072025.csv,ind_close_all_21072025.csv,ind_close_all_18072025.csv,ind_close_all_17072025.csv,ind_close_all_16072025.csv,ind_close_all_15072025.csv,ind_close_all_14072025.csv,ind_close_all_11072025.csv,ind_close_all_10072025.csv,ind_close_all_09072025.csv,ind_close_all_08072025.csv,ind_close_all_07072025.csv,ind_close_all_04072025.csv,ind_close_all_03072025.csv,ind_close_all_02072025.csv,ind_close_all_01072025.csv
0,Nifty 50,.63,-.12,.49,-.57,-.4,.06,.45,-.27,-.81,-.47,-.18,.24,0,.22,-.19,-.35,.1
1,Nifty Next 50,.16,-.36,.41,-.71,-.23,.21,.65,.47,-.81,-.23,-.06,-.01,.17,.37,-.54,-.29,-.1
2,Nifty 100,.55,-.16,.48,-.59,-.37,.09,.49,-.14,-.81,-.43,-.16,.2,.03,.24,-.25,-.34,.06
3,Nifty 200,.52,-.24,.5,-.61,-.34,.08,.57,0,-.82,-.41,-.16,.14,-.02,.2,-.2,-.3,.06
4,Nifty 500,.46,-.25,.44,-.62,-.22,.1,.6,.11,-.8,-.37,-.06,.09,-.05,.17,-.11,-.29,-.01
5,Nifty Midcap 50,.44,-.78,.64,-.61,-.17,-.04,.98,.83,-1.16,-.46,-.14,-.21,-.18,-.12,.12,-.07,.03
6,NIFTY Midcap 100,.34,-.61,.62,-.7,-.17,.01,.95,.7,-.88,-.3,-.13,-.17,-.27,-.01,.03,-.14,.01
7,NIFTY Smallcap 100,0,-.34,-.01,-.82,-.12,.03,.95,1.02,-1.02,-.27,.59,-.29,-.44,.03,.26,-.41,-.1
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.85,-.74,.67,-.45,-.04,.44,1.5,.25,-1.77,-.12,.38,-.38,-.15,-.1,.44,.32,-.2
10,Nifty Bank,.8,-.35,1.19,-.96,-.59,.28,.43,.02,-.35,-.45,-.07,.54,-.15,.42,-.36,-.8,.26
11,Nifty Energy,.29,-.14,.05,-.57,.24,.12,.3,.29,-.96,-.19,-.24,.2,.06,.4,.09,-.41,-.24
12,Nifty Financial Services,.84,.01,1.62,-.94,-.4,-.05,.47,-.19,-.49,-.27,.15,.68,-.12,.49,-.47,-.97,-.18
13,Nifty FMCG,-.52,-.39,-.5,-.59,.28,.45,.72,.21,.51,-.57,.8,-.27,1.68,.4,.14,-.12,-.69
14,Nifty IT,.25,-.47,-.3,.01,-1.39,.63,.4,-1.11,-1.78,-.79,-.78,.3,-.76,.8,-.06,.12,-.3
15,Nifty Media,-.94,-2.27,.16,.96,-.25,1.31,.48,1.36,-1.6,-.15,-.39,-.11,-1.03,.66,1.45,-.36,-1.31
16,Nifty Metal,.48,-.23,1.03,.37,.67,-.54,.04,.27,-.43,.42,-1.4,-.05,-.61,-.45,-.78,1.41,.31
17,Nifty MNC,.15,-.17,.52,-.4,.18,.04,.45,.41,-.06,-.24,.21,-.28,.49,.07,.14,.22,-.55
18,Nifty Pharma,.49,-1,-.27,-.39,.38,-.32,1.14,.83,.68,-.59,.19,-.89,-.09,.81,.42,.32,.01
19,Nifty PSU Bank,.44,-1.57,-.62,-.66,-.79,1.81,.87,.73,-.14,-.8,-.43,-.25,-.16,.32,-.89,-.83,.71
20,Nifty Realty,-2.6,-1.01,.64,-.12,1.24,.5,.79,1.39,-1.21,.72,-1.49,.99,.08,.91,-.71,-1.44,-.24
21,Nifty India Consumption,.32,.46,.41,-.62,-.19,.38,.72,.38,-.9,-.67,.14,-.33,.43,-.49,-.09,.13,-.1
