,Index Name,ind_close_all_22072026.csv,ind_close_all_21072026.csv,ind_close_all_20072026.csv,ind_close_all_17072026.csv,ind_close_all_16072026.csv,ind_close_all_15072026.csv,ind_close_all_14072026.csv,ind_close_all_13072026.csv,ind_close_all_10072026.csv,ind_close_all_09072026.csv,ind_close_all_08072026.csv,ind_close_all_07072026.csv,ind_close_all_06072026.csv,ind_close_all_03072026.csv,ind_close_all_02072026.csv,ind_close_all_01072026.csv
0,Nifty 50,-.79,-.21,-.39,1.09,-.02,.11,-.66,.02,1.02,.34,-2.12,-.13,.66,.39,.71,.59
1,Nifty Next 50,-.66,.44,.88,-.1,-.35,.41,-.36,-.39,1.27,.83,-1.87,-.6,.58,-.21,.44,.66
2,Nifty 100,-.77,-.09,-.16,.87,-.08,.17,-.6,-.06,1.06,.43,-2.07,-.22,.64,.28,.66,.6
3,Nifty 200,-.83,-.01,-.01,.61,-.15,.19,-.57,-.04,1.13,.62,-1.97,-.23,.6,.19,.62,.55
4,Nifty 500,-.89,.06,.01,.45,-.13,.28,-.63,-.01,1.16,.76,-1.97,-.28,.57,.16,.66,.5
5,Nifty Midcap 50,-1.14,.28,.61,-.3,-.29,.27,-.56,.17,1.2,1.36,-1.45,0,.45,-.13,.51,.69
6,NIFTY Midcap 100,-1.09,.3,.6,-.41,-.41,.28,-.44,.01,1.4,1.38,-1.55,-.3,.45,-.19,.48,.34
7,NIFTY Smallcap 100,-1.54,.53,.16,-.21,-.1,.67,-1.01,.03,1.55,1.8,-2.24,-.55,.75,.04,1.25,.36
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.18,.93,-.26,1.24,.46,.37,-1.61,.45,.69,-.21,-2.23,-.04,1.36,-.44,1.21,1.15
10,Nifty Bank,-1.23,-.19,-.98,1.63,-.3,.51,-1.15,.15,1.39,.9,-2.51,-.16,.61,-.16,0,.85
11,Nifty Energy,-.38,-.19,.98,-.17,-.09,.45,-.04,-.06,1.04,.37,-1.26,-.74,.77,-1.33,-.15,.06
12,Nifty Financial Services,-1.29,-.16,-1.22,1.31,-.51,.59,-1.12,.02,1.32,.6,-2.45,-.03,.44,.05,.24,.92
13,Nifty FMCG,.65,-.31,.65,.7,.25,-.49,-.58,-1.02,-.08,.76,-2.49,.06,.2,.02,.56,2.08
14,Nifty IT,-1.5,-.61,-.22,1.75,.67,-.67,-1,3.59,1.96,-.3,-1.37,2.43,-.59,1.76,4.64,-2.01
15,Nifty Media,-2.68,-.04,1.09,0,1.18,-.46,-.31,2.09,.1,2.09,-2.31,-.74,-.95,-.45,.67,2.07
16,Nifty Metal,-.48,.63,.86,-.47,-.33,-1.11,.61,-.69,1.48,.28,-.91,-1.1,.98,.76,.88,-.99
17,Nifty MNC,0,.24,.37,-.17,.29,.55,-.51,-.73,.68,.55,-2.14,-.56,.96,-.21,.25,1.04
18,Nifty Pharma,-1.31,.34,1.4,-1.4,.02,.37,1.03,-.12,.07,.89,-.97,-.73,.47,1.72,.5,-.57
19,Nifty PSU Bank,-1.84,-.88,2.78,.41,-.46,.95,-1.8,.11,3.03,1.62,-2.72,-.43,-.88,-1.54,-.43,.99
20,Nifty Realty,-2.63,1.07,-.13,1.38,-.98,-.38,-1.97,-.15,3.49,3.54,-1.87,-1.58,1.81,2.19,1.45,3.58
21,Nifty India Consumption,-.06,.33,.48,.39,.22,.2,-.48,-.6,.32,.62,-2.07,.01,.66,.24,.64,1.54
22,Nifty Commodities,-.72,.41,1,.15,-.08,-.36,.2,-.5,1.2,.14,-1.48,-.41,.6,.3,.76,-.08
