,Index Name,ind_close_all_22062023.csv,ind_close_all_21062023.csv,ind_close_all_20062023.csv,ind_close_all_19062023.csv,ind_close_all_16062023.csv,ind_close_all_15062023.csv,ind_close_all_14062023.csv,ind_close_all_13062023.csv,ind_close_all_12062023.csv,ind_close_all_09062023.csv,ind_close_all_08062023.csv,ind_close_all_07062023.csv,ind_close_all_06062023.csv,ind_close_all_05062023.csv,ind_close_all_02062023.csv,ind_close_all_01062023.csv
0,Nifty 50,-.45,.21,.33,-.37,.74,-.36,.21,.62,.21,-.38,-.49,.68,.03,.32,.25,-.25
1,Nifty Next 50,-1.18,-.05,.37,-.16,1.02,.03,.23,.95,.46,-.1,-.66,.94,.46,.17,.42,.25
2,Nifty 100,-.56,.18,.33,-.35,.78,-.28,.2,.66,.24,-.33,-.52,.71,.08,.31,.28,-.18
3,Nifty 200,-.63,.26,.35,-.3,.76,-.21,.2,.74,.28,-.3,-.52,.76,.07,.29,.3,-.13
4,Nifty 500,-.62,.25,.36,-.24,.77,-.16,.22,.75,.33,-.27,-.54,.81,.12,.31,.32,-.04
5,Nifty Midcap 50,-1.21,.75,.67,.07,.82,-.17,.25,1.24,.8,-.11,-.98,.8,-.1,.09,.73,.21
6,NIFTY Midcap 100,-1.06,.81,.49,.04,.68,.21,.21,1.22,.55,-.14,-.55,1.04,.06,.14,.46,.15
7,NIFTY Smallcap 100,-.76,.07,.52,.27,.98,.15,.12,.7,.87,-.12,-.95,1.35,.54,.36,.5,1.02
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.51,-.05,.74,-.62,.41,.17,.17,-.11,.33,-.45,-.86,.61,1.09,1.26,.92,.41
10,Nifty Bank,-.31,.21,.3,-.69,1.14,-1.24,-.21,.31,-.1,-.01,-.63,.25,.14,.37,.34,-.77
11,Nifty Energy,-1.04,.84,.49,-.78,.41,-.02,.98,.54,.41,-.19,.37,1.08,-.14,.49,-.17,-.21
12,Nifty Financial Services,-.21,.68,.4,-.16,1.19,-.98,-.26,.36,-.06,-.13,-.52,.3,.21,.36,.24,-.63
13,Nifty FMCG,-.72,-.44,.08,-.6,.76,.54,.59,1.38,.17,-.92,-.9,1.12,-.04,-.45,.57,-.09
14,Nifty IT,-.74,.33,.78,.42,-.38,-.54,-.15,.4,1.51,-.82,-1.12,.78,-1.88,-.3,-.4,.43
15,Nifty Media,.04,.55,-1.22,-.89,1.08,-1,-.56,1.78,1.13,-.83,-1.52,.45,-.14,.88,.92,.71
16,Nifty Metal,.05,-.94,.7,-.45,.46,-.19,1.42,.85,.61,-.47,.16,1.51,-.14,.33,1.22,-.1
17,Nifty MNC,-.97,-.24,.24,-.24,.77,.04,.6,.94,.24,-.1,-.77,1.39,.43,.21,.72,.17
18,Nifty Pharma,-.61,.07,-.19,.17,.62,1.42,-.13,1.07,-.04,-.39,-1.03,.25,.61,.26,.69,1.06
19,Nifty PSU Bank,-1.67,.44,.25,.96,1.46,-1.99,.03,.21,.48,-1.21,-.3,.72,-.2,-.43,.98,.59
20,Nifty Realty,-.8,-.33,.49,-.73,-.21,-.76,.28,3.01,1.41,.04,-1.59,1.59,1.19,.35,1.42,1.09
21,Nifty India Consumption,-.68,-.33,.16,-.64,.73,.42,.31,.99,.22,-.65,-.84,1.03,.18,.09,.81,.26
22,Nifty Commodities,-.8,-.02,.24,-.49,.48,-.11,1.08,.83,.52,-.63,-.34,1.16,.53,.45,.55,-.29
23,Nifty Dividend Opportunities 50,-.72,.16,.56,-.14,.37,-.23,.47,.74,.84,-.59,-.36,1.06,-.26,-.03,.31,.07
24,Nifty Infrastructure,-.65,.52,.34,-.72,.59,.1,.68,.64,.25,.06,-.22,1.11,.48,.43,.47,-.24
25,Nifty PSE,-1.12,.73,.53,-.26,.63,-.09,.61,.29,.61,.57,.24,1.21,.32,.42,.46,-.48
26,Nifty Services Sector,-.41,.56,.48,-.22,.84,-.73,-.15,.29,.31,-.23,-.53,.53,-.26,.22,.01,-.32
27,Nifty50 Shariah,-.9,.15,.46,-.27,.11,-.1,.47,.73,1.03,-.91,-.84,.97,-.62,-.16,-.14,.47
28,Nifty500 Shariah,-.82,.13,.4,-.21,.39,.14,.42,.86,.76,-.48,-.67,.91,-.23,.04,.16,.42
29,Nifty Low Volatility 50,-.77,.25,.7,-.35,.6,.06,.4,.74,.42,-.62,-.55,1.03,.2,.02,.15,.04
30,Nifty Alpha 50,-1.31,.25,.21,-.09,1.6,.26,.06,.76,.5,.28,-.51,.69,.46,.39,.82,.19
31,Nifty High Beta 50,-1.3,.38,.4,.07,1.03,-.19,-.13,1.27,.75,-.04,-.78,.97,.35,.52,.46,.5
32,Nifty100 Equal Weight,-.9,.11,.44,-.26,.79,.03,.2,.71,.42,-.2,-.63,.94,.33,.24,.49,.12
33,Nifty100 Liquid 15,-.63,-.09,.28,-.47,.82,-.11,.04,.52,.32,-.2,-.73,.72,.41,.66,.41,-.07
34,Nifty CPSE,-.96,.89,.64,-.51,.53,-.09,.67,.48,.19,.43,.74,.75,.14,.55,.31,-.91
35,Nifty50 Value 20,-.69,.06,.51,-.18,.21,-.27,.44,.72,.76,-.91,-.45,1.03,-.55,-.1,.24,-.02
36,Nifty Midcap Liquid 15,-1.07,1.34,.38,.21,.91,-.22,-.2,.69,.76,-.45,-.94,.85,-.25,.1,.54,.09
37,Nifty Shariah 25,-.93,.05,.48,-.5,.32,.14,.44,.75,.81,-.74,-.75,.8,-.3,-.18,-.03,.59
38,India VIX,2.26,1.44,-.82,3.55,-2.17,-.74,.47,-1.2,1.12,-1.22,-1.62,.55,2.18,.11,-4.07,-3.13
39,Nifty Growth Sectors 15,-.52,-.04,.3,-.02,.41,.05,.3,.78,.27,-.8,-.99,.76,-.06,-.18,.47,.21
40,Nifty50 TR 1x Inverse,.48,-.22,-.29,.39,-.72,.36,-.19,-.62,-.14,.38,.5,-.67,0,-.26,-.33,.29
41,Nifty50 TR 2x Leverage,-.93,.41,.63,-.76,1.46,-.68,.41,1.21,.36,-.76,-1,1.35,.04,.59,.66,-.52
42,Nifty50 PR 1x Inverse,.47,-.2,-.3,.43,-.71,.39,-.2,-.6,-.14,.38,.53,-.68,0,-.28,-.22,.26
43,Nifty50 PR 2x Leverage,-.93,.41,.63,-.8,1.46,-.74,.41,1.21,.36,-.78,-1,1.35,.04,.59,.48,-.52
44,NIFTY100 Quality 30,-.84,-.06,.48,-.2,.32,.08,.09,.7,.63,-.69,-.66,.92,-.06,-.19,.23,.32
45,Nifty Mahindra Group,-.26,-.19,.14,.98,.74,.59,.06,.02,.98,-.75,-1.75,.22,.08,1.54,1.13,.53
46,Nifty 50 Futures TR Index,-.33,.19,.15,-.25,.84,-.37,.24,.52,.33,-.4,-.45,.69,-.11,.38,.37,-.3
47,Nifty Tata Group,-.75,.42,.66,.43,-.36,-.68,.62,.73,.71,-.51,-.96,1.48,-.77,.02,.1,.93
48,Nifty Tata Group 25% Cap,-.83,.07,.74,.07,.26,-.43,1.03,1.15,.36,-.51,-.99,1.58,-.19,.29,.53,.75
49,Nifty Private Bank,-.42,.07,.38,-.89,1.29,-1.2,-.37,.45,-.03,.23,-.76,.12,.22,.68,.21,-.71
50,Nifty Smallcap 250,-.73,.07,.4,.31,.8,.31,.29,.73,.65,-.06,-.67,1.12,.54,.28,.48,.83
51,Nifty Smallcap 50,-.62,-.39,.36,.17,1.02,.26,-.42,.04,1.16,-.16,-1.35,1.32,.44,.62,.54,1.04
52,Nifty MidSmallcap 400,-.8,.51,.44,.12,.74,.22,.28,1.02,.61,-.11,-.58,1.12,.26,.29,.46,.41
53,Nifty Midcap 150,-.83,.73,.46,.02,.7,.17,.28,1.18,.59,-.13,-.54,1.12,.11,.3,.45,.19
54,Nifty Midcap Select,-1.21,.45,.75,.13,.92,-.04,.06,1.35,.74,-.16,-.97,.81,.04,-.22,.68,.19
55,NIFTY LargeMidcap 250,-.7,.47,.4,-.16,.74,-.05,.24,.92,.42,-.23,-.53,.92,.09,.3,.37,.01
56,NIFTY SME EMERGE,-.03,1.63,1.91,.05,0,-.38,.37,.55,.73,.36,-.19,-.13,-.22,-.07,.63,-.49
57,Nifty Oil & Gas,-.79,.42,.06,-.54,.14,.14,.91,.72,.85,-.48,-.39,1.06,.01,.25,-.67,-.13
58,Nifty Financial Services 25/50,-.63,1.02,.89,.37,1.42,-.73,-.37,.51,.24,-.31,-.5,.56,.3,.37,.23,-.4
