,Index Name,ind_close_all_07062024.csv,ind_close_all_06062024.csv,ind_close_all_05062024.csv,ind_close_all_04062024.csv,ind_close_all_03062024.csv
0,Nifty 50,2.05,.89,3.36,-5.93,3.25
1,Nifty Next 50,1.46,2.08,4.39,-9.34,4.58
2,Nifty 100,1.93,1.09,3.57,-6.59,3.51
3,Nifty 200,1.86,1.27,3.68,-6.79,3.46
4,Nifty 500,1.87,1.48,3.59,-6.76,3.29
5,Nifty Midcap 50,1.55,1.85,5.04,-7.76,3.3
6,NIFTY Midcap 100,1.49,2.24,4.3,-7.88,3.19
7,NIFTY Smallcap 100,2.31,3.29,3.81,-8.23,2.41
8,Nifty50 Dividend Points,-,-,-,-,-
9,Nifty Auto,2.56,.47,4.7,-3.33,2.45
10,Nifty Bank,1.04,.48,4.53,-7.95,4.07
11,Nifty Energy,2.4,1.62,2.89,-12.47,6.77
12,Nifty Financial Services,1.24,.98,4.15,-7.86,4.04
13,Nifty FMCG,1.01,-.34,4.34,.95,1.01
14,Nifty IT,3.37,2.83,2.39,-.6,.39
15,Nifty Media,1.46,3.68,3.96,-6.59,3.14
16,Nifty Metal,2.09,1.43,5.75,-10.63,3.34
17,Nifty MNC,1.13,1.03,3.74,-3.59,1.93
18,Nifty Pharma,1.8,-.25,3.65,-1.38,.36
19,Nifty PSU Bank,1.23,2.92,2.88,-15.14,8.4
20,Nifty Realty,2.08,4.69,2.53,-9.62,5.95
21,Nifty India Consumption,1.85,.14,4.46,-1.79,1.49
22,Nifty Commodities,2.2,1.43,3.86,-10.61,5.38
23,Nifty Dividend Opportunities 50,2.04,2.26,3.2,-7.92,4.23
24,Nifty Infrastructure,2.4,1.71,2.76,-10.59,5.53
25,Nifty PSE,2.25,3.68,2.51,-16.38,7.81
26,Nifty Services Sector,1.88,1.27,3.81,-6.41,3.23
27,Nifty50 Shariah,2.46,1.11,2.86,-1.28,1.01
28,Nifty500 Shariah,2.01,1.71,3.32,-4.25,1.96
29,Nifty Low Volatility 50,1.62,.57,3.68,-3.02,2.09
30,Nifty Alpha 50,1.6,3.04,4.03,-10.55,4.74
31,Nifty High Beta 50,1.8,2.64,5.59,-13.25,5.22
32,Nifty100 Equal Weight,1.71,1.33,3.89,-7.18,3.62
33,Nifty100 Liquid 15,2.43,1.16,3.74,-8.59,4.51
34,Nifty CPSE,2.63,2.95,2.17,-15.04,7.16
35,Nifty50 Value 20,2.11,1.6,3.16,-6,3.08
36,Nifty Midcap Liquid 15,1.58,.97,5.92,-6.51,2.95
37,Nifty Shariah 25,2.15,1.2,3.02,-3.43,2.14
38,India VIX,.49,-11.04,-29.4,27.75,-14.9
39,Nifty Growth Sectors 15,1.98,1.01,3.05,-.53,.5
40,Nifty50 TR 1x Inverse,-2.03,-.87,-3.35,5.89,-3.21
41,Nifty50 TR 2x Leverage,4.09,1.76,6.71,-11.75,6.46
42,Nifty50 PR 1x Inverse,-2.04,-.86,-3.35,5.96,-3.2
43,Nifty50 PR 2x Leverage,4.09,1.76,6.71,-11.88,6.46
44,NIFTY100 Quality 30,1.63,1.17,3.32,-3.02,1.44
45,Nifty Mahindra Group,,,,,
46,Nifty 50 Futures TR Index,1.88,1.15,3.37,-6.39,3.17
47,Nifty Tata Group,,,,,
48,Nifty Tata Group 25% Cap,,,,,
49,Nifty Private Bank,1.02,-.03,5.13,-7.04,3.34
50,Nifty Smallcap 250,2.25,3.25,3.31,-7.45,2.06
51,Nifty Smallcap 50,2.48,3.08,4.87,-7.45,2.07
52,Nifty MidSmallcap 400,1.7,2.55,3.67,-7.23,2.68
53,Nifty Midcap 150,1.41,2.18,3.86,-7.11,3.01
54,Nifty Midcap Select,1.44,1.17,5.67,-7.53,3.22
55,NIFTY LargeMidcap 250,1.66,1.65,3.72,-6.86,3.25
56,NIFTY SME EMERGE,2.34,1.8,2,-5.03,1.14
57,Nifty Oil & Gas,2.1,2.37,2.18,-11.8,6.81
58,Nifty Financial Services 25/50,1.24,1.43,4.24,-8.73,4.37
59,Nifty Healthcare Index,1.52,-.08,3.62,-.93,.45
60,Nifty500 Multicap 50:25:25,1.88,1.92,3.58,-6.94,3.01
61,Nifty Microcap 250,2.36,3.16,3.16,-7.26,1.9
62,Nifty Total Market,1.88,1.53,3.58,-6.78,3.24
63,Nifty India Digital,2.69,2.36,3.96,-4.08,.62
64,Nifty Mobility,1.77,.8,4.58,-6.12,3.35
65,Nifty India Defence,2.48,5.86,-.7,-14.85,4.59
66,Nifty Financial Services Ex-Bank,1.75,2.04,4.26,-8.25,3.85
67,Nifty Housing,1.76,1.52,3.67,-9.73,4.95
68,Nifty Transportation & Logistics,2.08,.78,4.73,-5.27,2.96
69,Nifty MidSmall Financial Services,1.7,1.07,4.91,-7.62,2.48
70,Nifty MidSmall Healthcare,1.34,.8,3.86,-2.04,.29
71,Nifty MidSmall IT & Telecom,3.79,2.5,5.32,-5.82,1.03
72,Nifty MidSmall India Consumption,1,1.7,4.72,-4.78,2.44
73,Nifty REITs & InvITs,.37,.58,.32,-1.14,.72
74,Nifty Consumer Durables,1.83,.99,3.41,-3.84,1.29
75,Nifty Non-Cyclical Consumer,1.43,-.01,4.74,-1.31,1
76,Nifty India Manufacturing,1.86,1.28,3.74,-6.1,3.06
77,NIFTY100 Alpha 30,1.48,2.44,4.1,-12.69,6.4
78,NIFTY500 Value 50,2,2.32,4.01,-12.59,5.81
79,Nifty100 Low Volatility 30,1.66,.14,3.32,-1.97,1.76
80,NIFTY Alpha Low-Volatility 30,1.61,.72,3.62,-4.89,2.69
81,NIFTY Quality Low-Volatility 30,1.34,.6,3.52,-1.25,.96
82,NIFTY Alpha Quality Low-Volatility 30,1.48,.93,3.82,-3.81,2.18
83,NIFTY Alpha Quality Value Low-Volatility 30,1.85,1.97,3.63,-7.58,3.6
84,NIFTY200 Quality 30,1.63,1.28,3.48,-3.36,1.72
85,NIFTY Midcap150 Quality 50,1.45,1.72,4.14,-5.52,2.62
86,Nifty200 Momentum 30,1.67,2.25,3.91,-9.79,4.61
