,Index Name,ind_close_all_30062025.csv,ind_close_all_27062025.csv,ind_close_all_26062025.csv,ind_close_all_25062025.csv,ind_close_all_24062025.csv,ind_close_all_23062025.csv,ind_close_all_20062025.csv,ind_close_all_19062025.csv,ind_close_all_18062025.csv,ind_close_all_17062025.csv,ind_close_all_16062025.csv,ind_close_all_13062025.csv,ind_close_all_12062025.csv,ind_close_all_11062025.csv,ind_close_all_10062025.csv,ind_close_all_09062025.csv,ind_close_all_06062025.csv,ind_close_all_05062025.csv,ind_close_all_04062025.csv,ind_close_all_03062025.csv,ind_close_all_02062025.csv
0,Nifty 50,-.47,.35,1.21,.8,.29,-.56,1.29,-.08,-.17,-.37,.92,-.68,-1.01,.15,0,.4,1.02,.53,.32,-.7,-.14
1,Nifty Next 50,.42,.61,.92,.48,.85,.07,1.34,-1.41,-.31,-.71,.74,-.83,-1.8,-.22,.11,1.25,1.26,.42,.29,-.55,.42
2,Nifty 100,-.32,.39,1.16,.74,.39,-.45,1.3,-.31,-.19,-.43,.89,-.71,-1.15,.08,.02,.55,1.06,.51,.31,-.68,-.04
3,Nifty 200,-.16,.37,1.06,.69,.44,-.31,1.32,-.53,-.24,-.47,.9,-.65,-1.22,-.02,.02,.65,1.09,.54,.38,-.64,.07
4,Nifty 500,-.01,.44,.95,.79,.49,-.17,1.22,-.71,-.24,-.49,.82,-.61,-1.25,-.01,.04,.71,1.01,.56,.43,-.54,.14
5,Nifty Midcap 50,.51,.09,.67,.46,.83,.39,1.59,-1.62,-.48,-.59,.94,-.28,-1.47,-.39,-.04,1.12,1.67,.63,.89,-.38,.72
6,NIFTY Midcap 100,.6,.27,.59,.44,.71,.36,1.46,-1.63,-.46,-.66,.93,-.37,-1.6,-.49,.01,1.13,1.21,.65,.71,-.45,.62
7,NIFTY Smallcap 100,.52,.91,.42,1.49,.72,.7,1.01,-1.99,-.23,-.69,.95,-.49,-1.78,-.53,.14,1.57,.81,.96,.79,.1,1.19
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.56,.19,.56,.97,.58,-.92,1.04,.52,.37,-.6,.18,-.36,-1.65,.19,-.08,.49,1.52,-.11,.27,-.25,.01
10,Nifty Bank,-.23,.41,1.03,.28,.72,-.34,1.22,-.45,.21,-.41,.75,-.99,-.67,-.3,-.37,.46,1.47,.15,.14,-.54,.28
11,Nifty Energy,.07,1,1,.26,.33,.02,.93,-1.1,-.47,-.48,.76,-.5,-1.93,.3,.45,1.19,.28,.25,.52,-1.07,.15
12,Nifty Financial Services,-.62,.35,1.48,.38,.73,-.35,1.33,-.38,-.2,-.39,.83,-.92,-.78,-.29,-.47,.54,1.75,.47,.04,-.73,-.19
13,Nifty FMCG,-.41,-.02,.68,.74,.22,-.74,.64,-.31,-.47,-.3,.63,-1.05,-1.28,-.67,.31,.4,.31,.18,.13,-.49,.81
