,Index Name,ind_close_all_19062026.csv,ind_close_all_18062026.csv,ind_close_all_17062026.csv,ind_close_all_16062026.csv,ind_close_all_15062026.csv,ind_close_all_12062026.csv,ind_close_all_11062026.csv,ind_close_all_10062026.csv,ind_close_all_09062026.csv,ind_close_all_08062026.csv,ind_close_all_05062026.csv,ind_close_all_04062026.csv,ind_close_all_03062026.csv,ind_close_all_02062026.csv,ind_close_all_01062026.csv
0,Nifty 50,-.64,.34,.4,.57,.98,1.99,-.23,-.12,.52,-1.04,-.21,.05,-.33,.43,-.7
1,Nifty Next 50,-.33,.47,.64,.16,2.4,2.38,-1.12,-1.13,1.41,-1.73,.26,.22,-.37,.28,-1.62
2,Nifty 100,-.58,.37,.45,.49,1.24,2.06,-.4,-.31,.68,-1.17,-.12,.08,-.34,.4,-.88
3,Nifty 200,-.42,.37,.46,.47,1.25,2.14,-.48,-.54,.81,-1.22,-.17,.16,-.35,.36,-.99
4,Nifty 500,-.27,.42,.49,.46,1.29,2.19,-.54,-.61,.89,-1.3,-.14,.2,-.31,.37,-.97
5,Nifty Midcap 50,.1,.32,.3,.6,1.37,2.37,-.82,-1.41,1.23,-.93,-.38,.43,-.56,.05,-1.21
6,NIFTY Midcap 100,.22,.41,.52,.41,1.29,2.43,-.81,-1.49,1.35,-1.4,-.35,.46,-.42,.19,-1.45
7,NIFTY Smallcap 100,.42,.44,.79,.42,1.11,2.8,-.67,-1.33,1.69,-1.92,-.06,.49,-.11,.4,-.88
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.61,.08,-.62,-.32,2.6,1.95,-.17,-.74,1.34,-1.85,.08,.2,.05,.72,-1.7
10,Nifty Bank,-.48,.66,.5,.17,.68,2.97,.14,-.17,2.09,-.79,.35,.22,.88,.13,-1.1
11,Nifty Energy,.22,.54,.81,1.07,.64,1.52,-.75,-2.02,.17,-1.64,-.25,.62,.02,-.16,-1.53
12,Nifty Financial Services,-.57,.67,-.14,.64,1.28,3.15,-.22,.21,1.4,-1,.1,.3,.38,-.59,-1.36
13,Nifty FMCG,-.19,.2,-.17,1.22,.44,.63,-.89,1.05,.73,-.42,.18,.19,-1.01,.76,-2.3
14,Nifty IT,-3.65,-1.19,.85,1.78,.98,-.09,-1.62,-.83,-.48,-1.23,-.99,-.29,-5.57,4.23,2.66
15,Nifty Media,.1,.55,-.04,1.4,-.14,1.51,1.78,-2.36,-.15,-1.71,3.48,2.19,-.59,.12,1.37
16,Nifty Metal,.08,-.01,1.01,-1.55,1.78,.95,-.26,-1.7,.57,-2.33,-1.6,-.73,-.17,.38,.49
17,Nifty MNC,.07,.01,.66,.14,2.27,1.6,-.68,-.27,.77,-1.49,.02,.18,-.36,.03,-2.2
18,Nifty Pharma,.73,.56,-.05,-.26,-.66,.3,.61,-.53,.59,-.41,.29,.38,.33,-.86,-.54
19,Nifty PSU Bank,-.62,.66,1.75,-.21,.62,2.71,-.89,-1.39,3.62,-.72,.48,.41,1.7,.55,-1.85
20,Nifty Realty,-1.01,.69,-.43,2.26,3.96,3.53,-.64,-1.74,1.63,-2.56,.56,.26,-1.39,.67,-1.83
21,Nifty India Consumption,.05,.53,.6,.55,1.73,1.64,-.53,-.36,.56,-.98,.07,.45,-.28,.75,-1.57
22,Nifty Commodities,-.34,.45,.35,-.13,1.27,1.39,-.6,-1.54,.31,-1.6,-.77,-.21,-.18,-.19,-.51
23,Nifty Dividend Opportunities 50,-1.18,-.01,.65,.52,1.21,1.41,-1,-.75,.6,-1.05,-.43,.17,-1.28,1.02,-.47
24,Nifty Infrastructure,.13,.31,.46,.6,1.45,2.35,-.4,-.67,.38,-1.03,-.29,-.11,-.08,-.11,-1.24
25,Nifty PSE,-.08,.68,1.01,.64,.57,1.16,-1.02,-1.58,.01,-.38,-.41,.32,.07,-.68,-.74
26,Nifty Services Sector,-.8,.46,.33,.68,.87,2.3,-.23,.04,.61,-.74,-.23,.1,-.35,.47,-.56
27,Nifty50 Shariah,-1.77,-.14,.52,.61,.65,.4,-1.05,-.37,.03,-.76,-.47,-.48,-2.09,2.15,.12
28,Nifty500 Shariah,-.58,.21,.65,.55,.89,1.34,-.92,-.69,.63,-1.32,-.31,.19,-1.1,1.19,-.64
29,Nifty Low Volatility 50,-.5,.38,.13,.57,.84,1.31,-.39,.05,.63,-.89,-.11,.08,-.47,.28,-1.08
30,Nifty Alpha 50,.94,.36,.96,-.08,1.83,3.03,-.79,-1.57,1.78,-2.18,-.18,.54,.37,.2,-2.03
31,Nifty High Beta 50,-.15,.41,.56,.6,2.15,3,-1.18,-1.71,1.58,-2.14,.21,.24,-.51,.58,-1.39
32,Nifty100 Equal Weight,-.29,.56,.53,.3,1.53,1.94,-.81,-.93,.99,-1.47,.09,.16,-.44,.41,-1.23
33,Nifty100 Liquid 15,.06,.28,.69,.19,2.25,2.64,-.28,-.63,.81,-.95,-.31,.22,.22,.2,-1.18
34,Nifty CPSE,.34,.91,.76,.82,-.17,-.1,-.52,-1.83,-.92,.14,-.83,.45,.38,-.91,-.55
35,Nifty50 Value 20,-1.04,-.01,.09,.43,.3,1.09,-.15,.06,.57,-.7,-.29,.17,-1,.8,-.26
36,Nifty Midcap Liquid 15,-.27,-.31,-.05,.79,1.78,2.94,-.73,-1.75,1.33,-.56,-.89,.89,-1.31,-.12,-1.45
37,Nifty Shariah 25,-.93,-.06,.2,1.14,.76,.6,-.83,-.04,.38,-.89,-.25,.29,-2.19,1.46,-.73
38,India VIX,2.35,-3.91,-1.31,-6.9,-2.48,-5.73,-.13,.37,-8.53,7.85,-.61,-2.41,6.01,-7.18,2.21
39,Nifty Growth Sectors 15,-1.62,-.37,.4,.59,1.32,.8,-.51,-.28,.3,-.9,.09,.08,-1.86,1.89,-.15
40,Nifty50 TR 1x Inverse,.48,-.34,-.39,-.55,-.93,-2.02,.24,.13,-.48,1.09,.16,-.03,.35,-.43,.77
41,Nifty50 TR 2x Leverage,-.92,.67,.79,1.12,1.91,4.05,-.47,-.25,1.02,-2.13,-.35,.08,-.68,.85,-1.44
42,Nifty50 PR 1x Inverse,.64,-.32,-.39,-.57,-.92,-1.98,.24,.13,-.5,1.09,.22,-.02,.33,-.42,.72
43,Nifty50 PR 2x Leverage,-1.3,.67,.79,1.12,1.91,3.97,-.47,-.25,1.02,-2.13,-.44,.08,-.68,.85,-1.44
44,NIFTY100 Quality 30,-.84,.08,.83,.6,.83,.63,-1.02,-.4,.75,-.84,-.32,-.07,-1.33,1.11,-.51
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
