,Index Name,ind_close_all_28032025.csv,ind_close_all_27032025.csv,ind_close_all_26032025.csv,ind_close_all_25032025.csv,ind_close_all_24032025.csv,ind_close_all_21032025.csv,ind_close_all_20032025.csv,ind_close_all_19032025.csv,ind_close_all_18032025.csv,ind_close_all_17032025.csv,ind_close_all_13032025.csv,ind_close_all_12032025.csv,ind_close_all_11032025.csv,ind_close_all_10032025.csv,ind_close_all_07032025.csv,ind_close_all_06032025.csv,ind_close_all_05032025.csv,ind_close_all_04032025.csv,ind_close_all_03032025.csv
0,Nifty 50,-.31,.45,-.77,.04,1.32,.69,1.24,.32,1.45,.5,-.33,-.12,.17,-.41,.03,.93,1.15,-.17,-.02
1,Nifty Next 50,-.63,1.57,-.39,-1.47,1.24,.88,.57,1.61,2.63,.73,-.51,.01,.51,-1.47,-.44,1.13,2.54,.56,1.02
2,Nifty 100,-.36,.64,-.7,-.22,1.31,.72,1.12,.55,1.65,.54,-.36,-.1,.23,-.59,-.05,.96,1.39,-.04,.15
3,Nifty 200,-.36,.6,-.69,-.36,1.3,.83,1.04,.88,1.74,.56,-.42,-.18,.3,-.75,-.09,.87,1.56,-.03,.15
4,Nifty 500,-.32,.62,-.76,-.47,1.24,.97,.99,1,1.82,.56,-.44,-.19,.18,-.87,-.02,.94,1.7,.11,.08
5,Nifty Midcap 50,-.21,.17,-.63,-1.15,1.36,1.04,.63,2.48,2.1,.88,-.81,-.67,.93,-1.53,-.44,.33,2.52,-.06,.46
6,NIFTY Midcap 100,-.32,.37,-.62,-1.06,1.3,1.38,.64,2.63,2.18,.7,-.75,-.57,.67,-1.53,-.32,.37,2.42,.05,.14
7,NIFTY Smallcap 100,-.15,1.15,-1.07,-1.56,1.1,2.06,.7,2.43,2.71,.48,-.98,-.21,-.8,-1.97,.67,1.32,2.96,.69,-.27
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-1.03,-1.04,.02,-.92,.84,.61,1.42,.4,2.38,.91,-1.1,.49,-.34,-1.22,.24,.78,2.6,-1.31,.19
10,Nifty Bank,-.02,.72,-.77,-.19,2.2,1.06,.72,.79,1.99,.61,.01,.42,-.75,-.58,-.27,.28,.51,.27,-.48
11,Nifty Energy,-.33,1.44,-.89,-1.33,1.43,1.44,.81,1.77,1.6,.56,-.17,.23,.51,-1.53,.18,2.03,2.84,.77,-.04
12,Nifty Financial Services,.25,.73,-1.02,.11,1.99,1.07,.7,.71,1.87,1.03,-.16,.54,.64,-.34,-.12,.49,.1,.33,-.33
13,Nifty FMCG,.59,.54,-.27,-.19,.47,.24,1.29,-.55,1.36,-.2,-.15,.01,-.11,.22,0,1.19,1.49,-.52,.19
14,Nifty IT,-1.76,.57,-.98,1.32,1.4,.07,1.25,-1.08,1.33,.04,-.52,-2.91,-.65,-.47,-.85,.19,2.13,-.9,.79
15,Nifty Media,-2.29,1.52,-2.4,-1.59,.06,2.2,1.22,1.08,3.62,-.65,-1.5,-1.53,-.18,-.26,1.83,.97,3.14,2.37,-1.1
16,Nifty Metal,-.73,.68,-.39,-1.4,.64,-.55,1.15,1.27,2.13,.77,-.87,-.48,.53,-.86,.43,2.34,4.04,.38,1.18
17,Nifty MNC,-.21,-.11,.3,-.88,.92,.36,.98,.38,1.78,.23,-.47,-.53,-.12,-.81,-.08,1.16,2.05,-.37,.61
18,Nifty Pharma,-.65,-.4,-.84,-1.05,.67,1.34,.92,.5,1.63,1.56,-.18,.45,.37,-.6,-.22,1.47,1.54,-.3,.33
