,Index Name,ind_close_all_18032026.csv,ind_close_all_17032026.csv,ind_close_all_16032026.csv,ind_close_all_13032026.csv,ind_close_all_12032026.csv,ind_close_all_11032026.csv,ind_close_all_10032026.csv,ind_close_all_09032026.csv,ind_close_all_06032026.csv,ind_close_all_05032026.csv,ind_close_all_04032026.csv,ind_close_all_02032026.csv
0,Nifty 50,.83,.74,1.11,-2.06,-.95,-1.63,.97,-1.73,-1.27,1.17,-1.55,-1.24
1,Nifty Next 50,.99,.87,-.35,-2.61,-.11,-1.08,1.75,-2.08,-.36,1.38,-2.7,-1.52
2,Nifty 100,.86,.76,.86,-2.16,-.81,-1.54,1.1,-1.79,-1.12,1.2,-1.74,-1.29
3,Nifty 200,1.07,.81,.66,-2.25,-.73,-1.48,1.2,-1.82,-1.04,1.26,-1.82,-1.34
4,Nifty 500,1.14,.79,.5,-2.31,-.66,-1.35,1.3,-1.89,-.95,1.29,-1.87,-1.43
5,Nifty Midcap 50,2.09,1.03,-.17,-2.5,-.43,-1.66,1.6,-1.81,-.86,1.5,-1.95,-1.46
6,NIFTY Midcap 100,2.02,1.02,-.27,-2.65,-.37,-1.25,1.62,-1.97,-.69,1.52,-2.16,-1.58
7,NIFTY Smallcap 100,1.67,.65,-.53,-2.51,-.67,-.36,2.12,-2.22,-.24,1.58,-2.11,-1.75
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,1.92,2.11,1.67,-3.6,-3.19,-3.15,3.1,-4.1,-1.06,1.86,-2.44,-2.2
10,Nifty Bank,.82,.85,1.22,-2.44,-1.14,-2.13,1.66,-3.05,-2.15,.51,-1.81,-1.14
11,Nifty Energy,.45,.84,-1.08,-2.07,1.93,.28,1.07,-1.82,.13,1.92,-2.37,-1.6
12,Nifty Financial Services,.79,.82,1.5,-2.04,-.99,-2.32,1.9,-2.3,-2.14,.8,-1.97,-1.1
13,Nifty FMCG,-.05,-.75,1.14,-.55,-1.77,-1.1,.84,-1.56,-.06,.41,-1.88,-.76
14,Nifty IT,2.78,-.97,-.1,-1.72,-.24,-1.24,-.46,.08,.04,-.59,.11,-1.08
15,Nifty Media,3.35,1.11,-.58,-3.56,.33,-.52,1.51,-1.69,-.58,1.07,-3.05,-1.82
16,Nifty Metal,-.1,2.82,.23,-4.82,.35,-.39,1.54,-2.6,-.4,2.29,-3.99,.24
17,Nifty MNC,.41,.57,-.13,-2.08,-1.01,-1.29,1.54,-2.2,-.03,1.18,-2.76,-1.16
18,Nifty Pharma,.16,.22,-1.25,-1.9,-.31,.41,1.39,-.16,-.15,1.47,-1.24,.02
19,Nifty PSU Bank,.76,.33,.61,-3.72,-.03,-1.83,2.21,-3.97,-2.01,.49,-3.24,-1.84
20,Nifty Realty,2.75,1.8,-1.57,-1.35,-1.63,-1.71,1.55,-1.24,-2.08,1.83,-3.11,-1.61
21,Nifty India Consumption,1.17,1.12,1.13,-1.67,-1.59,-1.85,1.48,-1.98,-1.02,1.08,-1.44,-1.6
22,Nifty Commodities,.32,1.16,.31,-3.07,.77,-.52,1.04,-2.18,-.37,2.05,-2.87,-1.07
23,Nifty Dividend Opportunities 50,.86,.12,-.08,-2.06,-.01,-.98,1.05,-1.89,-.86,.82,-1.87,-1.1
24,Nifty Infrastructure,1.16,1.01,.08,-2.52,-.49,-1.1,.48,-1.53,-.89,2.21,-2.17,-2.23
25,Nifty PSE,.45,.82,-1.48,-2.14,1.52,-.31,.87,-2.39,.12,2.22,-2.55,-.97
26,Nifty Services Sector,.96,.71,1.09,-1.75,-.73,-1.79,1.02,-1.68,-1.81,.64,-1.16,-1.08
27,Nifty50 Shariah,1.01,-.15,.36,-1.71,-.76,-1.03,.21,-1.04,-.38,.47,-1.11,-.67
28,Nifty500 Shariah,1.36,.44,-.35,-2.35,-.29,-.85,1.02,-1.68,-.35,1,-1.88,-1.26
29,Nifty Low Volatility 50,.85,.3,.5,-1.93,-.97,-1.46,1.29,-1.6,-.69,.91,-1.76,-1.09
30,Nifty Alpha 50,1.51,1.32,.25,-2.32,-.84,-1.96,2.26,-1.95,-.82,1.86,-2.7,-1.35
31,Nifty High Beta 50,1.96,1.41,-.25,-2.85,.39,-1.18,2.33,-2.07,-.9,2.15,-2.58,-2.03
32,Nifty100 Equal Weight,1.03,.77,.09,-2.41,-.36,-1.22,1.56,-1.99,-.64,1.35,-2.38,-1.37
33,Nifty100 Liquid 15,1,1.24,.84,-2.03,-.99,-2.02,.91,-1.94,-1.3,1.35,-1.74,-1.42
34,Nifty CPSE,-.13,1.08,-1.31,-1.77,1.69,.02,.71,-1.77,.42,2.31,-1.43,-.17
35,Nifty50 Value 20,.83,.25,.75,-2.05,-.82,-1.41,1.1,-1.97,-1.28,.4,-1.04,-.72
36,Nifty Midcap Liquid 15,2.22,1.01,.3,-2.44,-.41,-1.53,2.54,-1.43,-.7,1.58,-1.39,-1.84
37,Nifty Shariah 25,1.3,.01,.23,-1.84,-.4,-1.24,1.16,-1.69,-.39,.42,-1.76,-1.13
38,India VIX,-5.39,-8.39,-4.6,5.24,2.16,11.41,-19.08,17.52,11.33,-15.53,23.41,25.01
39,Nifty Growth Sectors 15,1.24,.3,.62,-1.74,-1.75,-1.82,1.02,-1.51,-.51,.94,-1.18,-1.15
40,Nifty50 TR 1x Inverse,-.8,-.74,-1.08,2.09,.97,1.64,-.95,1.76,1.27,-1.14,1.56,1.29
41,Nifty50 TR 2x Leverage,1.65,1.46,2.18,-4.14,-1.92,-3.27,1.93,-3.5,-2.55,2.32,-3.13,-2.53
42,Nifty50 PR 1x Inverse,-.81,-.73,-1.06,2.07,.98,1.64,-.96,1.77,1.27,-1.14,1.56,1.29
