,Index Name,ind_close_all_26052023.csv,ind_close_all_25052023.csv,ind_close_all_24052023.csv,ind_close_all_23052023.csv,ind_close_all_22052023.csv,ind_close_all_19052023.csv,ind_close_all_18052023.csv,ind_close_all_17052023.csv,ind_close_all_16052023.csv,ind_close_all_15052023.csv,ind_close_all_12052023.csv,ind_close_all_11052023.csv,ind_close_all_10052023.csv,ind_close_all_09052023.csv,ind_close_all_08052023.csv,ind_close_all_05052023.csv,ind_close_all_04052023.csv,ind_close_all_03052023.csv,ind_close_all_02052023.csv
0,Nifty 50,.97,.2,-.34,.18,.61,.41,-.28,-.57,-.61,.46,.1,-.1,.27,.01,1.08,-1.02,.92,-.32,.46
1,Nifty Next 50,1.14,.56,-.06,.21,.93,.32,-.99,-.56,.14,.48,-.16,.78,.57,-.1,.68,-.01,.63,.18,.66
2,Nifty 100,.99,.24,-.27,.21,.67,.41,-.39,-.58,-.52,.42,.04,.02,.31,-.02,1,-.89,.88,-.27,.48
3,Nifty 200,.96,.26,-.21,.27,.66,.35,-.42,-.52,-.42,.46,-.02,.06,.28,-.02,1,-.86,.84,-.2,.54
4,Nifty 500,.91,.25,-.19,.26,.63,.3,-.42,-.43,-.37,.47,-.04,.12,.29,-.04,.97,-.82,.85,-.16,.53
5,Nifty Midcap 50,1.04,.69,-.2,.54,.65,0,-.74,-.27,.33,.98,-.49,.4,.06,.04,1.24,-.94,.63,.04,1.11
6,NIFTY Midcap 100,.81,.38,.21,.63,.63,-.06,-.59,-.09,.26,.74,-.41,.3,.05,.04,1.02,-.7,.58,.26,.97
7,NIFTY Smallcap 100,.53,.09,.01,.02,.55,.02,-.48,.53,-.02,.81,-.75,.53,.14,-.05,.94,-.82,.79,-.07,.69
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.72,.29,.05,.66,.19,.7,-.88,.09,-.93,.7,.77,.38,.75,.47,1.79,.4,.11,-.03,.71
10,Nifty Bank,.77,.01,-.63,.16,-.19,.5,.12,-.47,-.38,.64,.73,.33,.31,-.2,1.46,-2.34,.86,-.09,.27
11,Nifty Energy,.69,-.06,.24,.55,.74,.13,-.87,-.53,-.05,0,-1.14,.2,.7,-.13,.76,-.4,.59,-.61,1.32
12,Nifty Financial Services,.68,-.02,-.8,.06,-.18,.29,.32,-.71,-.74,.39,.54,.33,.32,-.15,1.47,-2.34,1.55,-.13,.24
13,Nifty FMCG,1.47,.61,.48,.14,.36,-.03,-1.1,.06,-.2,1.14,.18,.46,.57,-.35,.73,.27,-.13,.78,-.13
14,Nifty IT,1.48,.13,.06,-.46,2.49,1.47,-.18,-.97,.18,.49,-.26,.04,-.12,.73,.73,-.59,.5,-1,1.14
