,Index Name,ind_close_all_30052024.csv,ind_close_all_29052024.csv,ind_close_all_28052024.csv,ind_close_all_27052024.csv,ind_close_all_24052024.csv,ind_close_all_23052024.csv,ind_close_all_22052024.csv,ind_close_all_21052024.csv,ind_close_all_18052024.csv,ind_close_all_17052024.csv,ind_close_all_16052024.csv,ind_close_all_15052024.csv,ind_close_all_14052024.csv,ind_close_all_13052024.csv,ind_close_all_10052024.csv,ind_close_all_09052024.csv,ind_close_all_08052024.csv,ind_close_all_07052024.csv,ind_close_all_06052024.csv,ind_close_all_03052024.csv,ind_close_all_02052024.csv
0,Nifty 50,-.95,-.8,-.19,-.11,-.05,1.64,.31,.12,.16,.28,.92,-.08,.51,.22,.44,-1.55,0,-.62,-.15,-.76,.19
1,Nifty Next 50,-1.05,-.69,-.85,.15,.31,.72,.13,.86,.82,1.18,1.03,.52,1.48,.66,.82,-2.12,1.32,-1.54,-1.27,-.36,1.71
2,Nifty 100,-.93,-.78,-.36,-.08,-.01,1.47,.27,.26,.27,.43,.91,.07,.71,.21,.52,-1.62,.27,-.83,-.36,-.67,.45
3,Nifty 200,-1,-.71,-.44,.03,-.01,1.32,.26,.28,.31,.5,.9,.21,.75,.24,.57,-1.66,.34,-1.01,-.39,-.62,.45
4,Nifty 500,-1.02,-.61,-.49,.04,-.03,1.19,.24,.2,.38,.65,.9,.28,.84,.2,.61,-1.74,.33,-1.1,-.45,-.59,.41
5,Nifty Midcap 50,-1.69,-.18,-.81,.83,-.1,.4,.03,.18,.5,.82,.94,.7,.7,1.11,1.12,-1.82,.98,-2,-.22,-.38,.58
6,NIFTY Midcap 100,-1.34,-.32,-.89,.64,.01,.48,.19,.38,.51,.88,.88,.96,.98,.41,.86,-1.85,.73,-1.95,-.54,-.35,.49
7,NIFTY Smallcap 100,-1.62,.06,-.85,.81,-.17,.19,-.35,-.41,.82,1.65,.84,.58,2.03,-.43,.69,-2.83,.57,-1.89,-1.5,-.49,.04
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-1.21,-.24,-.26,-.06,.18,2.25,-.13,.06,.23,1.74,.56,-.5,1.83,-1.68,.94,.78,1.56,-1.83,-.07,-.85,1.13
10,Nifty Bank,.37,-1.3,-.28,.63,.42,2.06,-.55,-.31,.17,.29,.61,-.36,.22,.7,-.14,-1.11,-.55,-1.25,-.06,-.62,-.34
11,Nifty Energy,-1.44,-.55,-1.21,-.82,.18,.55,.88,1.33,.32,.56,.32,1.15,1.61,-.57,1.64,-2.97,1.54,-2.12,-1.7,-.56,1.08
12,Nifty Financial Services,-.11,-1.65,.08,.52,.56,1.9,-.52,-.3,.11,.29,1.09,-.32,.02,.74,0,-1.56,-.53,-.92,-.25,-.35,.15
13,Nifty FMCG,-1.26,-.54,.02,-.34,-.8,.26,1.43,-.45,.28,.12,.81,-.91,-.52,.12,1.19,-2.47,.44,2.02,.71,-.4,.46
14,Nifty IT,-2.19,-1,-.34,.51,-.64,1.28,.7,-.18,.17,-.85,1.66,-.02,.15,.42,-.82,-.39,-.41,.77,.94,-.89,.01
15,Nifty Media,.48,.18,.31,-.97,1.04,.35,.73,1.25,1.24,.98,1.22,-.51,.73,-.22,.23,-1.79,.88,-1.45,-2.16,-.64,-1.58
16,Nifty Metal,-3.01,.27,-.52,-.62,-.31,.4,-.62,3.88,.53,1.62,.3,.32,2.77,1.31,1.54,-2.87,1.48,-2.39,-.93,-.04,1.13
17,Nifty MNC,-1.41,-.22,-.13,.06,-.32,.55,.06,.14,.85,.48,.95,.35,.92,1.59,1.32,-1.58,.91,-.05,.88,-.39,.83
18,Nifty Pharma,-1.81,.55,.54,-.04,-.5,-.52,.58,.51,.67,-.08,.58,.14,-.41,1.77,.94,-2.2,.02,-1.86,.37,.05,.81
19,Nifty PSU Bank,-.45,-.49,-1.28,1.33,-.08,1.72,-.34,1.51,.67,.16,-.88,1.42,1.04,-1.23,-.29,-.73,.88,-2.31,-3.66,-.76,-.26
20,Nifty Realty,-.49,-.9,-2.16,.85,-.66,1.13,1.41,-.01,.78,1.67,1.63,1.02,.88,1.23,-.44,-2.23,.64,-3.49,2.76,-1.03,-.06
21,Nifty India Consumption,-1.18,-.32,-.36,-.35,-.51,1.14,.57,-.1,.16,.71,1.08,-.14,.43,-.13,1.16,-1.35,.35,.02,.01,-.72,.55
22,Nifty Commodities,-1.66,-.6,-.8,-.44,.01,.52,.3,2.05,.23,.92,.34,.81,1.68,.04,1.32,-2.43,.77,-2.01,-1.24,-.23,.87
23,Nifty Dividend Opportunities 50,-1.73,-.52,-.48,.07,-.12,.77,.24,.75,.51,.28,.65,.45,.79,-.12,.54,-1.73,.66,-.64,-.77,-.12,.99
24,Nifty Infrastructure,-1.12,-.62,-.79,-.12,.08,1.51,.38,.31,.39,.73,.86,.86,1.34,.26,1.01,-2.62,1.19,-1.45,-.88,-1.29,.64
25,Nifty PSE,-1.7,-.31,-1.36,-.23,1.21,.08,.22,2.1,1.1,1.35,1.02,1.76,1.86,-.35,1.48,-3.41,2.39,-2.5,-2.79,.46,2.29
