,Index Name,ind_close_all_05052025.csv,ind_close_all_02052025.csv
0,Nifty 50,.47,.05
1,Nifty Next 50,1.52,-.12
2,Nifty 100,.65,.02
3,Nifty 200,.84,-.11
4,Nifty 500,.86,-.11
5,Nifty Midcap 50,1.8,-.9
6,NIFTY Midcap 100,1.81,-.78
7,NIFTY Smallcap 100,1.02,-.04
8,Nifty50 Dividend Points,-,-
9,Nifty Auto,1.85,-.1
10,Nifty Bank,-.36,.05
11,Nifty Energy,1.3,-.3
12,Nifty Financial Services,.05,.15
13,Nifty FMCG,1.22,-.34
14,Nifty IT,.28,.27
15,Nifty Media,.64,.49
16,Nifty Metal,.96,-.74
17,Nifty MNC,.73,-.41
18,Nifty Pharma,.69,-.67
19,Nifty PSU Bank,-.04,.19
20,Nifty Realty,.66,-.49
21,Nifty India Consumption,1.48,-.31
22,Nifty Commodities,.9,-.34
23,Nifty Dividend Opportunities 50,.72,-.03
24,Nifty Infrastructure,1.16,.1
25,Nifty PSE,1.13,-.31
26,Nifty Services Sector,.31,.09
27,Nifty50 Shariah,.45,-.47
28,Nifty500 Shariah,1.07,-.38
29,Nifty Low Volatility 50,.54,-.67
30,Nifty Alpha 50,1.48,-.95
31,Nifty High Beta 50,2.04,-.1
32,Nifty100 Equal Weight,1.2,-.27
33,Nifty100 Liquid 15,.39,.44
34,Nifty CPSE,.35,-1.02
35,Nifty50 Value 20,.22,.23
36,Nifty Midcap Liquid 15,1.94,-.6
37,Nifty Shariah 25,.5,-.44
38,India VIX,.44,.19
39,Nifty Growth Sectors 15,1.11,-.24
40,Nifty50 TR 1x Inverse,-.44,0
41,Nifty50 TR 2x Leverage,.89,.07
42,Nifty50 PR 1x Inverse,-.43,0
43,Nifty50 PR 2x Leverage,.89,.07
44,NIFTY100 Quality 30,.65,-.57
45,Nifty Mahindra Group,,
46,Nifty 50 Futures TR Index,.68,-.04
47,Nifty Tata Group,,
48,Nifty Tata Group 25% Cap,,
49,Nifty Private Bank,-.8,-.2
50,Nifty Smallcap 250,1.13,-.03
51,Nifty Smallcap 50,1.22,-.12
52,Nifty MidSmallcap 400,1.42,-.46
53,Nifty Midcap 150,1.58,-.68
54,Nifty Midcap Select,2.22,-.81
55,NIFTY LargeMidcap 250,1.11,-.33
56,NIFTY SME EMERGE,.97,-.29
57,Nifty Oil & Gas,1.7,.73
58,Nifty Financial Services 25/50,.52,0
59,Nifty Healthcare Index,.92,-.61
60,Nifty500 Multicap 50:25:25,1,-.17
61,Nifty Microcap 250,1.46,-.09
62,Nifty Total Market,.88,-.11
63,Nifty India Digital,1.41,-.32
64,Nifty Mobility,2.26,.53
65,Nifty India Defence,1.78,-1.27
66,Nifty Financial Services Ex-Bank,1.65,.04
67,Nifty Housing,.68,-.65
68,Nifty Transportation & Logistics,2.21,.41
69,Nifty MidSmall Financial Services,1.35,-.45
70,Nifty MidSmall Healthcare,1.53,-.83
71,Nifty MidSmall IT & Telecom,1.06,-.84
72,Nifty MidSmall India Consumption,1.79,-1.33
73,Nifty REITs & InvITs,.52,-.54
74,Nifty Consumer Durables,.95,-1.39
75,Nifty Non-Cyclical Consumer,1.39,-.49
76,Nifty India Manufacturing,1.26,-.35
77,NIFTY100 Alpha 30,1.36,-.04
78,NIFTY500 Value 50,1.03,.23
79,Nifty100 Low Volatility 30,.44,-.47
80,NIFTY Alpha Low-Volatility 30,.66,-.35
81,NIFTY Quality Low-Volatility 30,.5,-.69
82,NIFTY Alpha Quality Low-Volatility 30,.96,-.72
83,NIFTY Alpha Quality Value Low-Volatility 30,.83,-.64
84,NIFTY200 Quality 30,1.32,-.67
85,NIFTY Midcap150 Quality 50,1.54,-.43
86,Nifty200 Momentum 30,1.47,-.27
87,Nifty100 ESG Sector Leaders,.8,.06
88,Nifty200 Alpha 30,2.08,-.64
89,Nifty Midcap150 Momentum 50,1.93,-.92
90,Nifty Smallcap250 Quality 50,1.25,-.28
91,NIFTY100 ESG,.94,-.07
92,NIFTY100 Enhanced ESG,.94,-.06
93,NIFTY50 Equal Weight,.77,-.27
94,Nifty 50 Futures Index,.63,-.07
95,Nifty 50 Arbitrage,-.09,.09
96,Nifty Aditya Birla Group,,
97,Nifty 8-13 yr G-Sec,.21,.03
98,Nifty 4-8 yr G-Sec Index,.08,.04
99,Nifty 11-15 yr G-Sec Index,.16,.03
100,Nifty 15 yr and above G-Sec Index,.19,.03
101,Nifty Composite G-sec Index,.19,.03
102,Nifty 10 yr Benchmark G-Sec,.24,.04
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.23,.02
104,Nifty 1D Rate Index,.05,.03
105,Nifty50 USD,,0
