,Index Name,ind_close_all_15052026.csv,ind_close_all_14052026.csv,ind_close_all_13052026.csv,ind_close_all_12052026.csv,ind_close_all_11052026.csv,ind_close_all_08052026.csv,ind_close_all_07052026.csv,ind_close_all_06052026.csv,ind_close_all_05052026.csv,ind_close_all_04052026.csv
0,Nifty 50,-.19,1.18,.14,-1.83,-1.49,-.62,-.02,1.24,-.36,.51
1,Nifty Next 50,-.94,1.12,.85,-2.43,-1.68,-.5,.23,1.51,.49,.92
2,Nifty 100,-.33,1.17,.27,-1.94,-1.52,-.6,.03,1.29,-.2,.58
3,Nifty 200,-.36,1.16,.37,-2.06,-1.43,-.51,.24,1.38,-.13,.59
4,Nifty 500,-.36,1.05,.35,-2.18,-1.38,-.42,.35,1.43,-.1,.65
5,Nifty Midcap 50,-.49,1.17,.59,-2.43,-.83,.06,1.41,2.21,.07,.61
6,NIFTY Midcap 100,-.45,1.12,.77,-2.54,-1.05,-.15,1.1,1.76,.17,.63
7,NIFTY Smallcap 100,-.61,-.01,.31,-3.17,-1.13,.22,.87,1.93,.28,.7
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.08,.62,-.97,-2.28,-1.86,-.29,1.93,2.41,.63,.42
10,Nifty Bank,-.77,1.26,-.18,-1.63,-1.57,-1.31,.12,2.63,-.6,.03
11,Nifty Energy,-.66,.65,.7,-1.25,-1.84,-.84,.82,-.45,.05,.49
12,Nifty Financial Services,-.51,1.42,-.08,-2.02,-1.37,-1.66,.22,2.63,-.38,.61
13,Nifty FMCG,.54,.34,.3,-1.47,.08,.19,-.76,-.26,.64,.38
14,Nifty IT,1.3,-1.99,-1.13,-3.73,-.22,1.21,-.77,.55,.11,-.95
15,Nifty Media,1.98,.9,-.04,-2.77,-2.49,.04,.21,1.36,.08,-.54
16,Nifty Metal,-1.93,2.04,3.18,-.35,-.95,-.87,.27,1.08,.13,1.09
17,Nifty MNC,-.05,.81,.15,-1.53,-1.48,-.64,.32,.66,.14,1.13
18,Nifty Pharma,.34,2.74,.23,-1.36,.25,-.1,.1,2.3,.4,.89
19,Nifty PSU Bank,-1.8,1.37,-.09,-1.1,-2.52,-3.06,-.49,2.84,-.2,-.32
20,Nifty Realty,-1.79,.77,-.19,-4.11,-3.05,-.47,.63,2.63,-1.41,2.41
21,Nifty India Consumption,-.04,1.44,.25,-2.07,-1.76,.17,.08,1.32,.12,.24
22,Nifty Commodities,-1.29,1.04,1.22,-1.23,-1.07,-.84,.33,.67,.08,.81
23,Nifty Dividend Opportunities 50,-.19,.24,.3,-1.63,-1.4,-.84,-.25,.86,.04,.05
24,Nifty Infrastructure,-.44,1.41,.92,-1.74,-1.92,-.16,.32,.42,-.3,.55
25,Nifty PSE,-1.08,.31,1.18,-1.15,-1.35,-.49,.45,.42,-.08,.48
26,Nifty Services Sector,.06,1.4,-.17,-1.99,-1.5,-.94,-.06,1.95,-.6,.08
27,Nifty50 Shariah,.46,.16,.06,-1.99,-.03,.25,-.4,.54,.14,.01
28,Nifty500 Shariah,-.03,.44,.33,-2.26,-.72,.09,.27,1.13,.15,.5
29,Nifty Low Volatility 50,.11,1.02,.08,-1.76,-.95,0,.17,1.2,.13,.42
30,Nifty Alpha 50,-.48,1.68,.58,-2.45,-1.26,-.55,1.76,1.43,.59,.73
31,Nifty High Beta 50,-1.17,.89,1.64,-3.52,-1.56,-.14,.71,2.34,.42,1.42
32,Nifty100 Equal Weight,-.51,1.21,.65,-2.25,-1.38,-.33,.18,1.4,.1,.73
33,Nifty100 Liquid 15,-.39,1.84,.42,-1.75,-2.7,-1.22,0,1.92,-.33,.39
34,Nifty CPSE,-.09,.58,.59,-.47,-.86,-.47,.31,-.79,-.44,-.29
