,Index Name,ind_close_all_10112023.csv,ind_close_all_09112023.csv,ind_close_all_08112023.csv,ind_close_all_07112023.csv,ind_close_all_06112023.csv,ind_close_all_03112023.csv,ind_close_all_02112023.csv,ind_close_all_01112023.csv
0,Nifty 50,.15,-.25,.19,-.03,.94,.51,.76,-.47
1,Nifty Next 50,.14,-.51,.66,.81,.76,.98,1.53,-.54
2,Nifty 100,.16,-.29,.27,.09,.92,.6,.87,-.49
3,Nifty 200,.21,-.21,.38,.12,.92,.62,.95,-.45
4,Nifty 500,.22,-.24,.42,.17,.93,.65,.94,-.41
5,Nifty Midcap 50,.51,.47,.86,.2,.61,.76,1.6,-.18
6,NIFTY Midcap 100,.48,.22,.99,.28,.88,.7,1.39,-.26
7,NIFTY Smallcap 100,.47,-.24,.7,.75,1.39,1.21,1.34,-.07
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-
9,Nifty Auto,-.42,.83,.48,-.18,.79,.61,.71,-.51
10,Nifty Bank,.31,.06,-.18,.27,.7,.7,.74,-.34
11,Nifty Energy,.71,-.29,.42,.22,1.34,.46,1.06,-.4
12,Nifty Financial Services,.41,-.1,-.25,.12,.88,.5,.67,-.31
13,Nifty FMCG,.18,-.9,.62,.1,.34,.61,.98,-.34
14,Nifty IT,-.26,-.65,-.21,.03,.63,.64,.78,-.78
15,Nifty Media,-1.23,-.24,-.07,-.64,.67,1.38,.79,.88
16,Nifty Metal,.7,-.4,.75,.15,1.36,.47,1.4,-1.43
17,Nifty MNC,0,-.69,.78,.2,.54,.37,1.13,-.64
18,Nifty Pharma,.16,-.03,1.48,1.32,1.28,.32,.67,.35
19,Nifty PSU Bank,.27,-.2,-.03,.46,-1.09,.62,1.5,.32
20,Nifty Realty,.23,1.23,1.52,-1.34,1.2,2.54,2.52,1.55
21,Nifty India Consumption,-.06,-.04,.69,.18,.67,.85,.89,-.41
22,Nifty Commodities,.61,-.29,.65,.28,1.46,.57,1.38,-.84
23,Nifty Dividend Opportunities 50,.41,-.42,.35,.34,.79,.65,1.14,-.63
24,Nifty Infrastructure,.48,-.19,.62,.03,1.23,.56,1.17,-.42
25,Nifty PSE,1.2,.43,.43,1.03,1.26,.88,1.89,-.62
26,Nifty Services Sector,.23,-.28,-.18,.1,.91,.61,.73,-.54
27,Nifty50 Shariah,-.09,-.61,.17,.04,.94,.64,.77,-1.05
28,Nifty500 Shariah,.11,-.46,.51,.18,.94,.69,.92,-.77
29,Nifty Low Volatility 50,.1,-.27,.43,.33,.9,.35,.95,-.6
30,Nifty Alpha 50,.71,.13,1.25,.38,.9,.67,1.79,-.08
31,Nifty High Beta 50,.22,-.25,.67,-.14,.66,1.33,1.26,-.52
32,Nifty100 Equal Weight,.11,-.29,.53,.4,.9,.78,1.08,-.65
33,Nifty100 Liquid 15,.12,-.23,.23,.06,.79,.59,.94,-.62
34,Nifty CPSE,.96,.09,.45,.23,1.41,.71,.93,-.87
35,Nifty50 Value 20,.12,-.52,.18,-.03,.85,.53,.89,-.73
36,Nifty Midcap Liquid 15,.62,.91,.88,-.05,.19,1.01,1.41,-.18
37,Nifty Shariah 25,.01,-.69,.44,.04,.86,.5,.79,-1.08
38,India VIX,1.14,-.5,-1.38,.79,2.04,-1.74,-8.07,1.88
39,Nifty Growth Sectors 15,-.07,-.7,.45,.04,.5,.59,.98,-.55
40,Nifty50 TR 1x Inverse,-.15,.27,-.17,.05,-.9,-.51,-.77,.48
41,Nifty50 TR 2x Leverage,.29,-.51,.36,-.07,1.83,1.03,1.56,-.95
42,Nifty50 PR 1x Inverse,-.12,.27,-.18,.04,-.87,-.51,-.72,.48
43,Nifty50 PR 2x Leverage,.29,-.51,.36,-.07,1.83,1,1.5,-.97
44,NIFTY100 Quality 30,-.11,-.3,.35,-.02,.9,.59,.76,-.95
45,Nifty Mahindra Group,-.59,1.88,.09,-.01,1.11,.88,.56,-.4
46,Nifty 50 Futures TR Index,.01,-.01,.09,-.03,1.01,.36,.96,-.49
47,Nifty Tata Group,-.15,-.64,.41,.23,.78,.32,1.01,-.73
48,Nifty Tata Group 25% Cap,.06,-.4,.42,.73,.71,.65,.98,-.54
49,Nifty Private Bank,.26,.19,-.14,.39,.97,.67,.79,-.47
50,Nifty Smallcap 250,.42,-.29,.6,.58,1.07,1.02,1.08,-.19
51,Nifty Smallcap 50,.51,.16,.9,.44,1.55,1.31,1.65,.33
52,Nifty MidSmallcap 400,.39,-.09,.83,.38,.96,.8,1.15,-.16
53,Nifty Midcap 150,.37,.03,.96,.27,.91,.68,1.19,-.15
54,Nifty Midcap Select,.81,.54,1,.23,.75,.72,1.2,-.17
55,NIFTY LargeMidcap 250,.27,-.13,.62,.18,.92,.64,1.03,-.32
56,NIFTY SME EMERGE,-.19,.14,.09,-.62,-.26,.18,.96,-.02
57,Nifty Oil & Gas,.6,-.8,.78,.66,1.28,.77,1.15,.22
58,Nifty Financial Services 25/50,.5,.13,-.32,.24,.82,.38,1.07,-.39
59,Nifty Healthcare Index,-.03,.43,1.19,1.02,1.33,.75,.97,.41
60,Nifty500 Multicap 50:25:25,.28,-.21,.53,.26,.95,.73,1,-.33
61,Nifty Microcap 250,.52,-.12,.28,.56,1.23,.99,.8,-.07
62,Nifty Total Market,.23,-.23,.41,.18,.94,.66,.94,-.39
63,Nifty India Digital,-.03,-.5,.73,.07,1.39,1.26,1.19,-.39
64,Nifty Mobility,-.3,-.11,.78,-.07,1.26,1.37,.92,-.59
65,Nifty India Defence,.05,-.71,.82,2.65,1.32,1.81,.23,-.23
66,Nifty Financial Services Ex-Bank,.77,-.09,.07,.39,1,.02,.96,-.51
67,Nifty Housing,.42,-.01,.43,-.05,1.25,.53,1.24,-.98
68,Nifty Transportation & Logistics,-.41,.33,.79,-.23,1.06,1.12,.89,-.65
69,Nifty MidSmall Financial Services,.92,.91,.74,.54,.71,1.31,1.37,-.6
70,Nifty MidSmall Healthcare,.51,.49,1.18,1.26,1.42,.46,.84,.06
71,Nifty MidSmall IT & Telecom,.15,-.23,.65,.4,.68,.64,1.44,.7
72,Nifty MidSmall India Consumption,.11,.19,.8,.18,.84,.75,1.42,.41
73,Nifty REITs & InvITs,-.08,.56,.25,-.33,.49,-.1,.03,.22
74,Nifty Consumer Durables,-.16,-.55,.51,-.24,-.34,1.22,.96,-.12
75,Nifty Non-Cyclical Consumer,-.06,-.59,.84,.29,.73,1.02,1.07,-.4
76,Nifty India Manufacturing,.09,-.03,.79,.27,.97,.48,1.04,-.24
77,NIFTY100 Alpha 30,.44,-.25,.97,1.02,1.14,1.24,1.35,-.48
78,NIFTY500 Value 50,1.04,.39,.54,.83,.87,.57,1.99,-.26
79,Nifty100 Low Volatility 30,.01,-.18,.34,.42,.96,.26,.82,-.5
80,NIFTY Alpha Low-Volatility 30,.36,.04,.66,.61,.77,.65,1.43,-.46
81,NIFTY Quality Low-Volatility 30,-.17,-.19,.59,.01,.87,.36,.73,-.88
82,NIFTY Alpha Quality Low-Volatility 30,.19,-.04,1.01,.36,.87,.67,1.23,-.88
83,NIFTY Alpha Quality Value Low-Volatility 30,.33,.13,.81,.36,.79,.59,1.43,-.87
84,NIFTY200 Quality 30,-.25,-.23,.4,-.05,.98,.65,.76,-.92
85,NIFTY Midcap150 Quality 50,-.15,-.23,.72,.08,.97,1,.37,-.26
86,Nifty200 Momentum 30,.46,.39,1.14,.7,.73,.73,1.74,-.47
87,Nifty100 ESG Sector Leaders,.02,-.16,.12,.12,1.07,.62,.92,-.72
88,Nifty200 Alpha 30,.93,.41,1.11,.76,.79,.82,2.1,-.63
89,Nifty Midcap150 Momentum 50,.54,.37,.92,.99,.63,.45,1.53,-.26
90,Nifty Smallcap250 Quality 50,.56,-.05,.9,.01,1.39,.75,1.13,-.06
91,NIFTY100 ESG,.02,-.27,.18,.11,.94,.63,.86,-.64
92,NIFTY100 Enhanced ESG,.01,-.27,.17,.12,.95,.64,.85,-.64
93,NIFTY50 Equal Weight,.1,-.02,.38,.14,1.03,.59,.81,-.6
94,Nifty 50 Futures Index,-.01,-.03,.07,-.05,.95,.34,.94,-.51
95,Nifty 50 Arbitrage,.11,-.13,.08,.02,.01,.13,-.09,.03
96,Nifty Aditya Birla Group,.27,-.28,.13,.74,.82,.38,1.97,.37
97,Nifty 8-13 yr G-Sec,-.19,-.01,.14,.16,.09,.07,.2,.01
98,Nifty 4-8 yr G-Sec Index,-.12,.02,.08,.1,.09,.08,.19,0
99,Nifty 11-15 yr G-Sec Index,-.28,.08,.12,.14,.13,.08,.23,.03
100,Nifty 15 yr and above G-Sec Index,-.47,0,.2,.14,.15,.23,.4,0
101,Nifty Composite G-sec Index,-.19,.02,.11,.14,.1,.08,.22,0
102,Nifty 10 yr Benchmark G-Sec,-.19,0,.11,.19,.1,.06,.27,-.03
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.22,-.02,.09,.18,.08,.04,.25,-.05
104,Nifty 1D Rate Index,.02,.02,.02,.02,.06,.02,.02,.02
105,Nifty50 USD,,-.25,.17,-.09,1.03,.47,.81,-.51
