,Index Name,ind_close_all_04112024.csv,ind_close_all_01112024.csv
0,Nifty 50,-1.27,.41
1,Nifty Next 50,-1.4,.7
2,Nifty 100,-1.3,.5
3,Nifty 200,-1.29,.53
4,Nifty 500,-1.34,.59
5,Nifty Midcap 50,-.91,.71
6,NIFTY Midcap 100,-1.26,.68
7,NIFTY Smallcap 100,-1.97,1.03
8,Nifty50 Dividend Points,-,-
9,Nifty Auto,-.98,1.24
10,Nifty Bank,-.89,.39
11,Nifty Energy,-2.6,.85
12,Nifty Financial Services,-1.2,.26
13,Nifty FMCG,-1.16,.39
14,Nifty IT,-.03,.06
15,Nifty Media,-2.16,.41
16,Nifty Metal,-1.57,.68
17,Nifty MNC,-1.01,.36
18,Nifty Pharma,-.74,.31
19,Nifty PSU Bank,-.24,.79
20,Nifty Realty,-2.93,.96
21,Nifty India Consumption,-1.18,.77
22,Nifty Commodities,-2.21,.79
23,Nifty Dividend Opportunities 50,-1.03,.44
24,Nifty Infrastructure,-2.11,.52
25,Nifty PSE,-2.17,.9
26,Nifty Services Sector,-.98,.35
27,Nifty50 Shariah,-.93,.32
28,Nifty500 Shariah,-1.09,.56
29,Nifty Low Volatility 50,-1.18,.3
30,Nifty Alpha 50,-1.72,.75
31,Nifty High Beta 50,-1.98,1.24
32,Nifty100 Equal Weight,-1.32,.63
33,Nifty100 Liquid 15,-1.35,.49
34,Nifty CPSE,-2.06,1.02
35,Nifty50 Value 20,-.93,.24
36,Nifty Midcap Liquid 15,-.68,.61
37,Nifty Shariah 25,-.7,.23
38,India VIX,4.94,2.27
39,Nifty Growth Sectors 15,-.56,.6
40,Nifty50 TR 1x Inverse,1.33,-.41
41,Nifty50 TR 2x Leverage,-2.59,.8
42,Nifty50 PR 1x Inverse,1.35,-.39
43,Nifty50 PR 2x Leverage,-2.6,.8
44,NIFTY100 Quality 30,-1.1,.29
45,Nifty Mahindra Group,,
46,Nifty 50 Futures TR Index,-1.04,0
47,Nifty Tata Group,,
48,Nifty Tata Group 25% Cap,,
49,Nifty Private Bank,-1.32,.5
50,Nifty Smallcap 250,-1.84,1.06
51,Nifty Smallcap 50,-2.04,1.13
52,Nifty MidSmallcap 400,-1.44,.83
53,Nifty Midcap 150,-1.21,.69
54,Nifty Midcap Select,-.83,.48
55,NIFTY LargeMidcap 250,-1.25,.6
56,NIFTY SME EMERGE,-1.12,1.72
57,Nifty Oil & Gas,-2.48,.84
58,Nifty Financial Services 25/50,-1.33,.33
59,Nifty Healthcare Index,-.38,.16
60,Nifty500 Multicap 50:25:25,-1.41,.69
61,Nifty Microcap 250,-1.84,1.17
62,Nifty Total Market,-1.36,.61
63,Nifty India Digital,-.48,.63
64,Nifty Mobility,-1.75,1.08
65,Nifty India Defence,-2.69,1.18
66,Nifty Financial Services Ex-Bank,-1.27,.58
67,Nifty Housing,-1.57,.5
68,Nifty Transportation & Logistics,-1.32,1.29
69,Nifty MidSmall Financial Services,-.99,.72
70,Nifty MidSmall Healthcare,-.46,.53
71,Nifty MidSmall IT & Telecom,-1.12,.63
72,Nifty MidSmall India Consumption,-.94,.61
73,Nifty REITs & InvITs,-.03,.38
74,Nifty Consumer Durables,-1.06,.86
75,Nifty Non-Cyclical Consumer,-1.18,.63
76,Nifty India Manufacturing,-1.33,.77
77,NIFTY100 Alpha 30,-2.03,.84
78,NIFTY500 Value 50,-1.89,.78
79,Nifty100 Low Volatility 30,-1.15,.23
80,NIFTY Alpha Low-Volatility 30,-1.57,.31
81,NIFTY Quality Low-Volatility 30,-1.01,.24
82,NIFTY Alpha Quality Low-Volatility 30,-1.17,.29
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.13,.34
84,NIFTY200 Quality 30,-1.04,.3
85,NIFTY Midcap150 Quality 50,-1.06,.5
86,Nifty200 Momentum 30,-1.32,.78
87,Nifty100 ESG Sector Leaders,-1.31,.46
88,Nifty200 Alpha 30,-1.29,.42
89,Nifty Midcap150 Momentum 50,-1.2,.63
90,Nifty Smallcap250 Quality 50,-1.61,.79
91,NIFTY100 ESG,-1.16,.45
92,NIFTY100 Enhanced ESG,-1.16,.45
93,NIFTY50 Equal Weight,-1.36,.48
94,Nifty 50 Futures Index,-1.1,-.02
95,Nifty 50 Arbitrage,-.09,.28
96,Nifty Aditya Birla Group,,
97,Nifty 8-13 yr G-Sec,.07,.02
98,Nifty 4-8 yr G-Sec Index,.05,.02
99,Nifty 11-15 yr G-Sec Index,0,.02
100,Nifty 15 yr and above G-Sec Index,.15,.02
101,Nifty Composite G-sec Index,.07,.02
102,Nifty 10 yr Benchmark G-Sec,.09,.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.07,0
104,Nifty 1D Rate Index,.07,.02
105,Nifty50 USD,,.41
