,Index Name,ind_close_all_25112025.csv,ind_close_all_24112025.csv,ind_close_all_21112025.csv,ind_close_all_20112025.csv,ind_close_all_19112025.csv,ind_close_all_18112025.csv,ind_close_all_17112025.csv,ind_close_all_14112025.csv,ind_close_all_12112025.csv,ind_close_all_11112025.csv,ind_close_all_10112025.csv,ind_close_all_07112025.csv,ind_close_all_06112025.csv,ind_close_all_04112025.csv,ind_close_all_03112025.csv
0,Nifty 50,-.29,-.42,-.47,.54,.55,-.4,.4,.12,.7,.47,.32,-.07,-.34,-.64,.16
1,Nifty Next 50,.26,-.98,-1.29,-.1,-.01,-.73,.53,-.09,.12,.14,.38,.1,-1.24,-.45,.94
2,Nifty 100,-.2,-.51,-.61,.43,.46,-.45,.42,.08,.61,.42,.33,-.04,-.49,-.61,.29
3,Nifty 200,-.1,-.47,-.7,.36,.41,-.48,.48,.08,.64,.43,.36,.08,-.58,-.58,.38
4,Nifty 500,-.08,-.49,-.77,.29,.34,-.54,.5,.09,.65,.36,.32,.04,-.69,-.57,.42
5,Nifty Midcap 50,.56,-.65,-.99,0,.23,-.61,.84,.11,.83,.58,.39,.59,-.69,-.51,.76
6,NIFTY Midcap 100,.36,-.32,-1.13,.02,.21,-.59,.73,.08,.79,.5,.47,.63,-.95,-.42,.77
7,NIFTY Smallcap 100,.19,-.85,-1.22,-.05,-.43,-1.05,.52,.38,.82,-.21,.35,-.16,-1.39,-.82,.72
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.23,-.35,-.06,.44,.24,-.38,.85,-.52,1.24,1.07,.3,.57,.06,-.86,.12
10,Nifty Bank,-.03,-.05,-.81,.22,.54,-.11,.76,.23,.23,.35,.1,.56,-.47,-.47,.56
11,Nifty Energy,-.22,-1.18,-1.05,.28,-.25,-.6,.5,.2,.6,.41,.37,-.14,-1.21,-.46,.47
12,Nifty Financial Services,-.32,-.24,-1.06,.79,.35,-.36,.56,.35,.21,-.09,.24,.76,-.6,-.4,.62
13,Nifty FMCG,-.16,-.66,.14,.08,.03,-.56,.21,.57,.01,.34,-.19,-.49,-.19,-.6,-.1
14,Nifty IT,-.57,.41,-.43,0,2.97,-1.1,.2,-1.03,2.04,1.2,1.62,-.62,.18,-1.06,-.17
15,Nifty Media,-.8,-.53,-.78,-1.54,-.27,-.23,.4,.03,.98,-.07,-1.04,-.26,-2.54,-.55,.17
16,Nifty Metal,.55,-1.23,-2.34,.02,0,-1.07,.01,-.89,-.16,.71,.55,1.41,-2.07,-1.44,.38
17,Nifty MNC,.03,-.49,-.61,.14,.11,-.58,.59,-.43,.12,.14,.39,-.05,-.49,-.01,.17
18,Nifty Pharma,.44,-.39,-.47,-.18,.06,-.67,.2,.59,1,-.05,.95,-.36,-.38,-.48,1.2
19,Nifty PSU Bank,1.44,-.15,-1.43,-.89,1.16,-.16,1.09,1.17,.62,-.39,-.14,.87,-.62,-.11,1.92
20,Nifty Realty,1.62,-2.05,-1.86,-.14,-.35,-1.91,.45,-.08,-.49,-.16,-.24,-.02,-1.51,-.78,2.23
21,Nifty India Consumption,-.14,-.62,.01,.15,.4,-.38,.72,.26,.56,.78,-.24,-.59,-.47,-.5,.25
22,Nifty Commodities,.15,-1.14,-1.12,.28,-.38,-.77,.21,-.29,.14,.58,.18,.39,-1.29,-.92,.45
23,Nifty Dividend Opportunities 50,-.05,-.38,-.44,-.01,.87,-.66,.45,-.1,.66,.54,.61,.05,-.4,-.79,.39
24,Nifty Infrastructure,0,-.75,-.32,.57,.18,-.32,.33,.19,.69,.78,.29,-1,-.66,-.43,.28
25,Nifty PSE,-.17,-1.42,-.84,-.09,-.35,-.49,.59,.28,.06,.88,.31,.57,-1.67,-1.11,.3
26,Nifty Services Sector,-.36,-.23,-.66,.49,.83,-.38,.54,.07,.68,.37,.37,.08,-.56,-.51,.46
27,Nifty50 Shariah,-.45,-.26,-.09,-.08,1.64,-.82,.07,-.38,1.86,.76,.33,-.19,.03,-1.02,.11
28,Nifty500 Shariah,-.17,-.35,-.74,-.06,.8,-.84,.31,-.23,1.22,.59,.36,-.2,-.58,-.69,.45
29,Nifty Low Volatility 50,0,-.34,-.31,.25,.28,-.52,.46,-.05,.64,.23,.42,-.16,-.34,-.51,.3
30,Nifty Alpha 50,.19,-.68,-1.34,.33,.43,-1.06,.85,.48,.69,.07,.19,.95,-.39,-.61,.95
31,Nifty High Beta 50,.43,-.7,-1.53,-.39,-.1,-.9,.55,.52,.55,.62,.54,1.11,-1.73,-1.18,1.1
32,Nifty100 Equal Weight,.01,-.73,-.89,.14,.23,-.64,.45,.06,.63,.31,.16,.15,-.94,-.66,.59
33,Nifty100 Liquid 15,.09,-.62,-.54,.54,.12,-.09,.41,.56,1,-.03,.12,-.51,-.43,-.43,.46
34,Nifty CPSE,.09,-1.34,-.68,.16,-.03,-.55,.28,.89,.31,.49,.04,.48,-1.54,-1.7,-.14
35,Nifty50 Value 20,-.36,-.31,-.37,.09,.87,-.4,.34,-.16,.86,.54,.54,.15,-.6,-.92,-.13
36,Nifty Midcap Liquid 15,.63,-.79,-1.03,.01,.84,-.7,1.06,.12,1.81,.86,.28,.74,-.96,-.76,1.02
37,Nifty Shariah 25,-.09,-.41,-.56,.08,1.05,-.74,.45,.03,1.48,.82,.45,-.55,.07,-1.01,.3
38,India VIX,-7.5,-2.9,12.32,1.36,-1.01,2.61,-1.26,-1.85,-3.04,1.54,-2.05,1.19,-1.92,-.1,4.22
39,Nifty Growth Sectors 15,-.35,-.33,.17,-.13,1.43,-.67,.66,-.36,.89,.85,.69,-.06,.14,-.58,.03
40,Nifty50 TR 1x Inverse,.3,.46,.46,-.52,-.52,.4,-.34,-.12,-.7,-.45,-.3,.06,.39,.64,-.12
41,Nifty50 TR 2x Leverage,-.59,-.88,-.96,1.06,1.09,-.81,.75,.22,1.39,.93,.64,-.09,-.72,-1.3,.28
42,Nifty50 PR 1x Inverse,.3,.45,.5,-.53,-.55,.43,-.37,-.1,-.69,-.44,-.29,.1,.37,.65,-.1
43,Nifty50 PR 2x Leverage,-.59,-.88,-.96,1.06,1.09,-.81,.75,.22,1.39,.93,.6,-.15,-.72,-1.3,.28
44,NIFTY100 Quality 30,-.08,-.37,-.42,.25,.54,-.43,.53,-.05,.69,.52,.64,-.18,-.11,-.76,-.05
45,Nifty Mahindra Group,,,,,,,,,,,,,,,
46,Nifty 50 Futures TR Index,-.42,-.3,-.53,.6,.49,-.41,.47,.01,.69,.47,.46,-.13,-.28,-.72,.02
47,Nifty Tata Group,,,,,,,,,,,,,,,
48,Nifty Tata Group 25% Cap,,,,,,,,,,,,,,,
49,Nifty Private Bank,-.23,-.17,-.66,.31,.31,-.03,.79,.15,.29,.36,.04,.44,-.53,-.68,.35
50,Nifty Smallcap 250,.11,-.65,-1.24,-.1,-.42,-1.02,.68,.18,.74,-.15,0,-.24,-1.49,-.66,.7
51,Nifty Smallcap 50,.2,-.82,-1.1,-.04,-.29,-1.04,.63,.26,.88,-.11,.4,-.15,-1.16,-.88,1.01
52,Nifty MidSmallcap 400,.21,-.43,-1.18,-.06,.06,-.76,.68,.09,.76,.24,.29,.22,-1.15,-.47,.75
53,Nifty Midcap 150,.26,-.32,-1.14,-.04,.32,-.62,.68,.04,.77,.44,.45,.47,-.96,-.36,.77
54,Nifty Midcap Select,.5,-.81,-1.01,-.06,.6,-.57,.95,.28,1.27,1.14,.6,.53,-.97,-.61,.9
55,NIFTY LargeMidcap 250,.03,-.42,-.87,.2,.39,-.54,.55,.06,.69,.43,.39,.22,-.73,-.49,.53
56,NIFTY SME EMERGE,.09,-1.7,-.95,.01,-.01,-.38,-.27,.05,.6,.33,.16,.25,-1.16,-.19,.46
57,Nifty Oil & Gas,-.34,-.84,-.53,.55,-.35,-.42,.38,.11,.81,.59,.21,0,-.2,-.53,.79
58,Nifty Financial Services 25/50,.02,-.39,-1.06,.7,.32,-.44,.44,.44,.46,-.12,.24,1.22,-.82,-.35,.87
59,Nifty Healthcare Index,.37,-.53,-.37,-.11,.48,-.72,.41,.42,.83,-.07,.13,-.27,-.49,-.48,.97
60,Nifty500 Multicap 50:25:25,-.01,-.49,-.9,.19,.21,-.63,.55,.1,.68,.28,.28,.04,-.86,-.56,.51
61,Nifty Microcap 250,.13,-.62,-1.52,-.32,-.17,-.81,.6,-.09,.93,-.26,-.37,.39,-1.69,-.76,1.07
62,Nifty Total Market,-.07,-.49,-.8,.27,.32,-.55,.5,.08,.66,.34,.29,.05,-.72,-.58,.45
63,Nifty India Digital,-.54,.23,-1.07,-.16,1.8,-.82,.96,-.2,1.27,1.14,.73,-.47,-.73,-.57,.32
64,Nifty Mobility,-.19,-.13,-.35,.41,.05,-.44,.69,-.2,1.22,1.19,.03,.14,-.41,-.87,.26
65,Nifty India Defence,.16,-2.51,-2.17,.57,-.01,-.48,.04,1.36,-.28,2.45,1.45,.86,-2.02,-1.49,.49
66,Nifty Financial Services Ex-Bank,.26,-.67,-1.37,.89,.1,-.83,.65,.53,.9,-1.45,.47,2.18,-1.14,-.17,1.07
67,Nifty Housing,-.06,-.85,-1.06,.05,.1,-.61,.39,-.03,.18,.46,.26,.23,-1.13,-.94,.08
68,Nifty Transportation & Logistics,-.19,-.23,-.34,.24,.14,-.5,.8,-.12,1.14,1.25,.03,.28,-.53,-.86,.37
69,Nifty MidSmall Financial Services,.89,-.39,-1.04,-.07,.39,-.47,1.21,.52,1.24,-.1,.1,2.44,-.8,-.55,.99
70,Nifty MidSmall Healthcare,.45,-.46,-.5,-.01,-.57,-.98,.75,.17,1.08,-.7,.21,-.18,-.96,-.43,1.42
71,Nifty MidSmall IT & Telecom,-.09,.47,-1.42,-.38,2.08,-1.15,.01,-.42,1.76,1.66,.66,-.57,-.85,-.55,1.48
72,Nifty MidSmall India Consumption,.24,-.59,-1.16,.01,-.07,-.58,.86,.63,.45,.34,.2,-.03,-1.42,-.68,.64
73,Nifty REITs & InvITs,-.14,-.16,-.19,.48,.2,.18,.26,-.32,-.31,-.28,.25,-.61,.03,-.12,.29
74,Nifty Consumer Durables,-.57,-1.15,-.75,-.53,.41,-.08,.83,.13,1,-.05,.38,-.72,-1.98,.39,-.29
75,Nifty Non-Cyclical Consumer,-.22,-.55,-.18,-.05,.28,-.35,.48,.64,.76,.65,-.19,-.89,-.68,-.36,.32
76,Nifty India Manufacturing,.12,-.86,-.93,.2,-.06,-.55,.4,-.36,.6,.71,.58,.2,-.77,-.67,.42
77,NIFTY100 Alpha 30,-.05,-.88,-.64,.59,.38,-.56,.61,.21,.37,.15,.09,-.08,-.8,-.63,.28
78,NIFTY500 Value 50,.2,-.84,-1,-.34,-.28,-.65,.38,-.15,.88,.4,.14,.71,-1.28,-.85,.89
79,Nifty100 Low Volatility 30,-.15,-.29,-.37,.14,.63,-.35,.32,0,.77,.21,.57,-.14,.03,-.4,-.02
80,NIFTY Alpha Low-Volatility 30,-.03,-.34,-.53,.29,.28,-.53,.47,-.23,.82,-.4,.53,.09,-.66,-.17,.31
81,NIFTY Quality Low-Volatility 30,-.21,-.29,-.21,.2,.4,-.43,.63,0,.73,.25,.51,.13,-.07,-.64,-.02
82,NIFTY Alpha Quality Low-Volatility 30,-.07,-.3,-.34,.2,.29,-.45,.54,-.06,.77,-.09,.68,.12,-.31,-.58,-.08
83,NIFTY Alpha Quality Value Low-Volatility 30,-.24,-.22,-.17,.15,.56,-.48,.61,-.09,.93,.4,.59,.13,-.18,-.69,-.1
84,NIFTY200 Quality 30,-.22,-.61,-.59,-.03,.63,-.63,.56,-.21,.77,.75,.93,.07,-.26,-.83,-.1
85,NIFTY Midcap150 Quality 50,-.23,-.35,-1.1,-.09,.41,-.76,.42,-.17,.75,.66,.99,-.31,-.62,-.59,.6
86,Nifty200 Momentum 30,.16,-.7,-.94,.63,.45,-.65,.47,.3,.81,-.03,.39,.65,-.83,-.41,.52
87,Nifty100 ESG Sector Leaders,-.23,-.48,-.6,.49,.54,-.47,.49,-.09,.9,.49,.37,-.06,-.53,-.51,.32
88,Nifty200 Alpha 30,.34,-.61,-1.11,.41,.42,-.81,.93,.39,.76,.24,-.12,1.23,-.77,-.73,.69
89,Nifty Midcap150 Momentum 50,.16,-.45,-1.06,.16,.5,-.69,.79,.39,.82,.43,.22,.8,-.7,-.14,.67
90,Nifty Smallcap250 Quality 50,-.24,.01,-1.03,.07,-.12,-1.14,.62,0,1.11,.07,.52,-.35,-1.21,-1.1,.1
91,NIFTY100 ESG,-.13,-.34,-.7,.3,.7,-.53,.6,-.07,1.17,.5,.34,0,-.53,-.5,.47
92,NIFTY100 Enhanced ESG,-.13,-.33,-.71,.3,.72,-.53,.61,-.08,1.19,.51,.35,.01,-.55,-.5,.47
93,NIFTY50 Equal Weight,-.14,-.5,-.47,.4,.5,-.6,.35,.15,.96,.44,.06,.14,-.58,-.76,.26
94,Nifty 50 Futures Index,-.44,-.35,-.54,.58,.47,-.43,.42,-.01,.68,.45,.41,-.15,-.32,-.74,-.03
95,Nifty 50 Arbitrage,.1,-.05,.05,-.02,.06,.03,0,.09,.02,.02,-.03,.08,-.01,.07,.14
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.21,.25,-.15,-.02,0,.12,-.07,-.1,.06,-.05,.17,-.02,.12,.05,.03
98,Nifty 4-8 yr G-Sec Index,.18,.14,-.09,0,.02,.04,-.04,-.09,.06,-.02,.06,.01,.09,.1,.02
99,Nifty 11-15 yr G-Sec Index,.12,.2,-.16,.15,.02,.11,-.16,-.17,.05,-.05,.14,-.1,.19,.26,-.03
100,Nifty 15 yr and above G-Sec Index,.25,.2,-.15,.1,.18,.21,-.04,-.43,.03,.02,.01,-.01,.01,.1,-.27
101,Nifty Composite G-sec Index,.21,.21,-.14,.03,.03,.13,-.09,-.14,.07,-.03,.12,-.03,.11,.09,-.03
