,Index Name,ind_close_all_12102023.csv,ind_close_all_11102023.csv,ind_close_all_10102023.csv,ind_close_all_09102023.csv,ind_close_all_06102023.csv,ind_close_all_05102023.csv,ind_close_all_04102023.csv,ind_close_all_03102023.csv
0,Nifty 50,-.09,.62,.91,-.72,.55,.56,-.47,-.56
1,Nifty Next 50,.23,.51,1.35,-1.21,.63,.24,-1.39,.33
2,Nifty 100,-.04,.61,.97,-.79,.56,.52,-.6,-.43
3,Nifty 200,-.01,.6,1.02,-.88,.56,.44,-.72,-.34
4,Nifty 500,.07,.6,1.03,-.96,.57,.42,-.76,-.22
5,Nifty Midcap 50,.33,.34,1.34,-1.11,.78,.04,-1.37,-.03
6,NIFTY Midcap 100,.17,.5,1.36,-1.34,.6,0,-1.38,.18
7,NIFTY Smallcap 100,.65,.84,1.2,-1.78,.8,.63,-1.25,.53
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-
9,Nifty Auto,.78,.92,1.24,-.99,.47,.85,-1.3,-1.2
10,Nifty Bank,.18,.35,1.08,-1.07,.33,.57,-.98,-.42
11,Nifty Energy,.64,.94,1.05,-.97,.16,-.19,-.87,-1.28
12,Nifty Financial Services,.08,.48,1.23,-1.13,.71,.51,-.79,-.39
13,Nifty FMCG,.21,.87,.58,-.15,.38,-.1,.22,-.55
14,Nifty IT,-1.67,-.07,.81,-.1,.67,.99,.3,-.21
15,Nifty Media,3.02,.86,1.01,-2.18,-.02,1.58,-1.72,1
16,Nifty Metal,.75,.43,2.05,-1.44,.53,-.25,-1.06,-.6
17,Nifty MNC,.44,.77,.84,-.53,.4,.36,-.22,-.42
18,Nifty Pharma,.06,.46,.02,-.16,.71,-.3,-1.4,-.92
19,Nifty PSU Bank,-.09,-.73,2.08,-3.09,.27,-.51,-2.83,2.38
20,Nifty Realty,-.18,.84,4.01,-.79,3.08,.29,-1.73,.46
21,Nifty India Consumption,.12,.88,.73,-.6,.44,.5,-.31,-.33
22,Nifty Commodities,.46,1.12,1.37,-1.17,.37,-.03,-1.37,-.89
23,Nifty Dividend Opportunities 50,-.18,.42,1.17,-.59,.6,.29,-.6,-.39
24,Nifty Infrastructure,.24,.92,.99,-.96,.33,.61,-.99,-.15
25,Nifty PSE,1.03,.15,1.81,-1.12,.51,-.07,-1.38,-.71
26,Nifty Services Sector,-.32,.42,1.02,-.8,.61,.6,-.44,-.35
27,Nifty50 Shariah,-.88,.44,.8,-.19,.44,.6,.15,-.46
28,Nifty500 Shariah,-.17,.46,.87,-.63,.34,.34,-.36,-.12
29,Nifty Low Volatility 50,.19,.71,.75,-.53,.49,.15,-.63,-.6
30,Nifty Alpha 50,.27,.55,1.84,-2.15,.56,-.08,-1.76,.84
31,Nifty High Beta 50,.04,.34,1.74,-2.06,.94,.2,-1.7,.79
32,Nifty100 Equal Weight,.09,.61,1.14,-1.02,.65,.26,-.96,-.24
33,Nifty100 Liquid 15,-.16,.32,1.21,-.93,.81,.44,-1.4,-.03
34,Nifty CPSE,1,-.09,2.03,-.55,.14,-.23,-1.1,-1.29
35,Nifty50 Value 20,-.41,.48,.91,-.2,.62,.43,-.27,-.73
36,Nifty Midcap Liquid 15,.03,.29,1.64,-1.34,1.14,-.16,-1.22,.02
37,Nifty Shariah 25,-.44,.51,.88,-.29,.3,.4,.05,-.46
38,India VIX,-3.35,-2.53,-1.14,10.68,-5.85,-6.13,-1.12,2.93
39,Nifty Growth Sectors 15,-.48,.42,.56,-.05,.79,.59,-.13,-.48
40,Nifty50 TR 1x Inverse,.13,-.6,-.91,.79,-.54,-.54,.49,.62
41,Nifty50 TR 2x Leverage,-.19,1.22,1.8,-1.49,1.08,1.11,-.97,-1.19
42,Nifty50 PR 1x Inverse,.1,-.61,-.89,.77,-.52,-.56,.5,.63
