,Index Name,ind_close_all_22102024.csv,ind_close_all_21102024.csv,ind_close_all_18102024.csv,ind_close_all_17102024.csv,ind_close_all_16102024.csv,ind_close_all_15102024.csv,ind_close_all_14102024.csv,ind_close_all_11102024.csv,ind_close_all_10102024.csv,ind_close_all_09102024.csv,ind_close_all_08102024.csv,ind_close_all_07102024.csv,ind_close_all_04102024.csv,ind_close_all_03102024.csv,ind_close_all_01102024.csv
0,Nifty 50,-1.25,-.29,.42,-.89,-.34,-.28,.66,-.14,.07,-.12,.88,-.87,-.93,-2.12,-.05
1,Nifty Next 50,-2.9,-1.35,.38,-2.23,-.21,.28,.36,.13,-.17,1.09,2.35,-2.33,-1.1,-2.38,.25
2,Nifty 100,-1.52,-.44,.34,-1.12,-.35,-.19,.55,-.1,.01,.07,1.19,-1.18,-.95,-2.16,-.02
3,Nifty 200,-1.7,-.65,.34,-1.21,-.33,-.12,.53,0,-.04,.22,1.35,-1.31,-.95,-2.17,.04
4,Nifty 500,-1.93,-.76,.27,-1.25,-.26,.04,.49,.06,-.01,.37,1.43,-1.5,-.93,-2.13,.11
5,Nifty Midcap 50,-2.45,-1.98,.37,-1.56,0,.25,.58,.23,-.4,.86,1.71,-1.55,-1.06,-2.29,.41
6,NIFTY Midcap 100,-2.61,-1.66,.31,-1.66,-.24,.21,.43,.47,-.28,.97,2.16,-2.01,-.93,-2.21,.34
7,NIFTY Smallcap 100,-3.92,-1.47,.06,-1.24,.01,1.11,.43,.58,.19,1.33,2.05,-2.75,-1.02,-1.96,.79
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-2.47,.42,.62,-3.54,-1.27,-.83,.1,-.35,.3,.82,1.66,-.46,-1.43,-2.88,.21
10,Nifty Bank,-1.36,-.25,1.57,-.99,-.2,.17,1.26,-.7,1.03,-.03,1.07,-1.91,-.74,-2.04,-.1
11,Nifty Energy,-2.38,-.54,.54,-.78,.05,-.61,.05,.02,.32,-.8,1.64,-2.47,-1.1,-2.61,-.75
12,Nifty Financial Services,-1.06,.07,1.5,-1.25,.08,.02,1.04,-.64,.93,.4,1,-1.7,-1.09,-2.43,-.01
13,Nifty FMCG,-.46,-1.25,-.51,-1.64,-.37,.38,.47,.04,-.45,-1.57,.47,-.55,-1.74,-1.48,-.11
14,Nifty IT,-.78,-1.29,-1.47,1.19,-1.17,-.33,1.27,.59,-1.25,.55,.47,.66,.36,-1.58,1.17
15,Nifty Media,-2.55,-2.83,1.38,-2.18,-.48,.62,-1,.6,-.46,.83,3.11,-3.65,-2.61,-2.13,1.6
16,Nifty Metal,-3,-1.51,1.57,-1.42,-.21,-1.44,-.28,.94,.4,.06,-.93,-2.24,-.41,-.66,.24
17,Nifty MNC,-1.63,-1.33,.1,-2.16,.07,-.01,-.09,.04,-.31,.58,1.31,-1.41,-1.57,-2,.55
18,Nifty Pharma,-1.27,-1,.44,-.91,-.38,-.52,.41,1.19,-2.01,2.04,1.44,-.51,-.36,-.51,.07
19,Nifty PSU Bank,-4.18,-1.07,1.31,-.5,0,-.21,.4,0,-.26,.66,1.35,-3.31,.54,-1.24,.09
20,Nifty Realty,-3.38,-1.4,.3,-3.76,.55,2.05,1.61,-.69,-.4,2.15,.96,-1.13,-1.64,-4.36,-.2
21,Nifty India Consumption,-1.49,-.24,-.33,-2.44,-.78,.2,.13,.02,-.27,.02,1.58,-.75,-1.58,-2.05,-.12
