,Index Name,ind_close_all_29092023.csv,ind_close_all_28092023.csv,ind_close_all_27092023.csv,ind_close_all_26092023.csv,ind_close_all_25092023.csv,ind_close_all_22092023.csv,ind_close_all_21092023.csv,ind_close_all_20092023.csv,ind_close_all_18092023.csv,ind_close_all_15092023.csv,ind_close_all_14092023.csv,ind_close_all_13092023.csv,ind_close_all_12092023.csv,ind_close_all_11092023.csv,ind_close_all_08092023.csv,ind_close_all_07092023.csv,ind_close_all_06092023.csv,ind_close_all_05092023.csv,ind_close_all_04092023.csv,ind_close_all_01092023.csv
0,Nifty 50,.59,-.98,.26,-.05,0,-.34,-.8,-1.15,-.29,.44,.16,.38,-.02,.89,.47,.59,.18,.24,.48,.94
1,Nifty Next 50,1.1,-1.49,.14,.2,-.23,-.12,-.85,-.88,-.06,.18,.69,.31,-2.3,1.03,.81,.51,.47,.21,.9,.87
2,Nifty 100,.64,-1.03,.25,0,-.04,-.31,-.8,-1.11,-.26,.42,.24,.36,-.33,.92,.5,.57,.24,.23,.53,.93
3,Nifty 200,.71,-1.08,.33,-.03,.07,-.28,-.81,-.99,-.28,.4,.37,.34,-.75,.95,.57,.6,.22,.36,.6,.91
4,Nifty 500,.71,-.99,.38,.02,.07,-.25,-.84,-.93,-.3,.35,.44,.38,-1.09,.95,.59,.58,.19,.41,.62,.89
5,Nifty Midcap 50,1.38,-1.73,.87,-.4,.92,-.07,-.8,-.01,-.35,.46,1.12,.6,-2.89,.67,1.1,.45,.28,.98,.59,.7
6,NIFTY Midcap 100,1.08,-1.32,.75,-.17,.66,-.11,-.89,-.28,-.42,.28,1.17,.19,-3.07,1.14,.95,.77,.08,1.06,.98,.84
7,NIFTY Smallcap 100,.99,-.41,.98,.57,.04,.26,-1.34,-.88,-.54,.41,1.31,1.02,-4.1,1.33,.61,.47,.15,.84,1.33,1.17
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,.57,-1.17,.03,.35,-.08,.21,-1.69,-.51,.84,1.58,1.09,-.46,-1.86,1.69,.67,.47,-.13,-.01,.1,1.65
10,Nifty Bank,.64,-.64,-.08,-.32,.35,-.03,-1.68,-1.29,-.54,.5,.2,.87,-.13,.92,.62,1.06,-.28,-.1,.32,1.02
11,Nifty Energy,.96,-.62,.36,.11,.01,-.46,-.78,-.35,.72,-.3,.53,.93,-2.49,1.02,1.39,.91,.29,.41,1.14,2.37
12,Nifty Financial Services,.69,-.49,-.13,-.23,.56,-.41,-1.44,-1.49,-.6,.6,.11,.41,-.01,.83,.89,1.02,.02,-.17,.12,.85
13,Nifty FMCG,.53,-1.91,.8,.52,.07,-.12,-.48,-.53,.58,-.48,-.15,.3,-.33,.89,-.14,-.41,1,.74,-.13,.29
14,Nifty IT,-.3,-2.19,.38,-.54,-.78,-.04,-.09,-.54,-.68,.94,.48,-.28,1.03,.7,-.1,.42,-.16,.63,2.06,1.12
15,Nifty Media,1.96,-1.4,.02,-.86,-.73,0,.03,-.26,-1.27,-.1,-.4,1.53,-4.3,-.33,-.97,1.09,.2,3.19,1.59,.13
16,Nifty Metal,1.9,-.96,.03,.31,-.11,-.66,-.55,-1.63,-1.11,-.16,1.49,.42,-2.67,1.81,-.05,-.04,-.79,.46,2.28,2.88
17,Nifty MNC,.85,-1.79,.28,.17,.13,.1,-.55,-.81,-.05,.14,.44,-.31,-1.47,.93,.36,.05,.41,.4,.4,.51
18,Nifty Pharma,2.66,-.9,1.19,-.24,-.34,-1.55,-.99,-.28,-.51,.61,.26,.78,.12,.39,-.36,-.32,.9,1.1,.27,-.56
19,Nifty PSU Bank,1.63,-1.13,.83,-.64,.16,3.51,-2.28,-1.18,3.39,.53,1.64,4.23,-2.38,3.13,.32,1.19,-1,.74,2.43,1.6
20,Nifty Realty,.92,-.97,.73,.31,1.52,-.66,-1.21,-1.17,-1.37,-.39,1.39,.68,-3.24,.88,2.12,1.48,-.96,1.06,1.15,.94
21,Nifty India Consumption,.36,-1.48,.31,.13,.18,-.01,-.47,-.7,.44,.44,.14,.43,-.81,.92,.3,-.01,.77,.48,-.18,.73
