,Index Name,ind_close_all_25092024.csv,ind_close_all_24092024.csv,ind_close_all_23092024.csv,ind_close_all_20092024.csv,ind_close_all_19092024.csv,ind_close_all_18092024.csv,ind_close_all_17092024.csv,ind_close_all_16092024.csv,ind_close_all_13092024.csv,ind_close_all_12092024.csv,ind_close_all_11092024.csv,ind_close_all_10092024.csv,ind_close_all_09092024.csv,ind_close_all_06092024.csv,ind_close_all_05092024.csv,ind_close_all_04092024.csv,ind_close_all_03092024.csv,ind_close_all_02092024.csv
0,Nifty 50,.25,.01,.57,1.48,.15,-.16,.14,.11,-.13,1.89,-.49,.42,.34,-1.17,-.21,-.32,0,.17
1,Nifty Next 50,-.37,.13,1.62,1.43,-.69,-.43,-.27,.05,-.02,1.47,-.51,.22,.15,-1.36,.05,.05,.1,.07
2,Nifty 100,.09,.01,.76,1.5,.02,-.19,.07,.13,-.16,1.82,-.49,.4,.32,-1.18,-.14,-.25,.03,.23
3,Nifty 200,-.03,.05,.77,1.49,-.09,-.28,.04,.17,-.02,1.72,-.44,.53,.22,-1.25,-.05,-.23,.06,.16
4,Nifty 500,-.08,.04,.77,1.42,-.19,-.3,.01,.17,.09,1.6,-.48,.6,.1,-1.2,.06,-.17,.12,.11
5,Nifty Midcap 50,-.46,.41,.92,1.1,-.62,-1.14,-.05,.07,.7,1.3,-.1,1.43,-.52,-1.74,.46,-.14,.38,-.18
6,NIFTY Midcap 100,-.63,.23,.84,1.44,-.67,-.71,-.13,.38,.66,1.19,-.17,1.19,-.26,-1.59,.38,-.13,.25,-.23
7,NIFTY Smallcap 100,-.42,-.56,1.12,.98,-1.26,-.39,-.37,.16,.78,1.01,-.81,1.15,-.93,-1.25,1.03,-.02,.43,-.33
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.12,.43,1.56,1.88,.4,-.36,.26,.03,.16,2.14,-1.24,.24,-.12,-1.19,-.38,-.39,-.14,-.39
10,Nifty Bank,.25,-.25,.58,1.42,.54,1.08,.07,.41,.32,1.49,-.51,.3,1.07,-1.74,.14,-.56,.49,.17
