,Index Name,ind_close_all_29092025.csv,ind_close_all_26092025.csv,ind_close_all_25092025.csv,ind_close_all_24092025.csv,ind_close_all_23092025.csv,ind_close_all_22092025.csv,ind_close_all_19092025.csv,ind_close_all_18092025.csv,ind_close_all_17092025.csv,ind_close_all_16092025.csv,ind_close_all_15092025.csv,ind_close_all_12092025.csv,ind_close_all_11092025.csv,ind_close_all_10092025.csv,ind_close_all_09092025.csv,ind_close_all_08092025.csv,ind_close_all_05092025.csv,ind_close_all_04092025.csv,ind_close_all_03092025.csv,ind_close_all_02092025.csv,ind_close_all_01092025.csv
0,Nifty 50,-.08,-.95,-.66,-.45,-.13,-.49,-.38,.37,.36,.68,-.18,.43,.13,.42,.39,.13,.03,.08,.55,-.18,.81
1,Nifty Next 50,1.03,-1.68,-.75,-1.2,-.46,.32,.58,.27,.21,.58,.6,.32,.33,.43,.14,.41,-.09,-.46,.66,.52,1.41
2,Nifty 100,.11,-1.08,-.68,-.58,-.19,-.35,-.21,.35,.34,.66,-.04,.41,.16,.42,.34,.18,.01,-.01,.57,-.06,.91
3,Nifty 200,.14,-1.24,-.67,-.65,-.21,-.41,-.17,.36,.29,.64,.04,.4,.15,.51,.32,.23,.04,-.13,.58,-.01,1.09
4,Nifty 500,.11,-1.34,-.67,-.63,-.24,-.45,-.14,.31,.32,.66,.11,.38,.12,.54,.31,.22,.04,-.2,.62,.05,1.12
5,Nifty Midcap 50,.29,-1.87,-.66,-1.07,-.13,-.74,-.15,.37,-.02,.57,.47,.32,.09,.95,.28,.44,.14,-.54,.54,.22,2.03
6,NIFTY Midcap 100,.27,-2.05,-.64,-.98,-.35,-.67,.04,.38,.08,.54,.44,.32,.08,.93,.18,.5,.2,-.67,.65,.27,1.97
7,NIFTY Smallcap 100,-.07,-2.26,-.57,-.67,-.53,-1.17,.15,.29,.68,.95,.76,.64,0,.73,.34,.16,.19,-.71,.89,.53,1.57
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Nifty Auto,-.18,-1.02,-.92,-1.15,.62,-.24,-.4,.13,.55,1.44,-.39,.46,-.33,-1.28,-.02,3.3,1.25,.85,.74,-.29,2.8
10,Nifty Bank,.13,-1.07,-.26,-.7,.41,-.31,-.48,.42,.63,.47,.14,.26,.24,.59,.05,.13,.07,.01,.76,-.63,.65
11,Nifty Energy,.69,-1.21,-.71,-.89,-.46,.69,.86,-.35,.36,.89,.54,.33,.88,.8,-.12,-.02,.04,-.99,.39,.98,1.54
12,Nifty Financial Services,.08,-1,-.53,-.64,.12,0,-.64,.51,.26,.39,.11,.7,.21,.62,.07,.21,.14,.47,.62,-.66,.69
13,Nifty FMCG,.18,-.47,-.49,.18,-1.29,-.47,-.44,.36,-.14,-.27,-.01,-.71,.18,.64,.58,-.21,-1.42,.24,.29,1.12,.06
