,Index Name,ind_close_all_10092026.csv,ind_close_all_09092026.csv,ind_close_all_08092026.csv,ind_close_all_07092026.csv,ind_close_all_04092026.csv,ind_close_all_03092026.csv,ind_close_all_02092026.csv,ind_close_all_01092026.csv
0,Nifty 50,.2,-.86,-.61,-.5,.1,-.17,-.59,-.1
1,Nifty Next 50,-.44,-.13,.52,-.42,-.23,.14,.1,-1.2
2,Nifty 100,.08,-.72,-.4,-.48,.04,-.11,-.46,-.31
3,Nifty 200,-.02,-.68,-.27,-.48,-.02,-.01,-.47,-.53
4,Nifty 500,-.03,-.64,-.22,-.42,0,.13,-.5,-.47
5,Nifty Midcap 50,-.36,-.55,.23,-.42,-.23,.28,-.7,-1.31
6,NIFTY Midcap 100,-.38,-.51,.21,-.46,-.25,.37,-.53,-1.39
7,NIFTY Smallcap 100,-.07,-.48,.17,.02,.22,1.2,-.37,-.23
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-
9,Nifty Auto,-.41,-.44,.28,-.04,-.45,-.52,-1.79,-1.22
10,Nifty Bank,.31,-.85,-.54,-.49,-.02,.36,-.41,-1.06
11,Nifty Energy,-.29,.63,.32,-.25,-.19,.3,.59,-.38
12,Nifty Financial Services,.57,-1.24,-.93,-.44,.49,.43,-.73,-1.1
13,Nifty FMCG,-.27,-.96,.35,-.66,-.14,-.62,-.47,.94
14,Nifty IT,-.08,-3.24,-.37,-2.28,-.47,-.85,-1.25,.98
15,Nifty Media,.55,-.92,1.31,-2.86,.3,1.74,-1.75,.26
16,Nifty Metal,-.65,1.79,.02,-1.24,1.07,.14,-.25,-.03
17,Nifty MNC,-.38,-.25,.09,-.23,-.34,-.08,-.82,-1.57
18,Nifty Pharma,-.51,-.7,.77,.75,-.68,-.46,-.04,-1.45
19,Nifty PSU Bank,.39,-.51,-.15,-1.06,-.44,.48,.07,-1.21
20,Nifty Realty,-.02,-2.23,-.05,-1.7,-.9,2.58,.21,-1.42
21,Nifty India Consumption,-.15,-.33,.07,-.32,-.4,-.5,-.67,-.17
22,Nifty Commodities,-.29,.64,-.27,-1.04,.55,-.06,.54,.14
23,Nifty Dividend Opportunities 50,.06,-.9,-.12,-1.11,-.11,-.36,-.49,-.05
24,Nifty Infrastructure,.15,-.27,-.49,-.1,-.07,-.09,.03,.33
