,SYMBOL,NAME OF COMPANY,cm20JAN2024bhav.csv,cm19JAN2024bhav.csv,cm18JAN2024bhav.csv,cm17JAN2024bhav.csv,cm16JAN2024bhav.csv,cm15JAN2024bhav.csv,cm12JAN2024bhav.csv,cm11JAN2024bhav.csv,cm10JAN2024bhav.csv,cm09JAN2024bhav.csv,cm08JAN2024bhav.csv,cm05JAN2024bhav.csv,cm04JAN2024bhav.csv,cm03JAN2024bhav.csv,cm02JAN2024bhav.csv,cm01JAN2024bhav.csv
0,20MICRONS,20 Microns Limited,-0.17559262510973542,0.8857395925597875,-0.2062463170300497,2.5067955300513303,-6.2836116614774955,-0.8419870895312938,0.2250351617440257,1.5424164524421529,-0.08561643835615142,0.14289797084881395,-0.17118402282454287,-0.256118383608417,-1.980474198047426,4.824561403508771,-3.1161473087818696,0.17026106696935947
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,1.4155069582504933,-2.223777311251062,-0.5413347768927385,-2.2747883917775193,0.1589584437211518,-1.366283410482319,-1.5653707650473987,-0.40986606162628336,1.2449055205631683,0.34203286489701157,1.5095478904068231,1.3152863806683524,-0.2136589088134265,-3.1984044910621923,-3.692110692181837,-0.986123828977953
3,3IINFOLTD,3i Infotech Limited,2.9629629629629655,1.9830028328611842,-1.2126865671641764,-1.1070110701107037,-3.3868092691622076,2.0000000000000027,5.66762728146014,-1.7924528301886848,-3.2846715328467107,1.2939001848428757,0.838769804287051,-2.7198549410698094,-0.7200720072007175,-1.9417475728155367,7.9047619047619015,7.252298263534213
4,3MINDIA,3M India Limited,-0.25504186814482843,-0.5184386709784338,-0.7356152497860018,0.029707122719554176,-0.5192035787961093,1.2407821327372885,-0.021261838811800465,0.15273161970414123,-0.31723027375200863,0.24772090893615453,-1.805201898149545,1.093037078474888,0.24841727091503402,-3.9209798520792596,-2.798694488126689,-1.740055723595966
5,3PLAND,3P Land Holdings Limited,4.761904761904749,3.9301310043668165,-0.7225433526011561,-4.55172413793103,-0.4120879120879082,7.533234859675028,-0.7331378299120234,8.945686900958469,2.791461412151072,7.7876106194690236,1.2544802867383564,0.35971223021581966,-0.5366726296958805,3.3271719038816956,-0.36832412523019475,0.929368029739777
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,-1.23690222957536,6.270931011386459,-0.9618573797678199,-2.3007128969539927,-4.49516441005802,-1.5238095238095237,-4.905086219388497,-0.5189563211763042,-5.2387132026500804,-0.5434413423001155,6.273462315911049,1.5170392085012858,-0.16097168361747607,5.896482256314903,7.406790945406126,6.101545253863127
8,63MOONS,63 moons technologies limited,,,,,,,,,,,,,,,,
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,8.56542301629006,-2.4602767811378694,6.263616557734205,-0.37981551817689474,0.4907306434024022,0.6034009873834307,5.072046109510093,3.6439665471923504
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,-1.2195121951219512,-3.377847604084837,-0.5468750000000022,1.5873015873015872,-5.191873589164789,16.2729658792651,-5.7708161582852435,19.98021760633037
13,AARON,Aaron Industries Limited,-0.08791981712678038,2.7461607949412907,0.0,-3.0138426493779646,2.0930232558139616,-1.791988756148989,1.389383683648035,1.7213263272331945,-2.6974612129760343,1.3762287756925906,-0.10712372790573517,-0.07136485280998703,-0.6029437843589249,-2.3549783549783587,0.069312077629523,2.2864232541651854
14,AARTIDRUGS,Aarti Drugs Limited,0.8547008547008461,0.35818644547082235,0.48304603144536246,-0.901070020649534,0.07514559458953428,2.1101093420295416,0.5982246236973965,-0.0867637134869241,1.6960784313725445,1.593625498007968,-1.51069256425348,1.1911852293031566,0.4887780548628406,0.019954105557222934,1.1606782398062172,1.2673753066230558
15,AARTIIND,Aarti Industries Limited,-1.2888496096626896,11.00392413342053,4.896664093988521,-2.865472719700133,-1.9439679817038271,-0.7136485280999072,-0.5564516129032331,2.7170311464546018,0.05801906340655163,0.7515657620041754,-4.854600349594781,-2.343265052762263,-1.233811020001543,-0.4880652787310199,0.598388952819329,0.33097290640393734
16,AARTIPHARM,Aarti Pharmalabs Limited,-0.8039345502695545,3.2620373083308896,-0.23384975153463677,-1.2508419128259407,-0.9718913768461216,-1.769000374391622,-3.4083717566223504,8.462443616395369,1.5029361998606459,-0.03979703512088123,2.834049519132397,-3.4189723320158127,2.139685102947118,-1.4227440055715916,-0.5540714356386686,0.17841213202498446
17,AARTISURF,Aarti Surfactants Limited,0.19243530192435906,5.761807846164636,1.5319937295140373,0.6670970518614291,-3.6558396682792047,-0.06906077348066297,0.38128249566724437,-0.18682535289233637,0.942934972410421,-2.1394395078605575,0.3429355281207133,-0.9376273950264951,0.42303493449781976,-2.4883566200931533,-0.1395256129160793,-0.16582647917219423
18,AARVEEDEN,Aarvee Denims & Exports Limited,1.0380622837370268,0.0,-0.6872852233677073,-0.34246575342465024,-7.448494453248816,-0.15822784810126805,2.100161550888537,-4.1795665634674855,3.1948881789137267,5.564924114671171,-3.420195439739416,0.32679738562090804,-1.1308562197092016,4.208754208754209,-0.6688963210702318,6.028368794326239
19,AARVI,Aarvi Encon Limited,-1.5903927296332472,-0.42016806722687605,1.1772400261608782,-1.6087516087516087,-0.8928571428571465,-2.4268823895457237,-0.8330762110459874,-1.5791071970847215,-1.6721409375933014,2.761583307763118,1.2740832815413194,0.1556178026766262,4.385964912280701,-1.9120458891013385,0.7707129094412442,-1.2995245641838424
20,AAVAS,Aavas Financiers Limited,2.4751477700161293,-0.8227025946774231,-1.863171313699212,-2.4986455046690135,-2.7371357718536946,1.3477427664855044,0.8107680126682473,0.6406578695735293,1.0272097890838863,0.01932429385809234,-0.8684269340059327,-0.32777494908350885,0.22325700070166488,-0.491922942651306,0.9127594158339738,1.8893783651492932
21,ABAN,Aban Offshore Limited,,,,,,,,,,,,,,,,
22,ABB,ABB India Limited,-1.4417741082264104,2.3374059252497044,-1.3136254596117747,-0.7537479466866279,1.1866439436975436,-0.6490452450381,-1.804242741463726,-1.2936361610308458,0.3109503292415288,3.5230751428060434,-1.6430929051082919,0.15752111508369063,1.030247824857866,1.5728688106176583,0.41433514160011414,0.15722429596670384
23,ABBOTINDIA,Abbott India Limited,-2.5609850388525945,0.5031568722680912,0.02642757484250049,-0.2937244492666548,-1.5411791861642998,1.7925037574420628,1.6150578243977323,2.967989678677739,1.5572447888939724,2.4253849632895412,-0.948309789571523,1.3356074298466651,-0.15588860742334465,1.1975264979798241,2.4873578166257406,-0.39450795908320746
24,ABCAPITAL,Aditya Birla Capital Limited,-0.3434459072696018,-0.22844089091947783,0.0,-2.233389168062535,-0.027909572983539695,-0.11151379983272297,-0.6646358349487771,4.183496826312752,-1.0562375107051067,-0.14253135689851767,0.17133066818961243,0.5743825387708213,2.171361502347411,-0.11723329425556192,2.7401385124962254,-0.21033653846153502
25,ABFRL,Aditya Birla Fashion and Retail Limited,0.8713136729222468,0.2912838897602535,-0.22356360384529397,-3.5159620362381383,0.41152263374486336,-0.9227467811158822,-0.406069673007048,3.175303197353909,-1.176726955763778,-0.5849220103986233,-3.0659386812263683,-3.505572441742657,2.4922118380062304,-0.6602021869197419,7.305733894177552,0.9611086276262879
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,2.023362536503973,0.08350730688934807,-0.910219280099292,-2.135843708877419,-1.308691308691311,0.3609384399438563,4.385138670852954,1.089716462124413,-0.8496800587433031,0.9530869427088849,-0.7149616233834578,0.7841475045035474,0.5540756526371918,0.010656436487640957,-1.1065444198545684,1.0866091403004081
28,ACC,ACC Limited,0.570901585349787,0.752179107119154,0.3685940136779344,-1.8588332715901257,-1.1183416652301446,-0.5144915108900703,0.458705717669865,0.6568108904881684,-0.13205464031347527,-1.9152776303216865,-0.9548045174451544,0.816300568230006,3.4207525655644244,0.5689586733118527,1.0698524495163375,1.4494064443188324
29,ACCELYA,Accelya Solutions India Limited,-2.566435108611752,-4.3076841910891925,3.1621628976515166,-2.0289005012264147,-3.58584170886564,11.186372860041729,12.07238949391416,1.3373149831212612,0.17232970248740634,2.186264411735395,3.00136892539356,3.0397066083644764,-1.060637778242957,1.0256952521941387,-0.3302301071491337,0.5368558612651367
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,-0.6197213995832062,0.8183125069114333,0.2994676131322018,2.460367066310583,-2.633471645919774,0.5619227773450488,-0.35480651956978954,0.8780269559868042,-0.9801749916934348,-0.45752714844826387,-0.47728768926925863,1.2891753723049593,-2.776877363587255,6.416005519144527,2.81357134413052,2.0201411083639873
32,ACEINTEG,Ace Integrated Solutions Limited,2.405063291139248,-1.3732833957552988,-2.673147023086273,-2.140309155766941,1.5700483091787405,-1.5457788347205674,-0.47337278106509545,-0.4711425206124919,0.0,-1.3937282229965025,2.6221692491060646,1.3285024154589475,2.6022304832713683,-0.4932182490752053,-0.24600246002460377,0.37037037037036685
33,ACI,Archean Chemical Industries Limited,0.9074704261870074,2.824293926518378,-1.4127310061601681,-0.44157330934664246,-1.49818767619814,-0.3851400144427469,0.19294155478735137,-1.426420477058404,0.9358502639577703,-1.7910447761193993,-0.13336471326587004,-1.7345050878815909,0.2705418566901136,0.32570763861962354,-0.37855377008653357,-0.3847929813760197
34,ACL,Andhra Cements Limited,-1.4580801944106903,-1.0024057738572574,0.04011231448054324,-0.4790419161676602,-2.831652443754853,-0.07751937984495684,0.11641443538999278,1.6167192429022061,-1.933488012374334,-1.7850360805165166,1.856866537717606,-2.3422742727616126,8.350388866148169,9.748427672955982,-1.4171833480956675,3.6255162918770103
35,ADANIENT,Adani Enterprises Limited,2.4780066194502086,-0.11134331426222208,-1.755271705289379,-2.795681334860128,-1.0681340022657388,-0.47034567185335235,0.7530267129734759,-0.5583887418500977,2.7731705698931837,1.7243124683651059,-1.433512938202618,0.2768235333355477,-0.15651015651015046,2.407584231346334,0.5210475798711187,2.3956194387405887
36,ADANIGREEN,Adani Green Energy Limited,6.8470475887314945,-1.1018416496143555,-1.656346749226006,-3.1077513798896064,-1.6521123436393677,-0.9294440872157649,-0.2012659335530756,-0.5280719570578796,2.367232980872039,0.19939882741585885,0.36140979689366515,-1.0930576070901035,-0.2798644866696126,5.843285210938234,0.32219719719718865,0.08766437069505892
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,3.518590828235494,-0.1386421732160573,-1.0969704760680428,-2.2206393765450203,-0.810406450004156,-0.33137271145721153,0.3449852446069964,-0.9387738296207737,1.4409823740706709,2.416905505411302,1.26489062161576,2.7644230769230727,2.6456477039067896,1.4697700296735818,2.915493629813445,2.294137745887636
38,ADANIPOWER,Adani Power Limited,,,,,,,,,,,,,,,,
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,,,,
40,ADFFOODS,ADF Foods Limited,-0.567200986436501,0.321622958931225,4.8236514522821485,-1.1282051282051224,-2.4024024024024078,-0.32427039161884624,0.14988758431175767,-0.19945150835203473,-0.1742160278745616,-0.27302060064531297,-2.37460625151442,-0.6977863330125202,1.6882799119158391,2.6368658965344047,-0.3004506760140182,-0.22483137646765777
41,ADL,Archidply Decor Limited,,,,,,,,,,,,,,,,
42,ADORWELD,Ador Welding Limited,-2.0284103436328733,1.7139744986224128,1.2849633331170065,1.118876529842188,-1.6807535970062701,-1.0091332950118128,1.1205476797881704,-2.0279676031384573,1.4735625541750967,1.0773274491352265,-0.06809780141385187,-1.0841673081857752,-0.45023469681003636,3.530695229594358,0.1290963257199633,-0.14543531433860285
43,ADROITINFO,Adroit Infotech Limited,,,,,,,,,,,,,,,,
44,ADSL,Allied Digital Services Limited,0.37503348513259505,-0.7444828503057727,2.2288665398206158,1.657916551533573,-5.681522022413347,10.226946279804643,1.9625073227885315,19.999999999999993,-3.4611469290804173,-0.30446549391070166,1.0252904989747094,10.082768999247559,-0.11273957158963223,-1.078066914498133,-1.3206162876008887,-0.6197593875318952
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,4.137323943661975,0.5754758742806476,-0.5721830985915418,-1.9844693701466878,0.47680970957955043,0.30434782608695155,-0.6050129645635288,7.179249652616952,-1.3254113345521048,-0.18248175182480714,-1.2612612612612664,0.3163126976954309,0.1810774105930311,0.8215426745778236,4.983229516051752,1.7552413456850289
46,ADVENZYMES,Advanced Enzyme Technologies Limited,-1.032814747025752,1.1103767349636453,3.6585365853658605,-0.788471995649819,0.24529844644318186,0.5343197698314807,-1.0439262472885094,0.13575889220743959,0.4774246351111717,-0.7715213860313931,-1.7683818641138236,-0.42367271282933033,0.2921258796972423,0.49372831598612826,0.20056157240272765,-0.37298521380046196
47,AEGISCHEM,Aegis Logistics Limited,-3.375032577534529,1.912350597609559,1.6331488729923098,0.6110809342748507,1.306919796395653,-0.19222847727584474,-0.3829845438380616,2.9428330047873805,2.823222817431591,2.129232589087697,1.2576733043868809,-2.8932829310846144,-1.6726233023588344,0.21489971346704873,-0.15734515806036656,-0.6678033532253385
48,AETHER,Aether Industries Limited,-0.5088331141729955,0.9057343948309575,-1.1068005476951086,0.5449434979636322,-1.1454493904167873,-0.5077574047954866,-0.39896605978871147,-0.5476696099251247,-0.17294281729427666,0.033484011384558796,-0.9069291599845084,0.2383592017738334,-0.02770850651149903,2.0298541219043362,0.20964360587001066,-0.5466020511664499
