,SYMBOL,NAME OF COMPANY,cm23JAN2024bhav.csv,cm20JAN2024bhav.csv,cm19JAN2024bhav.csv,cm18JAN2024bhav.csv,cm17JAN2024bhav.csv,cm16JAN2024bhav.csv,cm15JAN2024bhav.csv,cm12JAN2024bhav.csv,cm11JAN2024bhav.csv,cm10JAN2024bhav.csv,cm09JAN2024bhav.csv,cm08JAN2024bhav.csv,cm05JAN2024bhav.csv,cm04JAN2024bhav.csv,cm03JAN2024bhav.csv,cm02JAN2024bhav.csv,cm01JAN2024bhav.csv
0,20MICRONS,20 Microns Limited,166.5,171.1,171.45,169.05,170.0,164.7,175.5,177.3,177.5,174.5,174.0,176.0,175.0,176.0,180.0,171.5,176.5
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,624.95,638.0,627.9,644.0,646.0,661.0,659.6,670.0,679.2,683.0,674.5,673.45,663.9,652.0,660.95,676.15,693.7
3,3IINFOLTD,3i Infotech Limited,56.4,55.3,54.35,53.0,53.5,54.3,56.3,55.25,52.2,53.1,54.75,54.45,53.65,55.15,55.7,56.9,52.6
4,3MINDIA,3M India Limited,33350.0,33970.0,33852.0,34050.0,34370.0,34399.1,34263.0,34250.0,34000.05,34198.85,34230.0,33900.0,34700.0,34212.0,34235.0,35502.0,36570.0
5,3PLAND,3P Land Holdings Limited,36.4,37.45,35.4,34.8,34.45,35.85,36.9,32.75,34.2,32.35,30.5,28.5,28.0,27.9,28.0,27.2,27.2
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,609.0,629.75,642.0,595.95,597.0,619.9,646.0,658.0,693.5,691.55,731.0,737.0,691.9,683.1,685.0,643.25,603.0
8,63MOONS,63 moons technologies limited,,,,,,,,,,,,,,,,,
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,103.65,94.3,97.25,91.15,92.1,91.55,91.3,86.9
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,60.25,61.3,63.5,64.45,62.8,65.6,57.45,60.65
13,AARON,Aaron Industries Limited,275.0,285.9,284.55,277.0,277.8,284.9,281.7,285.0,279.1,280.2,288.0,276.65,281.4,278.0,283.9,289.0,286.1
14,AARTIDRUGS,Aarti Drugs Limited,535.15,536.0,534.0,531.0,529.5,534.45,532.9,521.0,518.35,517.0,510.0,502.5,510.0,504.0,502.9,498.0,495.0
15,AARTIIND,Aarti Industries Limited,645.75,670.0,675.0,612.8,583.2,600.0,612.0,615.0,620.0,603.7,603.0,600.5,630.0,644.0,653.55,655.05,651.4
16,AARTIPHARM,Aarti Pharmalabs Limited,540.0,522.0,532.55,514.45,510.5,522.0,527.85,535.0,552.4,510.0,503.75,504.8,488.0,506.55,496.9,504.2,505.4
17,AARTISURF,Aarti Surfactants Limited,734.95,747.0,759.9,719.0,703.0,700.0,725.0,727.0,720.2,720.1,716.9,727.0,726.0,739.0,733.0,751.8,759.1
18,AARVEEDEN,Aarvee Denims & Exports Limited,27.95,29.05,29.15,29.35,29.05,29.7,31.4,31.8,30.85,32.15,31.15,29.55,30.55,30.5,30.95,29.6,29.75
19,AARVI,Aarvi Encon Limited,149.0,152.0,153.3,154.95,153.9,155.0,156.0,161.75,162.0,164.95,167.5,162.1,161.7,161.2,155.5,156.3,155.9
