,SYMBOL,NAME OF COMPANY,cm26JUL2023bhav.csv,cm25JUL2023bhav.csv,cm24JUL2023bhav.csv,cm21JUL2023bhav.csv,cm20JUL2023bhav.csv,cm19JUL2023bhav.csv,cm18JUL2023bhav.csv,cm17JUL2023bhav.csv,cm14JUL2023bhav.csv,cm13JUL2023bhav.csv,cm12JUL2023bhav.csv,cm11JUL2023bhav.csv,cm10JUL2023bhav.csv,cm07JUL2023bhav.csv,cm05JUL2023bhav.csv,cm04JUL2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,22.0,21.6,21.2,20.8,20.4,20.0,19.65,19.4,19.5,19.9,20.3,20.7,20.75,21.15,21.95,22.4
2,360ONE,360 ONE WAM LIMITED,514.0,521.5,521.0,517.95,522.0,519.9,515.0,525.0,512.1,502.4,501.15,488.0,485.1,489.85,475.0,480.5
3,3IINFOLTD,3i Infotech Limited,34.35,33.8,34.3,34.3,34.65,34.5,34.4,35.0,34.1,32.8,33.7,33.0,33.25,33.45,33.6,33.85
4,3MINDIA,3M India Limited,27875.0,28300.0,28140.0,28039.0,28095.75,27850.0,27875.0,28245.0,28285.0,28950.0,28300.0,27811.0,27501.0,26942.0,27400.0,27000.0
5,3PLAND,3P Land Holdings Limited,,,,,,,,,,,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,461.5,453.0,395.0,400.0,399.9,394.4,388.6,393.8,398.95,412.6,422.0,409.0,396.0,399.0,413.7,371.0
8,63MOONS,63 moons technologies limited,244.8,253.4,256.9,254.0,254.0,251.0,255.2,262.85,267.95,272.25,248.9,246.0,231.0,241.7,246.0,242.0
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,53.25,52.1,53.5,53.9,55.7,51.9,52.95,52.1,54.0,53.9,53.05,53.3,54.4,54.4,54.0,54.95
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,32.35,31.5,32.0,33.2,33.75,33.1,33.0,32.5,32.6,32.8,33.9,32.7,33.0,33.45,33.6,33.45
13,AARON,Aaron Industries Limited,,,,,,,,,,,,,235.0,235.0,237.0,220.0
14,AARTIDRUGS,Aarti Drugs Limited,581.0,609.0,603.9,509.5,510.35,519.3,516.7,506.0,500.0,487.05,490.5,470.0,465.5,470.1,469.0,459.5
15,AARTIIND,Aarti Industries Limited,464.6,460.95,465.35,470.2,466.05,467.0,466.0,464.95,453.55,448.8,455.6,449.7,454.8,472.4,487.25,492.3
16,AARTIPHARM,Aarti Pharmalabs Limited,339.0,343.6,336.0,338.5,339.8,337.1,336.4,327.0,340.05,336.0,343.0,336.5,355.05,358.0,368.95,375.0
17,AARTISURF,Aarti Surfactants Limited,615.0,624.5,615.0,605.0,607.0,612.9,610.0,612.3,610.0,613.15,615.2,611.0,623.0,617.9,612.3,610.2
18,AARVEEDEN,Aarvee Denims & Exports Limited,21.2,21.25,22.3,22.7,21.65,22.65,24.35,20.3,20.35,20.15,20.35,20.3,20.4,20.35,20.2,20.05
19,AARVI,Aarvi Encon Limited,129.0,130.5,130.3,131.1,130.9,131.3,132.0,138.35,140.2,140.35,142.0,141.3,136.0,135.0,137.8,138.0
20,AAVAS,Aavas Financiers Limited,1620.5,1611.95,1607.0,1575.0,1569.0,1545.0,1563.0,1530.0,1557.0,1528.0,1550.0,1552.0,1542.65,1562.3,1537.9,1532.0
21,ABAN,Aban Offshore Limited,39.75,39.5,39.75,40.15,39.75,39.9,39.55,40.1,40.0,39.95,40.05,40.85,40.7,41.2,41.35,40.25
22,ABB,ABB India Limited,4404.8,4335.35,4313.0,4239.0,4203.9,4498.7,4491.0,4421.95,4390.55,4426.0,4511.4,4500.0,4368.0,4400.0,4414.0,4370.0
23,ABBOTINDIA,Abbott India Limited,22930.0,22924.65,23225.1,23219.95,23600.0,23515.0,23341.2,23199.95,23300.0,23400.0,23598.95,23661.0,23600.0,23452.75,23300.0,23250.0
24,ABCAPITAL,Aditya Birla Capital Limited,191.8,188.4,189.25,185.65,186.0,185.25,183.8,187.55,189.15,187.6,188.35,183.7,184.85,189.3,189.5,193.6
25,ABFRL,Aditya Birla Fashion and Retail Limited,216.25,217.5,214.1,213.0,214.05,213.95,211.65,215.25,214.7,217.1,213.55,218.0,214.9,213.45,210.5,211.25
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,409.3,410.0,401.8,389.75,391.9,383.2,381.7,383.75,384.55,379.95,377.8,377.2,368.0,370.5,372.05,375.85
28,ACC,ACC Limited,1925.0,1889.0,1805.5,1770.0,1800.0,1801.0,1795.0,1813.0,1778.65,1771.35,1788.0,1785.0,1795.2,1788.25,1819.0,1824.0
29,ACCELYA,Accelya Solutions India Limited,1441.0,1433.0,1449.0,1427.35,1394.0,1388.0,1370.0,1385.0,1356.0,1288.9,1298.0,1309.65,1285.0,1330.0,1331.0,1330.7
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,,,,,11.1
31,ACE,Action Construction Equipment Limited,724.8,675.5,669.9,615.8,610.0,609.0,606.9,620.25,602.0,602.7,614.0,614.6,605.0,602.0,507.7,484.5
32,ACEINTEG,Ace Integrated Solutions Limited,,,,,,,,,,,,,,,,
33,ACI,Archean Chemical Industries Limited,524.65,524.0,528.5,530.0,529.5,531.0,528.9,532.5,529.9,532.85,538.05,535.0,535.0,534.8,534.1,536.0
34,ACL,Andhra Cements Limited,90.75,86.45,83.0,81.5,79.95,82.7,81.75,84.25,83.1,84.9,85.35,85.05,87.55,88.0,88.1,88.0
35,ADANIENT,Adani Enterprises Limited,2468.0,2465.1,2416.0,2420.0,2419.95,2423.9,2416.0,2410.0,2382.0,2363.0,2390.0,2418.0,2411.8,2380.0,2401.0,2388.0
36,ADANIGREEN,Adani Green Energy Limited,1134.9,1088.05,987.0,993.2,983.6,977.0,972.05,964.7,965.0,946.15,951.5,963.1,957.6,950.0,947.5,945.0
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,752.7,748.3,735.1,729.0,732.0,731.25,728.3,731.1,726.55,717.5,722.5,728.95,720.85,719.45,742.7,741.9
38,ADANIPOWER,Adani Power Limited,254.85,261.7,237.55,242.1,244.0,245.7,247.4,245.5,241.85,236.95,240.95,244.5,241.5,243.6,245.5,247.0
39,ADANITRANS,Adani Transmission Limited,813.0,836.1,774.0,775.2,781.0,775.0,781.5,769.4,742.65,745.0,752.5,752.0,748.95,761.4,770.25,771.35
40,ADFFOODS,ADF Foods Limited,1077.0,1078.0,1090.0,1076.1,1075.05,1061.0,1060.95,1098.0,1087.9,1030.1,1042.0,1065.0,1025.0,1054.8,1047.0,1045.0
41,ADL,Archidply Decor Limited,,,,,,,,,,,,,,,,
42,ADORWELD,Ador Welding Limited,1245.0,1246.0,1236.1,1253.95,1251.05,1224.7,1218.0,1227.0,1280.0,1272.1,1264.5,1257.8,1256.15,1207.0,1200.6,1197.8
43,ADROITINFO,Adroit Infotech Limited,,,,,,,,,,,,,,,,
44,ADSL,Allied Digital Services Limited,145.85,137.3,150.05,145.8,142.0,141.05,130.6,128.2,127.9,121.6,119.5,108.45,106.35,106.0,107.3,111.6
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,92.0,92.7,90.5,90.1,90.9,91.8,91.0,92.25,92.55,91.15,91.1,92.85,92.85,89.7,88.35,88.3
46,ADVENZYMES,Advanced Enzyme Technologies Limited,310.0,307.5,308.35,303.0,301.0,300.45,291.05,291.0,285.5,281.75,285.0,283.55,284.4,282.95,276.9,283.7
47,AEGISCHEM,Aegis Logistics Limited,371.0,375.5,366.5,356.4,363.5,361.0,359.0,356.35,352.0,345.95,357.0,362.05,366.9,343.7,353.0,328.9
48,AETHER,Aether Industries Limited,1020.0,1076.8,1059.4,1064.0,1057.9,1072.05,1057.7,1078.0,1076.0,1073.0,1075.0,1047.0,1050.0,1078.9,1058.05,1062.0
49,AFFLE,Affle (India) Limited,1075.3,1035.95,1051.2,1049.0,1065.0,1074.0,1070.5,1085.9,1087.0,1066.0,1058.05,1070.1,1030.0,1057.0,1074.75,1065.0
50,AGARIND,Agarwal Industrial Corporation Limited,796.8,797.0,834.0,805.95,780.7,824.0,820.0,762.55,680.8,670.0,628.0,617.0,619.0,609.95,617.05,615.1
51,AGI,AGI Greenpac Limited,639.0,690.0,669.85,658.0,640.0,625.9,631.0,637.0,612.3,611.6,616.05,618.35,627.7,575.0,567.0,563.45
52,AGRITECH,Agri-Tech (India) Limited,121.05,122.0,114.2,112.0,107.4,107.1,103.55,101.65,98.95,99.3,100.0,99.1,100.0,102.25,102.15,102.25
53,AGROPHOS,Agro Phos India Limited,33.8,33.9,33.7,33.9,34.2,34.25,33.3,34.0,34.35,34.0,34.85,34.15,34.6,35.5,35.55,35.0
54,AGSTRA,AGS Transact Technologies Limited,56.6,56.85,55.15,55.1,56.0,55.85,56.2,57.5,57.0,56.75,57.0,57.6,57.65,58.3,58.8,59.15
55,AHL,Abans Holdings Limited,268.1,273.8,269.7,320.0,332.5,326.8,325.8,327.0,326.8,305.6,298.85,296.5,281.95,280.1,276.2,274.65
56,AHLADA,Ahlada Engineers Limited,117.5,117.2,116.95,117.95,117.85,115.1,116.95,120.0,120.95,112.5,112.9,112.0,112.5,111.3,112.5,112.5
57,AHLEAST,Asian Hotels (East) Limited,124.8,126.0,128.0,123.9,127.3,127.1,124.5,128.0,124.0,125.45,123.75,127.05,127.85,121.5,122.9,121.6
58,AHLUCONT,Ahluwalia Contracts (India) Limited,701.2,682.0,676.0,683.1,674.7,687.1,685.15,690.0,685.0,670.0,686.8,672.1,687.7,671.35,673.7,621.0
59,AIAENG,AIA Engineering Limited,3470.0,3481.0,3548.8,3515.0,3515.0,3510.0,3509.0,3369.0,3350.0,3360.0,3325.0,3324.45,3189.25,3204.0,3190.0,3180.0
60,AIRAN,Airan Limited,20.9,21.15,21.65,21.85,20.45,20.75,21.9,21.3,19.45,17.8,17.75,18.1,18.2,17.75,17.6,17.2
61,AIROLAM,Airo Lam limited,91.5,91.8,89.15,89.95,88.6,87.0,87.0,87.85,88.9,88.7,92.5,91.0,89.0,86.7,88.0,89.6
62,AJANTPHARM,Ajanta Pharma Limited,1510.0,1510.8,1410.0,1411.0,1402.0,1404.95,1415.0,1444.0,1442.15,1415.0,1418.0,1400.0,1411.4,1415.55,1429.9,1447.0
63,AJMERA,Ajmera Realty & Infra India Limited,383.05,369.0,373.4,371.9,368.95,371.5,365.1,372.05,365.0,360.0,373.0,382.0,379.95,371.0,363.05,364.25
64,AJOONI,Ajooni Biotech Limited,,,,,,,,,,,,,,,,
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED,,,,,,,,,,,,,,,,
66,AKASH,Akash Infra-Projects Limited,,,,,,,,,,,,,,,,
67,AKG,Akg Exim Limited,,,,,,,,,,,,,,,,
68,AKI,AKI India Limited,,,,,,,,,,,,,,,,
69,AKSHAR,Akshar Spintex Limited,,,,,,,,,,,,,,,,
70,AKSHARCHEM,AksharChem India Limited,238.0,240.2,240.65,239.0,244.1,244.0,243.6,244.0,239.45,237.6,238.65,241.15,242.4,241.95,243.4,235.95
71,AKSHOPTFBR,Aksh Optifibre Limited,9.35,9.25,9.7,9.95,9.65,9.65,8.05,8.05,8.05,8.25,8.25,8.2,8.3,8.45,8.5,8.45
72,AKZOINDIA,Akzo Nobel India Limited,2720.25,2640.0,2660.0,2694.95,2683.0,2670.1,2749.45,2753.5,2742.95,2730.0,2724.9,2697.0,2674.0,2512.15,2490.0,2429.0
73,ALANKIT,Alankit Limited,,,,,,,,,,,12.6,12.2,12.5,12.65,13.2,11.3
74,ALBERTDAVD,Albert David Limited,710.0,720.0,715.0,717.0,696.05,664.5,672.0,672.0,674.0,657.0,667.0,662.05,639.0,630.0,637.9,618.7
75,ALEMBICLTD,Alembic Limited,76.8,76.45,75.95,77.55,78.5,76.15,76.45,77.8,76.35,77.15,77.8,74.9,72.8,72.5,73.05,71.65
76,ALICON,Alicon Castalloy Limited,838.0,885.1,847.95,836.0,856.0,846.2,861.9,849.0,851.0,831.65,841.1,844.0,828.65,860.0,866.0,866.2
77,ALKALI,Alkali Metals Limited,,,,,,,,,,,,,,,,
78,ALKEM,Alkem Laboratories Limited,3991.0,3950.05,3785.0,3705.0,3670.2,3646.8,3670.0,3631.0,3513.45,3506.0,3524.95,3515.95,3500.0,3498.0,3515.0,3504.0
79,ALKYLAMINE,Alkyl Amines Chemicals Limited,2431.0,2416.0,2403.9,2431.0,2466.0,2492.0,2501.5,2504.9,2465.0,2462.9,2480.0,2504.0,2534.8,2614.9,2659.0,2700.0
80,ALLCARGO,Allcargo Logistics Limited,299.85,299.0,296.0,301.05,299.75,297.95,304.8,289.0,289.0,290.1,288.85,289.5,287.1,286.9,279.55,281.0
81,ALLSEC,Allsec Technologies Limited,559.9,539.0,549.8,571.4,574.8,586.95,556.2,550.95,552.2,525.1,513.0,523.0,507.25,524.3,527.0,535.0
82,ALMONDZ,Almondz Global Securities Limited,85.95,82.55,80.0,81.8,81.9,82.0,82.7,78.0,77.0,78.0,78.0,77.55,77.5,76.55,78.95,79.1
83,ALOKINDS,Alok Industries Limited,15.0,15.15,14.9,15.3,15.35,16.0,15.95,16.05,15.85,15.85,15.95,15.95,16.25,16.5,16.65,16.75
84,ALPA,Alpa Laboratories Limited,69.45,69.1,69.0,69.6,70.4,70.6,71.1,69.6,70.4,70.25,69.6,69.65,69.8,70.6,69.1,69.9
85,ALPHAGEO,Alphageo (India) Limited,281.0,286.0,279.3,276.25,275.0,279.9,283.8,287.0,279.95,275.5,272.5,277.0,278.65,282.0,278.65,279.0
86,ALPSINDUS,Alps Industries Limited,,,,,,,,,,,,,,,,
