,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
0,20MICRONS,20 Microns Limited,-1.9509096683453488,-0.16306563391765805
1,21STCENMGM,21st Century Management Services Limited,,
2,360ONE,360 ONE WAM LIMITED,-2.0914696813977414,-0.7294801816048542
3,3IINFOLTD,3i Infotech Limited,-1.1719814663396013,0.6308283049917632
4,3MINDIA,3M India Limited,2.7778144654503345,2.8605353178840396
5,3PLAND,3P Land Holdings Limited,1.2493354598617916,-2.005730659025796
6,4THDIM,Fourth Dimension Solutions Limited,,
7,5PAISA,5Paisa Capital Limited,0.04925623091321052,-1.0623781676413233
8,63MOONS,63 moons technologies limited,0.21265284423179462,2.4788885862162804
9,A2ZINFRA,A2Z Infra Engineering Limited,,
10,AAATECH,AAA Technologies Limited,,
11,AAKASH,Aakash Exploration Services Limited,9.95762711864407,9.937888198757758
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,
13,AARON,Aaron Industries Limited,-0.9714285714285756,1.1755636924262907
14,AARTIDRUGS,Aarti Drugs Limited,3.3061765820386597,4.6080665939946375
15,AARTIIND,Aarti Industries Limited,0.8725260693764598,2.7103825136612056
16,AARTIPHARM,Aarti Pharmalabs Limited,1.9049118387909174,3.943708067419411
17,AARTISURF,Aarti Surfactants Limited,1.465606127559294,0.6448743606849044
18,AARVEEDEN,Aarvee Denims & Exports Limited,-2.1119324181626236,2.3783783783783785
19,AARVI,Aarvi Encon Limited,0.028565307434115575,-0.41957047361684213
20,AAVAS,Aavas Financiers Limited,0.2425810625050538,0.10522907560304601
21,ABAN,Aban Offshore Limited,,
22,ABB,ABB India Limited,-0.8524116729161202,1.1365108527953456
23,ABBOTINDIA,Abbott India Limited,-0.03601829512195393,0.0027150205798559955
24,ABCAPITAL,Aditya Birla Capital Limited,-1.5154038301415431,0.6241883456914167
25,ABFRL,Aditya Birla Fashion and Retail Limited,2.1860465116279104,3.3157135992311466
26,ABMINTLLTD,ABM International Limited,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,2.7651217596229416,0.6881278177647746
28,ACC,ACC Limited,0.8237561827174895,4.9846318321528695
29,ACCELYA,Accelya Solutions India Limited,-0.10988057716219478,-0.026017576318213352
30,ACCURACY,Accuracy Shipping Limited,,
31,ACE,Action Construction Equipment Limited,1.811023622047247,-1.7755060864886738
32,ACEINTEG,Ace Integrated Solutions Limited,1.6344725111441434,-0.32582938388625426
33,ACI,Archean Chemical Industries Limited,6.9320017623733365,1.7787742899850487
34,ACL,Andhra Cements Limited,1.0461538461538422,0.1540832049306684
35,ADANIENT,Adani Enterprises Limited,-0.9611156479678485,0.20930708339235135
36,ADANIGREEN,Adani Green Energy Limited,-0.15195430115090292,-0.6680456171735267
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,0.02373685995252011,-0.24355591637912924
38,ADANIPOWER,Adani Power Limited,-0.9547703672729838,-0.16003339827441931
39,ADANITRANS,Adani Transmission Limited,,
40,ADFFOODS,ADF Foods Limited,-2.0181593066446615,0.1777814528465733
41,ADL,Archidply Decor Limited,-1.0609209231105907,-3.4632034632034494
42,ADORWELD,Ador Welding Limited,-1.4213125821696335,-0.32583672746590464
43,ADROITINFO,Adroit Infotech Limited,0.92946965554949,0.9381898454746034
44,ADSL,Allied Digital Services Limited,1.2511499540018394,18.9863718460949
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,0.042188159189988944,-0.7675132570471633
46,ADVENZYMES,Advanced Enzyme Technologies Limited,-1.7181672882258894,-1.6633922724296066
47,AEGISCHEM,Aegis Logistics Limited,,
48,AETHER,Aether Industries Limited,-1.521035598705504,0.49325166675700083
49,AFFLE,Affle (India) Limited,-1.216874977091972,1.5219170945895695
50,AGARIND,Agarwal Industrial Corporation Limited,1.317483477813075,1.13715277777777
51,AGI,AGI Greenpac Limited,2.5847289990768854,7.6748313809016615
52,AGRITECH,Agri-Tech (India) Limited,-0.8623715216846323,0.8647719227268026
53,AGROPHOS,Agro Phos India Limited,-1.5164459632635643,0.4290004290004351
54,AGSTRA,AGS Transact Technologies Limited,-1.4450867052023015,-0.7483162883512203
55,AHL,Abans Holdings Limited,-0.06048387096774423,7.104297128050092
56,AHLADA,Ahlada Engineers Limited,,
57,AHLEAST,Asian Hotels (East) Limited,-0.4067891709917327,-0.014025245441782477
58,AHLUCONT,Ahluwalia Contracts (India) Limited,4.904884733193628,-0.48929173016765354
59,AIAENG,AIA Engineering Limited,0.0712166172106825,0.8124827990570849
60,AIRAN,Airan Limited,-2.4020227560050618,1.8345671065336344
61,AIROLAM,Airo Lam limited,-0.4519044544867624,-2.195874842149569
62,AJANTPHARM,Ajanta Pharma Limited,-0.7689580286309605,-1.3509968520461542
63,AJMERA,Ajmera Realty & Infra India Limited,2.0121460452184095,1.4173345206292771
64,AJOONI,Ajooni Biotech Limited,9.861591695501719,9.88593155893537
