,SYMBOL,NAME OF COMPANY,cm03JUL2024bhav.csv,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
0,20MICRONS,20 Microns Limited,230.0,216.09,219.3
1,21STCENMGM,21st Century Management Services Limited,,,
2,360ONE,360 ONE WAM LIMITED,944.95,952.0,983.0
3,3IINFOLTD,3i Infotech Limited,39.25,36.29,36.85
4,3MINDIA,3M India Limited,39450.05,38880.0,37949.0
5,3PLAND,3P Land Holdings Limited,36.45,38.4,37.02
6,4THDIM,Fourth Dimension Solutions Limited,,,
7,5PAISA,5Paisa Capital Limited,501.9,506.0,508.9
8,63MOONS,63 moons technologies limited,372.2,378.45,376.35
9,A2ZINFRA,A2Z Infra Engineering Limited,,,
10,AAATECH,AAA Technologies Limited,,,
11,AAKASH,Aakash Exploration Services Limited,16.34,15.57,14.16
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,
13,AARON,Aaron Industries Limited,262.0,260.0,264.0
14,AARTIDRUGS,Aarti Drugs Limited,534.5,544.2,529.0
15,AARTIIND,Aarti Industries Limited,713.0,708.95,705.1
16,AARTIPHARM,Aarti Pharmalabs Limited,622.0,649.3,635.05
17,AARTISURF,Aarti Surfactants Limited,693.0,690.0,681.0
18,AARVEEDEN,Aarvee Denims & Exports Limited,28.75,27.97,28.25
19,AARVI,Aarvi Encon Limited,145.99,140.01,140.55
20,AAVAS,Aavas Financiers Limited,1861.3,1859.35,1861.0
21,ABAN,Aban Offshore Limited,,,
22,ABB,ABB India Limited,8625.0,8500.05,8637.0
23,ABBOTINDIA,Abbott India Limited,27678.0,27680.0,27619.95
24,ABCAPITAL,Aditya Birla Capital Limited,237.5,236.64,240.55
25,ABFRL,Aditya Birla Fashion and Retail Limited,327.85,329.7,326.65
26,ABMINTLLTD,ABM International Limited,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,652.0,652.2,638.0
28,ACC,ACC Limited,2763.0,2768.0,2751.3
29,ACCELYA,Accelya Solutions India Limited,1735.0,1727.95,1730.0
30,ACCURACY,Accuracy Shipping Limited,,,
31,ACE,Action Construction Equipment Limited,1533.0,1493.0,1462.0
32,ACEINTEG,Ace Integrated Solutions Limited,34.01,34.2,33.5
33,ACI,Archean Chemical Industries Limited,726.3,729.0,678.85
34,ACL,Andhra Cements Limited,97.5,99.0,97.9
35,ADANIENT,Adani Enterprises Limited,3185.0,3150.0,3180.0
36,ADANIGREEN,Adani Green Energy Limited,1773.1,1779.75,1777.9
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,1510.05,1474.5,1475.0
38,ADANIPOWER,Adani Power Limited,715.85,711.0,715.95
39,ADANITRANS,Adani Transmission Limited,,,
40,ADFFOODS,ADF Foods Limited,238.12,237.62,241.99
41,ADL,Archidply Decor Limited,91.1,91.0,92.8
42,ADORWELD,Ador Welding Limited,1393.0,1394.5,1403.0
43,ADROITINFO,Adroit Infotech Limited,18.12,18.33,18.34
44,ADSL,Allied Digital Services Limited,228.9,219.5,217.0
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,70.0,71.36,71.15
46,ADVENZYMES,Advanced Enzyme Technologies Limited,377.0,369.95,376.05
47,AEGISCHEM,Aegis Logistics Limited,,,
48,AETHER,Aether Industries Limited,921.0,912.65,921.0
49,AFFLE,Affle (India) Limited,1366.5,1347.1,1361.15
50,AGARIND,Agarwal Industrial Corporation Limited,1248.45,1178.0,1169.9
51,AGI,AGI Greenpac Limited,771.15,779.25,760.55
52,AGRITECH,Agri-Tech (India) Limited,198.0,197.76,198.0
53,AGROPHOS,Agro Phos India Limited,46.31,46.37,46.85
54,AGSTRA,AGS Transact Technologies Limited,79.99,78.89,79.75
55,AHL,Abans Holdings Limited,492.0,491.7,498.0
56,AHLADA,Ahlada Engineers Limited,,,
57,AHLEAST,Asian Hotels (East) Limited,142.5,142.5,142.5
58,AHLUCONT,Ahluwalia Contracts (India) Limited,1318.8,1309.0,1250.0
59,AIAENG,AIA Engineering Limited,4269.0,4241.4,4230.0
60,AIRAN,Airan Limited,30.47,30.9,31.68
61,AIROLAM,Airo Lam limited,138.98,138.5,139.97
62,AJANTPHARM,Ajanta Pharma Limited,2237.65,2250.0,2264.85
63,AJMERA,Ajmera Realty & Infra India Limited,715.0,697.15,684.3
64,AJOONI,Ajooni Biotech Limited,6.73,6.35,5.78
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED,,,
66,AKASH,Akash Infra-Projects Limited,33.94,33.3,33.65
67,AKG,Akg Exim Limited,21.76,22.02,22.1
68,AKI,AKI India Limited,24.89,25.32,25.98
69,AKSHAR,Akshar Spintex Limited,,,
70,AKSHARCHEM,AksharChem India Limited,325.5,315.7,322.0
71,AKSHOPTFBR,Aksh Optifibre Limited,,,
72,AKZOINDIA,Akzo Nobel India Limited,2859.65,2865.5,2890.0
73,ALANKIT,Alankit Limited,23.5,23.9,23.9
74,ALBERTDAVD,Albert David Limited,1325.0,1341.0,1360.4
75,ALEMBICLTD,Alembic Limited,115.9,115.75,113.82
76,ALICON,Alicon Castalloy Limited,1323.95,1319.55,1329.0
77,ALKALI,Alkali Metals Limited,140.2,144.8,151.0
78,ALKEM,Alkem Laboratories Limited,4975.0,4939.8,4964.0
79,ALKYLAMINE,Alkyl Amines Chemicals Limited,2120.0,2136.0,2169.9
80,ALLCARGO,Allcargo Logistics Limited,61.93,61.91,62.13
81,ALLSEC,Allsec Technologies Limited,1134.0,1178.3,1224.0
82,ALMONDZ,Almondz Global Securities Limited,133.55,133.5,134.98
83,ALOKINDS,Alok Industries Limited,28.62,28.84,29.39
84,ALPA,Alpa Laboratories Limited,86.01,86.55,84.07
85,ALPHAGEO,Alphageo (India) Limited,405.0,409.0,396.1
86,ALPSINDUS,Alps Industries Limited,,,
87,AMARAJABAT,Amara Raja Batteries Limited,,,
88,AMBER,Amber Enterprises India Limited,4440.0,4480.0,4481.0
89,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,26.38,26.28,26.28
90,AMBIKCO,Ambika Cotton Mills Limited,1664.0,1664.1,1680.0
91,AMBUJACEM,Ambuja Cements Limited,692.0,693.0,695.0
92,AMDIND,AMD Industries Limited,73.49,71.93,71.99
93,AMIORG,Ami Organics Limited,1386.0,1323.3,1313.0
94,AMJLAND,Amj Land Holdings Limited,43.16,43.0,44.1
95,AMRUTANJAN,Amrutanjan Health Care Limited,765.0,780.8,786.8
96,ANANDRATHI,Anand Rathi Wealth Limited,3880.0,3880.0,3925.05
97,ANANTRAJ,Anant Raj Limited,485.45,481.5,444.6
98,ANDHRAPAP,ANDHRA PAPER LIMITED,613.0,619.95,585.0
99,ANDHRSUGAR,The Andhra Sugars Limited,118.95,119.5,115.7
100,ANDREWYU,Andrew Yule & Company Limited,,,
101,ANGELONE,Angel One Limited,2344.0,2357.0,2579.0
102,ANIKINDS,Anik Industries Limited,51.51,51.3,50.75
103,ANKITMETAL,Ankit Metal & Power Limited,,,
104,ANMOL,Anmol India Limited,,,
105,ANSALAPI,Ansal Properties & Infrastructure Limited,,,
106,ANTGRAPHIC,Antarctica Limited,1.52,1.53,1.51
107,ANUP,The Anup Engineering Limited,1816.3,1820.0,1825.0
108,ANURAS,Anupam Rasayan India Limited,765.95,762.55,769.5
109,APARINDS,Apar Industries Limited,8685.0,8458.9,8490.0
110,APCL,Anjani Portland Cement Limited,207.66,207.0,207.25
111,APCOTEXIND,Apcotex Industries Limited,446.0,436.4,438.25
112,APEX,Apex Frozen Foods Limited,225.0,222.6,223.5
113,APLAPOLLO,APL Apollo Tubes Limited,1599.6,1593.0,1616.0
114,APLLTD,Alembic Pharmaceuticals Limited,956.0,971.85,925.0
115,APOLLO,Apollo Micro Systems Limited,105.0,105.0,105.05
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited,6188.15,6104.85,6134.75
117,APOLLOPIPE,Apollo Pipes Limited,635.0,635.2,632.0
118,APOLLOTYRE,Apollo Tyres Limited,533.4,536.55,546.0
119,APOLSINHOT,Apollo Sindoori Hotels Limited,1502.0,1500.0,1497.3
120,APTECHT,Aptech Limited,218.94,223.0,221.0
121,APTUS,Aptus Value Housing Finance India Limited,341.9,337.0,345.45
122,ARCHIDPLY,Archidply Industries Limited,,,
123,ARCHIES,Archies Limited,25.0,25.21,25.8
124,ARENTERP,Rajdarshan Industries Limited,45.4,46.08,47.01
125,ARIES,Aries Agro Limited,278.8,257.2,257.1
126,ARIHANTCAP,Arihant Capital Markets Limited,72.0,73.25,72.01
127,ARIHANTSUP,Arihant Superstructures Limited,348.0,336.2,335.2
128,ARMANFIN,Arman Financial Services Limited,2115.8,2149.0,2139.5
129,AROGRANITE,Aro Granite Industries Limited,59.21,59.41,60.35
130,ARROWGREEN,Arrow Greentech Limited,582.0,559.0,569.7
131,ARSHIYA,Arshiya Limited,,,
132,ARSSINFRA,ARSS Infrastructure Projects Limited,,,
133,ARTEMISMED,Artemis Medicare Services Limited,179.0,178.02,176.5
134,ARTNIRMAN,Art Nirman Limited,62.3,62.1,64.33
135,ARVEE,Arvee Laboratories (India) Limited,,,
136,ARVIND,Arvind Limited,382.1,379.6,378.95
137,ARVINDFASN,Arvind Fashions Limited,523.85,515.6,515.0
138,ARVSMART,Arvind SmartSpaces Limited,722.0,698.05,702.5
139,ASAHIINDIA,Asahi India Glass Limited,699.65,688.5,687.5
140,ASAHISONG,Asahi Songwon Colors Limited,470.05,470.05,495.1
141,ASAL,Automotive Stampings and Assemblies Limited,1048.0,1027.9,1025.0
142,ASALCBR,Associated Alcohols & Breweries Ltd.,690.6,667.0,675.0
143,ASHAPURMIN,Ashapura Minechem Limited,426.9,415.5,419.0
144,ASHIANA,Ashiana Housing Limited,434.8,441.0,422.0
145,ASHIMASYN,Ashima Limited,46.93,49.45,47.1
146,ASHOKA,Ashoka Buildcon Limited,235.1,232.6,229.0
147,ASHOKLEY,Ashok Leyland Limited,229.7,234.75,238.89
148,ASIANENE,Asian Energy Services Limited,321.5,321.0,323.95
149,ASIANHOTNR,Asian Hotels (North) Limited,,,
150,ASIANPAINT,Asian Paints Limited,2929.9,2928.0,2923.2
151,ASIANTILES,Asian Granito India Limited,77.5,77.49,73.5
