,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
0,20MICRONS,20 Microns Limited,5.433597268977293,-4.292780324000548,3.087430415867518,13.828541001064961,1.3108917300534104,-2.5855273529875387,0.39569484013928463,4.591104734576754,0.48239534238980014,-0.24337629293655497,-0.5227247716518196,3.437677859988629,1.472711521801896,2.0029455081001504,6.861819326408565,-9.923447689254324,1.2632787826586211
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,6.287353573989963,-1.3966645058636362,1.2953677172874907,-0.433878157503712,-1.365928010317737,5.309297444128905,0.9724473257698485,2.5506616377932683,-1.0500347903093261,1.2423951328850522,-1.4453420853319925,-0.9564293304994658,1.0294303397751643,2.9050497172938226,4.022444564629529,-5.173408551830248,0.48959608323134296
3,3IINFOLTD,3i Infotech Limited,-0.027434842249671094,-1.3531799729364005,-0.45797413793101993,-1.1451398135818902,-0.7663847780127014,3.984611156911247,-0.8716970852628718,-1.3702310585706556,1.1413043478260916,-1.997336884154461,2.176870748299312,-3.0343007915567246,17.884914463452567,0.6259780907668209,0.15673981191222794,-7.803468208092493,-0.7173601147776184
4,3MINDIA,3M India Limited,-1.7966135715964702,-0.7963717204851778,0.5304823201094718,2.5080629810281847,0.2870252406205702,-0.3722832428028611,1.58759086580295,-1.0986702661093997,1.8242736024021902,1.7040686006203207,4.2922695237886135,1.2085084445971954,-0.687342857857434,2.519554639871858,2.4670389196523854,-4.327260737198679,1.2905496480455252
5,3PLAND,3P Land Holdings Limited,9.980928162746345,1.4511447920025775,-1.1475932419509065,3.702479338842978,-1.3694163677861158,0.6563833278634816,-1.8679549114331784,-1.1146496815286557,0.0,1.6181229773462786,-0.22602518566354632,2.211221122112205,2.0202020202020248,0.3378378378378306,1.543739279588346,-3.316749585406302,-0.4950495049505021
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,-0.6808014005057382,-1.19162021910435,-0.9612639192919137,0.23850410227055904,0.3158196956646525,-0.44778963414632417,-1.630740393627,-0.6054960409874243,1.1972096530920104,-0.46913116907487334,0.5756346135698697,0.34087681090807087,2.009079493866508,1.689421471368228,0.941899662899068,-2.191621411947248,-0.05815080441945233
8,63MOONS,63 moons technologies limited,-0.7161803713527821,-2.4831867563373056,1.443190763579113,1.1009417694654555,2.5016995241332394,-1.288417662058787,0.5533063427800301,1.3264050321345613,1.82400445558339,1.2833168805528166,1.3579188107489992,2.580645161290326,-0.9584664536741246,4.985516084769027,-0.981280193236715,-4.991394148020664,5.000000000000006
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,,,,,,,,
11,AAKASH,Aakash Exploration Services Limited,1.8755328218243723,-3.7735849056603703,0.24671052631578422,0.7456503728251852,1.173512154233031,-1.4863748967795187,-0.8190008190008307,-3.5545023696682407,0.0,7.653061224489798,2.528334786399295,0.17467248908298122,0.43859649122806077,4.109589041095901,-2.666666666666673,-5.063291139240503,4.867256637168132
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,-0.11478859766596951,-0.07646721468170087,0.01912045889101773,0.0,-1.078116133913381,0.1325757575757662,-0.7705318549144939,-1.699612045076655,0.763216679076677,1.0914565299209764,-0.6171685057041459,2.198012232415902,0.6734654608427939,1.0892822408091856,1.1410584300609898,-5.132512131392301,0.5253283302063705
