,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
0,20MICRONS,20 Microns Limited,222.0,210.85,222.5,213.05,189.0,186.7,190.9,189.9,181.5,181.0,182.0,181.0,175.6,173.15,170.0,160.0,176.0
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,881.95,832.0,850.0,848.8,840.0,855.0,810.0,801.65,784.95,787.15,779.25,791.8,800.0,791.0,770.0,751.0,779.0
3,3IINFOLTD,3i Infotech Limited,36.39,36.68,37.0,37.11,37.57,37.94,36.25,36.74,37.21,36.83,37.74,36.84,38.2,32.4,32.0,31.9,34.6
4,3MINDIA,3M India Limited,37275.0,38000.0,38000.0,37990.0,37075.0,37000.0,37010.0,36540.0,36900.0,36130.0,35475.0,34213.95,33557.85,33999.95,32700.0,32479.95,33840.0
5,3PLAND,3P Land Holdings Limited,34.6,31.75,31.5,31.65,30.25,31.06,30.49,31.69,31.76,31.5,30.8,30.98,30.4,29.55,29.7,29.55,30.15
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,511.5,515.7,520.3,527.8,526.0,523.75,525.9,532.0,536.85,532.95,533.3,531.0,527.5,520.0,510.25,500.0,514.5
8,63MOONS,63 moons technologies limited,374.1,379.0,387.4,381.6,375.0,367.65,373.7,370.5,366.95,362.1,354.0,353.0,342.0,344.3,327.4,331.2,348.6
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,,,,,,,,
11,AAKASH,Aakash Exploration Services Limited,12.0,11.65,12.17,12.17,12.1,11.98,12.15,12.18,12.6,12.7,11.81,11.43,11.5,11.45,11.0,11.25,11.85
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,264.55,261.0,260.5,262.5,261.5,263.0,263.75,264.5,270.0,268.05,265.25,267.55,264.0,261.0,259.0,255.9,269.8
14,AARTIDRUGS,Aarti Drugs Limited,514.0,515.0,515.0,511.0,521.95,525.0,524.0,520.0,515.1,514.0,513.0,512.55,512.95,493.1,482.0,478.8,489.0
15,AARTIIND,Aarti Industries Limited,694.7,695.0,705.3,706.65,713.4,683.65,689.0,675.5,676.0,666.0,658.5,662.35,635.0,639.5,628.0,599.45,625.55
16,AARTIPHARM,Aarti Pharmalabs Limited,623.85,625.0,624.0,636.9,629.5,640.0,649.0,606.0,598.3,604.95,606.1,600.6,605.0,588.5,579.0,548.0,578.0
17,AARTISURF,Aarti Surfactants Limited,682.9,686.9,695.3,715.0,720.0,676.15,676.7,683.0,689.0,694.0,685.8,680.0,663.0,666.2,663.0,644.5,660.0
18,AARVEEDEN,Aarvee Denims & Exports Limited,26.82,27.3,27.6,28.4,29.11,28.38,27.92,27.5,25.72,24.47,24.0,23.99,23.95,23.4,22.4,22.8,23.65
19,AARVI,Aarvi Encon Limited,141.85,139.0,139.7,141.0,139.0,136.6,138.03,138.52,139.0,141.45,140.0,136.02,134.2,133.9,124.0,123.0,135.05
20,AAVAS,Aavas Financiers Limited,1870.8,1860.0,1880.0,1914.0,1893.0,1930.05,1896.95,1849.5,1844.0,1907.8,1860.0,1729.5,1679.9,1630.0,1560.0,1540.0,1628.0
21,ABAN,Aban Offshore Limited,,,,,,,,,,,,,,,,,
22,ABB,ABB India Limited,8400.0,8400.4,8440.0,8395.0,8560.0,8555.0,8871.0,9031.0,8443.0,8280.0,8093.0,8075.0,8050.1,7996.0,7815.0,7660.0,8700.0
23,ABBOTINDIA,Abbott India Limited,27639.0,26998.0,26849.9,26792.8,26948.0,26980.0,27200.0,27449.0,27643.9,27525.0,27999.8,27848.2,27402.0,26990.0,27549.95,26360.0,25875.6
