,SYMBOL,NAME OF COMPANY,cm29MAY2024bhav.csv,cm28MAY2024bhav.csv,cm27MAY2024bhav.csv,cm24MAY2024bhav.csv,cm23MAY2024bhav.csv,cm22MAY2024bhav.csv,cm21MAY2024bhav.csv,cm18MAY2024bhav.csv,cm17MAY2024bhav.csv,cm16MAY2024bhav.csv,cm15MAY2024bhav.csv,cm14MAY2024bhav.csv,cm13MAY2024bhav.csv,cm10MAY2024bhav.csv,cm09MAY2024bhav.csv,cm08MAY2024bhav.csv,cm07MAY2024bhav.csv,cm06MAY2024bhav.csv,cm03MAY2024bhav.csv,cm02MAY2024bhav.csv
0,20MICRONS,20 Microns Limited,3.6016949152542477,-2.709069493521804,-2.019619157530294,-1.8686296715741693,-1.533314747700028,-1.5642151481888005,-3.0335284725918132,0.1332267519317879,-0.23923444976075953,1.6756756756756723,5.533371363377062,7.645072152287392,0.24622960911049904,0.6817477533312639,-4.186460807600956,-1.3762811127379178,-2.0367183017785493,2.4390243902439055,0.5317577548005942,-1.455604075691412
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,0.5151724571213196,-3.1223371880706,-0.26708753186840417,0.7584097859327273,2.89490245437382,1.261789446851896,-0.29228618630066777,-0.08887760284408906,3.0081088150667017,1.284938402437415,-0.553286786984593,-0.019756338491929832,1.4497594869054011,2.40131353902989,-1.8334452652787077,-0.6339673006339673,-2.2951033448523206,-3.1693920070711563,2.312512111620708,-1.2754288629551687
3,3IINFOLTD,3i Infotech Limited,-0.5354752342704227,0.0,-2.096985583224108,1.5978695073235725,-1.4435695538057853,-0.5221932114882396,-2.6683608640406713,-0.1269035532994852,0.5102040816326422,5.093833780160874,-1.7127799736495537,2.2911051212938043,0.6784260515603798,3.076923076923081,-6.413612565445033,2.6881720430107525,-2.362204724409445,-2.056555269922872,0.2577319587628903,-0.3851091142490518
4,3MINDIA,3M India Limited,-1.2407653942039711,9.606490832878196,0.814706088384449,-0.49022071279777824,-1.1095151221733073,-1.0967127158107768,1.410119739586097,2.585702103233457,1.0221237979547428,4.846771643363431,-0.901507649050888,-0.16748565828430764,0.81392471675559,-0.48674077888929523,-0.994190398362871,-1.6911278236096297,0.10102955536859384,-0.3417876673580992,-0.1225900296805789,-2.411866837774586
5,3PLAND,3P Land Holdings Limited,1.65016501650165,-3.0399999999999974,2.459016393442623,-1.294498381877018,0.48780487804877587,0.3262642740619949,2.166666666666662,0.0,-2.5974025974025996,-0.964630225080388,3.322259136212624,1.176470588235299,-0.5016722408026708,2.5728987993138936,-2.995008319467561,-0.4966887417218496,-3.3600000000000025,-4.870624048706245,0.4587155963302708,2.187500000000009
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,0.009489466691984857,-0.4534290572454142,-1.046924658814736,-0.1772884202668742,-1.849986262478253,-0.9524673439767779,1.2676832629065022,3.8245112064854467,0.8076146524372744,-2.0344730149759944,1.4912532262690121,1.4449185415050294,-0.6168080185042274,0.8455632228593466,-0.48360576458071375,-1.2794805690823894,2.868087614183276,-3.323521033140242,-0.08538899430740901,-1.2461351072800484
8,63MOONS,63 moons technologies limited,-4.995130096006691,-4.996695307336411,-4.998116287831214,-4.998806967310915,2.0950060901339884,-0.6774739898378929,1.885862196474802,-0.8554319931565441,0.33104462972044285,0.39389463318562845,0.8691333498882544,0.7505629221916438,-1.648622047244092,1.3466334164588472,-4.078459514412154,3.044121271875776,-0.49055678194751046,-3.2281034892001,-2.836715867158674,0.6149205244227949
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,,,,,,,,,,,-2.8206092515983454
11,AAKASH,Aakash Exploration Services Limited,4.761904761904753,-4.938271604938269,-4.705882352941174,4.938271604938269,4.741379310344834,4.97737556561085,4.739336492890995,1.4423076923076956,0.48309178743962045,-0.48076923076923755,-0.47846889952152094,-0.476190476190483,-0.943396226415091,0.0,-1.3953488372093057,3.365384615384612,-2.3474178403755865,-2.739726027397251,-0.9049773755656236,-0.4504504504504409
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,-0.9079118028534539,0.1298701298701383,-0.480059084194982,-2.5899280575539527,-1.3309671694764862,-1.3134851138353765,2.1284206760865634,0.5575539568345365,6.248805656411246,-0.6643887623386485,-0.2461654989585435,2.9836193447738046,-1.3466717968449404,2.8492283339928726,-1.864077669902917,-0.6366968936909039,-0.8607498087222647,-0.47591852274890545,-0.6430868167202743,0.0946611132146914
14,AARTIDRUGS,Aarti Drugs Limited,-2.0072624571313273,2.682547902641116,-1.959788789601945,0.1627339300244008,-0.7770713492784268,0.2732240437158401,1.2915129151291536,-0.5605952502293344,1.1130578171699546,1.0097855506974736,1.3398037767697062,0.4663487016428169,2.176738141650425,0.9621692543188229,-3.543556211769671,-0.40962083814725103,-3.0744171841596186,-2.2781536012733876,0.3594249201277978,-0.7432365474184917
15,AARTIIND,Aarti Industries Limited,-0.22243406418811207,2.0841780877463343,-0.7245793414378875,-0.9410638806922547,-0.5157092986353539,0.7111466240511459,-0.9967565857131485,0.5968486391851027,-0.007957348611453523,1.0371442354076292,-4.7626339969372165,-2.3843336572240146,-0.5500631829331647,1.1275652108546945,-5.806131841676698,-1.4513990649640607,-4.434515870898906,1.3928329952670662,-0.43756311006395154,0.13481631277384565
16,AARTIPHARM,Aarti Pharmalabs Limited,0.03500481316179781,-1.8298969072164908,-2.528889633227269,-1.6390742113499601,-0.2792607802874818,5.0565191129519285,-5.803462570104841,0.18729641693810706,1.0450094626841147,3.5090707776169023,-5.015775422700429,18.844341890202866,3.5028361030948285,2.0099482286062282,-2.4170381376919243,-1.6848461238800114,0.2832307842562728,0.009767532721236837,-0.13655872024971624,-0.09744689144416292
17,AARTISURF,Aarti Surfactants Limited,-0.4836393863825182,-0.913515537251969,0.5571869588133492,-0.7399103139013521,-0.8888888888888888,-0.17746228926353821,-2.134742021853969,-0.028937278448952008,-0.7823715188056338,1.7528483786152498,-2.367370222475759,5.277381577959626,-2.037064274157968,2.4949121881359693,-2.037953186147819,2.2113207547169775,-1.7718140707243004,-1.733809280979089,-0.13822202822638321,-2.9853906415414055
18,AARVEEDEN,Aarvee Denims & Exports Limited,0.40000000000000563,-0.7936507936507908,0.5988023952095751,0.8048289738430555,-2.9296875,-0.5825242718446546,-0.5791505791505737,1.5686274509803866,-0.5847953216374214,-0.7736943907156782,0.7797270955165804,0.39138943248531455,-1.3513513513513433,1.3698630136986218,-4.485981308411213,-2.550091074681236,3.780718336483932,-1.1214953271028065,-1.1090573012939027,-1.4571948998178454
19,AARVI,Aarvi Encon Limited,-0.8297258297258338,-1.8065887353878933,0.6776034236804687,-0.7433628318584151,0.4265908282971876,-0.035536602700769686,-0.4950495049505071,-0.07067137809186878,-0.1763668430335097,-1.2539184952978133,2.7191413237924946,-2.6471612678509304,2.3529411764705963,1.008282319049338,-2.2871217452498245,0.0,-2.202339986235387,-0.513522766175967,-2.2423025435073587,-2.096985583224108
20,AAVAS,Aavas Financiers Limited,-0.9190192931105111,-2.426066394373983,0.5496371777057336,0.5995278330019937,0.47127118379575883,-0.5864101768538658,1.9162661269921548,-0.9924548386086791,0.4560322053088439,0.7924935015532872,1.096013331624145,-1.3062592908878048,-1.1752570874878994,3.149987103430496,-2.630752809694236,-0.05647590361444928,1.8665302991562143,-1.3650263232558788,-0.7074216671361915,-1.6470660673603845
21,ABAN,Aban Offshore Limited,,,,,,,,,,,,,,,,,,,,
22,ABB,ABB India Limited,-0.42872844971548796,-1.96109950168784,-0.28318016670229107,-0.01602649714192407,0.12302096705175847,-1.5919432000280558,1.5760427248370747,0.5411313587414129,0.7970957779209373,2.731838254394313,0.04269352852731851,1.2098819550991058,11.22681396142567,2.7666031982362456,-2.8058580025741766,4.330437181078475,-0.7478009034126599,3.609736435497237,0.24017957351290956,2.1671826625387
23,ABBOTINDIA,Abbott India Limited,0.9121758411259975,-1.1875027387055836,0.19891531972488669,0.3157842326194225,-0.3305822981959299,-0.9174034324618194,-0.8183622251649721,0.6245411255329577,-0.19252106523298834,0.498278176286724,-1.3721880321453137,-1.1126415728386918,2.689368802260104,3.1612837605232627,-1.4438888224884237,0.7847304929677372,-0.14782883671121014,-1.4286752388455832,-1.8644427221051407,0.7460471412554966
24,ABCAPITAL,Aditya Birla Capital Limited,-0.5941901408450679,0.15428697377121195,-0.7438197330999856,1.1059500110595,1.208865010073883,-0.8214920071047932,0.7606263982102858,-0.9528030135165103,1.8046469659372886,0.5443411204354807,0.0680889695869166,-0.9219698673262798,2.844588344125812,3.2473734479465053,-3.878815698875368,-0.8646188850967034,-3.2364597093791256,-1.7308524448290785,-0.5593803786574919,0.4321521175453759
25,ABFRL,Aditya Birla Fashion and Retail Limited,4.741907261592305,-0.12233484795526833,-1.3618341665230091,3.533821167231853,-0.8318584070796541,0.390902629708608,6.570725241431534,-0.35849056603773155,0.7030210906327277,0.0380155863904071,1.7404757300328755,1.771304861247786,-1.0901304263188674,3.9247420594780564,-2.215628090999009,-0.019778481012662726,0.9181636726546951,-1.4361597481802106,-3.676331248815621,0.32319391634981853
26,ABMINTLLTD,ABM International Limited,0.16129032258064746,-4.4684129429892225,0.23166023166024044,-3.430275913497386,0.14936519790887873,3.7180480247869956,3.1150159744408876,-1.957713390759593,-1.6178736517719634,0.6201550387596988,0.38910505836575876,-4.104477611940299,3.875968992248062,-3.4431137724550855,-2.552881108679796,4.977029096477795,4.983922829581984,-4.160246533127894,2.285263987391651,-2.758620689655168
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,1.046873526360477,-1.5140256362623032,2.280068402052062,-1.534144059869045,-0.22400597349263493,4.211652562980273,-3.237647058823538,1.161572883937927,-2.3430962343096278,1.4622641509433962,-1.5693193425573488,1.2504701015419502,-1.1248489355768463,-0.8388643067846525,-1.3279970893214603,2.882275874976622,0.1405678942929435,-1.7041267501842299,-1.3449654671028881,1.3633014001474006
28,ACC,ACC Limited,-1.3246192449086842,-0.5628408959034361,-0.9255533199195205,-0.2732762574529923,2.872196119291493,0.6131692940641257,0.07521922445021045,0.15860742679275958,1.4420176179558308,-0.1225317879597526,1.0412015425208074,4.219989423585405,0.1525326780077499,-2.3177368954742046,-0.9612231513362773,0.1292864618604975,-2.13094998995783,-1.6552105554238798,0.07709185791378652,-0.09281933802039512
