,SYMBOL,NAME OF COMPANY,cm17NOV2023bhav.csv,cm16NOV2023bhav.csv,cm15NOV2023bhav.csv,cm13NOV2023bhav.csv,cm12NOV2023bhav.csv,cm10NOV2023bhav.csv,cm09NOV2023bhav.csv,cm08NOV2023bhav.csv,cm07NOV2023bhav.csv,cm06NOV2023bhav.csv,cm03NOV2023bhav.csv,cm02NOV2023bhav.csv,cm01NOV2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,20.5,20.1,19.75,19.4,19.05,18.7,18.35,18.0,18.2,18.15,18.05,18.0,18.25
2,360ONE,360 ONE WAM LIMITED,544.4,544.0,560.05,543.0,532.0,542.85,545.7,535.45,532.7,528.05,532.95,554.0,531.25
3,3IINFOLTD,3i Infotech Limited,36.75,36.9,36.0,36.55,36.4,35.3,35.95,36.35,37.75,37.85,37.45,37.35,37.2
4,3MINDIA,3M India Limited,30368.0,30666.0,31125.0,31116.0,31734.95,31545.0,31742.0,31260.0,31160.0,31416.0,31146.3,31350.0,30490.0
5,3PLAND,3P Land Holdings Limited,29.25,29.3,28.1,28.0,28.0,28.95,29.1,28.9,27.65,26.5,25.75,26.05,26.4
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,451.15,452.95,438.6,440.0,447.1,440.5,440.0,444.0,441.35,449.7,453.9,443.05,440.9
8,63MOONS,63 moons technologies limited,348.3,333.2,317.55,308.5,313.65,298.75,284.55,272.4,268.2,266.9,261.35,265.0,264.9
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,74.3,71.6,63.8,64.3,65.25,64.1,65.0,64.5,63.55,63.65,62.5,64.15,67.0
11,AAKASH,Aakash Exploration Services Limited,7.1,7.05,7.15,7.25,7.25,7.1,7.1,7.1,7.25,6.9,6.3,6.3,6.35
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,264.9,263.2,268.05,266.95,271.3,263.5,263.4,268.6,263.45,263.15,267.0,258.0,278.0
14,AARTIDRUGS,Aarti Drugs Limited,472.95,475.9,478.0,482.5,486.8,482.45,485.0,479.0,470.0,472.65,461.5,463.5,459.25
15,AARTIIND,Aarti Industries Limited,527.1,524.0,522.2,517.8,519.8,510.8,508.85,512.65,508.5,510.0,459.7,456.55,448.3
16,AARTIPHARM,Aarti Pharmalabs Limited,406.0,401.2,391.05,392.0,400.0,394.0,390.0,392.0,416.0,408.95,390.5,397.5,388.95
17,AARTISURF,Aarti Surfactants Limited,628.65,626.95,622.5,626.8,629.7,615.4,621.95,620.5,638.0,640.0,595.65,598.0,604.4
18,AARVEEDEN,Aarvee Denims & Exports Limited,23.95,24.25,24.35,24.75,24.95,24.05,24.0,24.4,25.25,25.6,25.9,25.6,24.65
19,AARVI,Aarvi Encon Limited,120.9,124.9,121.3,119.0,118.4,115.2,124.35,130.0,133.9,131.6,131.3,132.9,130.8
20,AAVAS,Aavas Financiers Limited,1445.6,1493.85,1490.0,1513.9,1509.0,1477.6,1461.5,1447.75,1458.9,1471.0,1456.6,1465.5,1427.0
21,ABAN,Aban Offshore Limited,,,,,,,,,,,,,
22,ABB,ABB India Limited,4289.0,4230.0,4261.7,4252.85,4234.9,4250.0,4315.0,4280.0,4210.0,4200.0,4158.6,4080.0,4062.6
23,ABBOTINDIA,Abbott India Limited,23599.0,23320.25,22988.65,23149.0,23850.0,23680.0,23899.95,24250.0,23800.0,23140.0,22802.0,22368.5,22246.0
24,ABCAPITAL,Aditya Birla Capital Limited,171.0,181.2,181.8,178.0,175.55,175.5,174.15,174.7,174.25,171.15,173.0,172.9,170.3
25,ABFRL,Aditya Birla Fashion and Retail Limited,215.45,215.05,215.3,215.7,218.35,216.0,215.1,217.9,219.35,216.85,214.95,215.45,213.45
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,52.1,54.8,57.65,54.95
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,455.0,454.8,454.0,447.5,459.1,455.2,453.1,445.5,451.5,445.0,447.0,437.4,446.0
28,ACC,ACC Limited,1850.0,1844.0,1836.0,1835.9,1838.5,1827.0,1844.0,1852.8,1859.95,1865.15,1858.0,1863.55,1841.0
29,ACCELYA,Accelya Solutions India Limited,1402.0,1410.0,1370.0,1372.0,1384.0,1400.0,1380.1,1394.7,1385.2,1395.0,1412.7,1385.0,1355.0
30,ACCURACY,Accuracy Shipping Limited,,9.7,9.8,9.8,9.75,9.35,9.75,9.65,10.1,9.15,,,
31,ACE,Action Construction Equipment Limited,870.0,869.8,869.3,853.45,873.5,861.5,810.0,847.0,843.0,869.0,834.0,842.0,846.75
32,ACEINTEG,Ace Integrated Solutions Limited,34.65,35.15,33.8,35.75,35.85,34.35,35.35,34.5,34.9,35.1,34.35,33.9,33.0
33,ACI,Archean Chemical Industries Limited,531.0,528.8,530.0,535.0,538.8,527.0,527.0,524.95,524.95,524.2,521.0,527.8,549.95
34,ACL,Andhra Cements Limited,97.0,98.0,97.8,98.8,98.4,95.3,97.25,98.9,97.5,96.3,95.45,94.5,95.0
35,ADANIENT,Adani Enterprises Limited,2209.0,2203.0,2223.95,2218.0,2207.5,2209.0,2219.95,2259.0,2235.45,2245.1,2229.25,2214.0,2215.9
36,ADANIGREEN,Adani Green Energy Limited,933.0,940.0,950.0,939.0,947.5,939.95,938.0,944.9,929.0,926.0,902.7,894.0,883.0
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,810.0,814.0,811.0,810.35,811.6,809.95,806.05,817.2,798.05,802.0,795.0,775.4,769.0
38,ADANIPOWER,Adani Power Limited,386.9,388.85,389.35,389.8,398.5,398.6,400.2,393.3,380.9,391.55,385.05,372.75,364.95
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,
40,ADFFOODS,ADF Foods Limited,215.95,219.0,218.5,222.0,228.0,227.7,235.15,234.95,231.0,228.05,229.0,226.5,227.45
41,ADL,Archidply Decor Limited,,,,,,,,,,,,,
42,ADORWELD,Ador Welding Limited,1529.5,1577.85,1480.1,1518.0,1535.0,1502.1,1452.0,1332.0,1310.3,1268.1,1210.4,1214.95,1190.1
43,ADROITINFO,Adroit Infotech Limited,,,,,,,,,,,,,
44,ADSL,Allied Digital Services Limited,128.95,119.0,120.0,118.1,117.7,115.45,116.7,117.9,119.0,119.65,119.0,116.4,113.55
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,106.2,109.5,110.7,118.0,123.1,120.7,121.5,123.25,118.2,118.65,115.95,113.1,113.5
46,ADVENZYMES,Advanced Enzyme Technologies Limited,314.25,323.5,327.0,325.75,334.7,324.1,329.0,332.9,329.0,319.15,307.65,307.5,310.45
47,AEGISCHEM,Aegis Logistics Limited,316.3,317.15,315.0,314.55,312.5,310.35,316.85,293.75,294.0,293.45,282.9,289.05,283.45
48,AETHER,Aether Industries Limited,892.0,888.15,897.2,900.0,913.0,889.0,887.0,888.25,892.6,882.0,893.1,884.0,869.9
49,AFFLE,Affle (India) Limited,1039.0,1026.0,1026.0,1019.95,1035.9,1017.7,1027.0,1046.0,1060.35,1074.0,1064.8,1069.95,1039.0
50,AGARIND,Agarwal Industrial Corporation Limited,950.0,924.0,910.0,860.0,865.0,893.0,905.0,901.5,890.05,876.0,861.5,857.0,848.85
51,AGI,AGI Greenpac Limited,966.4,984.0,974.8,970.0,987.5,966.0,977.0,964.0,968.0,980.2,965.0,894.0,897.0
