,SYMBOL,NAME OF COMPANY
0,20MICRONS,20 Microns Limited
1,21STCENMGM,21st Century Management Services Limited
2,360ONE,360 ONE WAM LIMITED
3,3IINFOLTD,3i Infotech Limited
4,3MINDIA,3M India Limited
5,3PLAND,3P Land Holdings Limited
6,4THDIM,Fourth Dimension Solutions Limited
7,5PAISA,5Paisa Capital Limited
8,63MOONS,63 moons technologies limited
9,A2ZINFRA,A2Z Infra Engineering Limited
10,AAATECH,AAA Technologies Limited
11,AAKASH,Aakash Exploration Services Limited
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
13,AARON,Aaron Industries Limited
14,AARTIDRUGS,Aarti Drugs Limited
15,AARTIIND,Aarti Industries Limited
16,AARTIPHARM,Aarti Pharmalabs Limited
17,AARTISURF,Aarti Surfactants Limited
18,AARVEEDEN,Aarvee Denims & Exports Limited
19,AARVI,Aarvi Encon Limited
20,AAVAS,Aavas Financiers Limited
21,ABAN,Aban Offshore Limited
22,ABB,ABB India Limited
23,ABBOTINDIA,Abbott India Limited
24,ABCAPITAL,Aditya Birla Capital Limited
25,ABFRL,Aditya Birla Fashion and Retail Limited
26,ABMINTLLTD,ABM International Limited
27,ABSLAMC,Aditya Birla Sun Life AMC Limited
28,ACC,ACC Limited
29,ACCELYA,Accelya Solutions India Limited
30,ACCURACY,Accuracy Shipping Limited
31,ACE,Action Construction Equipment Limited
32,ACEINTEG,Ace Integrated Solutions Limited
33,ACI,Archean Chemical Industries Limited
34,ACL,Andhra Cements Limited
35,ADANIENT,Adani Enterprises Limited
36,ADANIGREEN,Adani Green Energy Limited
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited
38,ADANIPOWER,Adani Power Limited
39,ADANITRANS,Adani Transmission Limited
40,ADFFOODS,ADF Foods Limited
41,ADL,Archidply Decor Limited
42,ADORWELD,Ador Welding Limited
43,ADROITINFO,Adroit Infotech Limited
44,ADSL,Allied Digital Services Limited
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
46,ADVENZYMES,Advanced Enzyme Technologies Limited
47,AEGISCHEM,Aegis Logistics Limited
48,AETHER,Aether Industries Limited
49,AFFLE,Affle (India) Limited
50,AGARIND,Agarwal Industrial Corporation Limited
51,AGI,AGI Greenpac Limited
52,AGRITECH,Agri-Tech (India) Limited
53,AGROPHOS,Agro Phos India Limited
54,AGSTRA,AGS Transact Technologies Limited
55,AHL,Abans Holdings Limited
56,AHLADA,Ahlada Engineers Limited
57,AHLEAST,Asian Hotels (East) Limited
58,AHLUCONT,Ahluwalia Contracts (India) Limited
59,AIAENG,AIA Engineering Limited
60,AIRAN,Airan Limited
61,AIROLAM,Airo Lam limited
62,AJANTPHARM,Ajanta Pharma Limited
63,AJMERA,Ajmera Realty & Infra India Limited
64,AJOONI,Ajooni Biotech Limited
65,AJRINFRA,AJR INFRA AND TOLLING LIMITED
66,AKASH,Akash Infra-Projects Limited
67,AKG,Akg Exim Limited
68,AKI,AKI India Limited
69,AKSHAR,Akshar Spintex Limited
70,AKSHARCHEM,AksharChem India Limited
71,AKSHOPTFBR,Aksh Optifibre Limited
72,AKZOINDIA,Akzo Nobel India Limited
73,ALANKIT,Alankit Limited
74,ALBERTDAVD,Albert David Limited
75,ALEMBICLTD,Alembic Limited
76,ALICON,Alicon Castalloy Limited
77,ALKALI,Alkali Metals Limited
78,ALKEM,Alkem Laboratories Limited
79,ALKYLAMINE,Alkyl Amines Chemicals Limited
80,ALLCARGO,Allcargo Logistics Limited
81,ALLSEC,Allsec Technologies Limited
82,ALMONDZ,Almondz Global Securities Limited
83,ALOKINDS,Alok Industries Limited
84,ALPA,Alpa Laboratories Limited
85,ALPHAGEO,Alphageo (India) Limited
86,ALPSINDUS,Alps Industries Limited
87,AMARAJABAT,Amara Raja Batteries Limited
88,AMBER,Amber Enterprises India Limited
89,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
90,AMBIKCO,Ambika Cotton Mills Limited
91,AMBUJACEM,Ambuja Cements Limited
92,AMDIND,AMD Industries Limited
93,AMIORG,Ami Organics Limited
94,AMJLAND,Amj Land Holdings Limited
95,AMRUTANJAN,Amrutanjan Health Care Limited
96,ANANDRATHI,Anand Rathi Wealth Limited
97,ANANTRAJ,Anant Raj Limited
98,ANDHRAPAP,ANDHRA PAPER LIMITED
99,ANDHRSUGAR,The Andhra Sugars Limited
100,ANDREWYU,Andrew Yule & Company Limited
101,ANGELONE,Angel One Limited
102,ANIKINDS,Anik Industries Limited
103,ANKITMETAL,Ankit Metal & Power Limited
104,ANMOL,Anmol India Limited
105,ANSALAPI,Ansal Properties & Infrastructure Limited
106,ANTGRAPHIC,Antarctica Limited
107,ANUP,The Anup Engineering Limited
108,ANURAS,Anupam Rasayan India Limited
109,APARINDS,Apar Industries Limited
110,APCL,Anjani Portland Cement Limited
111,APCOTEXIND,Apcotex Industries Limited
112,APEX,Apex Frozen Foods Limited
113,APLAPOLLO,APL Apollo Tubes Limited
114,APLLTD,Alembic Pharmaceuticals Limited
115,APOLLO,Apollo Micro Systems Limited
116,APOLLOHOSP,Apollo Hospitals Enterprise Limited
117,APOLLOPIPE,Apollo Pipes Limited
118,APOLLOTYRE,Apollo Tyres Limited
119,APOLSINHOT,Apollo Sindoori Hotels Limited
120,APTECHT,Aptech Limited
121,APTUS,Aptus Value Housing Finance India Limited
122,ARCHIDPLY,Archidply Industries Limited
123,ARCHIES,Archies Limited
124,ARENTERP,Rajdarshan Industries Limited
125,ARIES,Aries Agro Limited
126,ARIHANTCAP,Arihant Capital Markets Limited
127,ARIHANTSUP,Arihant Superstructures Limited
128,ARMANFIN,Arman Financial Services Limited
129,AROGRANITE,Aro Granite Industries Limited
130,ARROWGREEN,Arrow Greentech Limited
131,ARSHIYA,Arshiya Limited
132,ARSSINFRA,ARSS Infrastructure Projects Limited
133,ARTEMISMED,Artemis Medicare Services Limited
134,ARTNIRMAN,Art Nirman Limited
135,ARVEE,Arvee Laboratories (India) Limited
136,ARVIND,Arvind Limited
137,ARVINDFASN,Arvind Fashions Limited
138,ARVSMART,Arvind SmartSpaces Limited
139,ASAHIINDIA,Asahi India Glass Limited
140,ASAHISONG,Asahi Songwon Colors Limited
141,ASAL,Automotive Stampings and Assemblies Limited
142,ASALCBR,Associated Alcohols & Breweries Ltd.
143,ASHAPURMIN,Ashapura Minechem Limited
144,ASHIANA,Ashiana Housing Limited
145,ASHIMASYN,Ashima Limited
146,ASHOKA,Ashoka Buildcon Limited
147,ASHOKLEY,Ashok Leyland Limited
148,ASIANENE,Asian Energy Services Limited
149,ASIANHOTNR,Asian Hotels (North) Limited
150,ASIANPAINT,Asian Paints Limited
151,ASIANTILES,Asian Granito India Limited
152,ASMS,Bartronics India Limited
153,ASPINWALL,Aspinwall and Company Limited
154,ASTEC,Astec LifeSciences Limited
155,ASTERDM,Aster DM Healthcare Limited
156,ASTRAL,Astral Limited
157,ASTRAMICRO,Astra Microwave Products Limited
158,ASTRAZEN,AstraZeneca Pharma India Limited
159,ASTRON,Astron Paper & Board Mill Limited
160,ATALREAL,Atal Realtech Limited
161,ATAM,Atam Valves Limited
162,ATFL,Agro Tech Foods Limited
163,ATGL,Adani Total Gas Limited
164,ATLANTA,Atlanta  Limited
165,ATUL,Atul Limited
166,ATULAUTO,Atul Auto Limited
167,AUBANK,AU Small Finance Bank Limited
168,AURIONPRO,Aurionpro Solutions Limited
169,AUROPHARMA,Aurobindo Pharma Limited
170,AURUM,Aurum PropTech Limited
171,AUSOMENT,Ausom Enterprise Limited
172,AUTOAXLES,Automotive Axles Limited
173,AUTOIND,Autoline Industries Limited
174,AVADHSUGAR,Avadh Sugar & Energy Limited
175,AVALON,Avalon Technologies Limited
176,AVANTIFEED,Avanti Feeds Limited
177,AVG,AVG Logistics Limited
178,AVONMORE,Avonmore Capital & Management Services Limited
179,AVROIND,AVRO INDIA LIMITED
180,AVTNPL,AVT Natural Products Limited
181,AWHCL,Antony Waste Handling Cell Limited
182,AWL,Adani Wilmar Limited
183,AXISBANK,Axis Bank Limited
