,SYMBOL,NAME OF COMPANY,cm30OCT2023bhav.csv,cm27OCT2023bhav.csv,cm26OCT2023bhav.csv,cm25OCT2023bhav.csv,cm23OCT2023bhav.csv,cm20OCT2023bhav.csv,cm19OCT2023bhav.csv,cm18OCT2023bhav.csv,cm17OCT2023bhav.csv,cm16OCT2023bhav.csv,cm13OCT2023bhav.csv,cm12OCT2023bhav.csv,cm11OCT2023bhav.csv,cm10OCT2023bhav.csv,cm09OCT2023bhav.csv,cm06OCT2023bhav.csv,cm05OCT2023bhav.csv,cm04OCT2023bhav.csv,cm03OCT2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,-0.27322404371585085,-1.0810810810810774,0.0,-1.8567639257294501,-1.8229166666666556,-0.25974025974026343,-0.5167958656330822,0.259067357512957,1.8469656992084509,-0.5249343832021072,0.793650793650805,-0.5263157894736916,-0.5235602094240912,0.7915567282322014,-1.3020833333333335,-1.538461538461542,0.5154639175257806,-1.272264631043257,0.0
2,360ONE,360 ONE WAM LIMITED,-1.1636779855017212,0.5370157268891577,-1.128282924054242,-1.0228978978978853,-1.2876331635016296,-0.03704046670988897,0.4745068850018735,-2.4328249818445857,-0.41583800397759324,2.8353630194292085,5.213223787167456,-0.9686168151879226,0.34016911264457184,0.009720062208411396,1.319676974591292,2.783682558963458,-0.5636638147961774,-0.927403270841639,-0.1394144592710706
3,3IINFOLTD,3i Infotech Limited,0.8196721311475332,2.5210084033613405,-1.108033240997226,-1.0958904109589003,-5.684754521963831,-0.5141388174807088,-0.25641025641026005,0.25706940874036355,-0.12836970474969,1.168831168831176,-0.6451612903225806,-0.5134788189987236,-0.3836317135549836,0.38510911424903355,-5.575757575757569,0.6097560975609756,-0.36452004860266973,-1.7899761336515514,3.584672435105057
4,3MINDIA,3M India Limited,-0.5971372340925828,2.0748950553905274,-0.467292908544336,-0.2822383765934414,-2.3349516660186738,-1.1467784427990413,0.21661838293389277,-0.9966820721078922,0.20264698438099354,-0.6360383894599353,-0.6063782606942709,-0.3054785160175248,0.7080611785583643,0.18070100310142967,-1.0455825181941538,0.7951954983683528,-0.13604145225058828,-1.3710832737083172,-1.3494372890521622
5,3PLAND,3P Land Holdings Limited,4.901960784313726,3.658536585365848,-4.280155642023338,-4.990757855822555,-4.920913884007025,4.9815498154981475,4.835589941972921,-1.3358778625954117,-0.945179584120983,1.535508637236079,2.357563850687628,-2.115384615384618,-0.5736137667303961,-4.9090909090909145,-5.008635578583763,-4.926108374384237,9.927797833935019,9.920634920634921,5.219206680584551
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,4.317868626550301,4.112864658058343,-0.7593735168485972,-3.2598714416896337,-3.69223966393986,-4.102618467083635,-0.03179313268334763,2.6879965175753666,3.6080730634795355,-1.1920677361853882,3.089468243941653,0.0689575910814875,1.5285880980163389,2.807101727447214,-2.8664646935446307,-0.10476079618204834,4.120712640892013,-2.895139460986233,-3.6402812429122147
8,63MOONS,63 moons technologies limited,-0.8003048780487675,-0.9811320754717067,4.743083003952568,-4.420098224404983,-4.92097701149425,-1.346562721474136,4.479822288041453,1.0853293413173781,4.9901768172887975,4.991749174917489,-2.670146556916284,-1.4638971315529135,3.374233128834356,-2.7252834692659618,-4.881740775780513,-2.4907749077490773,1.5361558636193418,-3.121597096188756,-1.7124509454156303
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,0.31128404669261145,8.806096528365796,-2.5577557755775646,-0.9803921568627474,-9.063893016344716,-0.8106116433308728,0.22156573116690026,-1.5988372093023173,4.163512490537472,-1.6381236038719411,-2.4691358024691192,17.99485861182518,0.5167958656330823,2.200704225352113,-1.8998272884283272,-0.08628127696290641,1.3111888111888113,0.0,0.3508771929824611
11,AAKASH,Aakash Exploration Services Limited,2.2727272727272783,9.090909090909088,-1.62601626016261,-4.651162790697672,-5.147058823529407,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,3.0639197041732658,-2.0186335403726785,9.173102279148624,-4.2042583904727655,-1.615480205929329,-2.896052404757812,1.8433988764044944,-1.5044094760504811,2.5536442631672243,1.7135642135642135,,,,,,,,,
14,AARTIDRUGS,Aarti Drugs Limited,-1.422354314828572,-1.5054887611082046,3.494914520666517,-4.574083634486314,-6.596585977432741,-4.871559633027514,-1.6245487364620936,5.553967800323897,0.4497607655502436,0.4035357417371297,0.009608917075036902,0.6479690522243757,-0.46207162110126637,2.143559488692228,-2.8467711119602557,0.6441688299202044,-0.6210586661570802,-1.7369261102243923,-1.84314809694959
15,AARTIIND,Aarti Industries Limited,0.8824178248400618,2.4291040560388657,-2.069041823412252,-0.9534246575342517,-3.4493704369907974,-1.623815967523683,-1.0709504685408278,-0.6648936170212766,-0.366897676314719,0.9361176833659111,-0.22580314071640478,0.650826446280987,1.563319693631306,0.9212198221092806,-3.3565288579615298,0.2770651616213489,0.21596051007815947,-0.927152317880797,-0.13227513227512766
