,SYMBOL,NAME OF COMPANY,cm18OCT2023bhav.csv,cm17OCT2023bhav.csv,cm16OCT2023bhav.csv,cm13OCT2023bhav.csv,cm12OCT2023bhav.csv,cm11OCT2023bhav.csv,cm10OCT2023bhav.csv,cm09OCT2023bhav.csv,cm06OCT2023bhav.csv,cm05OCT2023bhav.csv,cm04OCT2023bhav.csv,cm03OCT2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,19.3,19.3,18.95,19.0,18.85,19.1,18.75,18.85,19.2,19.5,19.4,19.65
2,360ONE,360 ONE WAM LIMITED,529.0,545.25,550.0,536.0,510.65,515.0,513.55,514.0,507.65,493.85,494.9,501.0
3,3IINFOLTD,3i Infotech Limited,39.25,38.9,39.0,38.6,38.8,38.9,39.05,39.0,41.2,41.1,41.25,42.05
4,3MINDIA,3M India Limited,30402.0,30500.1,30698.95,30845.0,31030.0,31378.0,31000.0,30820.0,31150.0,30985.0,31124.35,31323.05
5,3PLAND,3P Land Holdings Limited,26.05,26.25,26.2,25.95,25.7,26.05,26.15,27.5,28.95,30.45,27.7,26.3
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,475.0,459.8,445.1,448.05,434.0,437.9,425.0,419.0,430.0,430.0,412.95,425.0
8,63MOONS,63 moons technologies limited,270.55,267.2,254.5,242.7,248.0,253.9,244.45,251.55,264.75,271.0,266.85,276.0
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,67.7,68.7,66.0,66.75,68.5,57.95,58.75,56.75,57.6,57.5,57.0,57.15
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,287.0,289.4,284.0,,,,,,,,,
14,AARTIDRUGS,Aarti Drugs Limited,555.8,522.85,522.8,520.25,521.0,518.7,515.25,510.25,523.85,518.15,522.0,533.0
15,AARTIIND,Aarti Industries Limited,483.7,488.1,491.8,486.85,487.15,484.0,477.0,471.4,487.0,487.9,486.3,491.5
16,AARTIPHARM,Aarti Pharmalabs Limited,409.6,416.0,410.0,418.8,419.4,423.0,415.0,416.5,425.0,431.0,435.0,448.5
17,AARTISURF,Aarti Surfactants Limited,609.95,610.45,611.05,608.0,611.1,613.05,615.25,605.0,631.95,631.0,629.6,631.55
18,AARVEEDEN,Aarvee Denims & Exports Limited,23.05,23.4,23.95,24.0,24.0,23.8,24.05,23.05,23.75,23.4,23.45,23.6
19,AARVI,Aarvi Encon Limited,137.5,139.4,138.95,138.9,137.95,138.8,131.0,128.0,132.0,127.2,124.0,125.0
20,AAVAS,Aavas Financiers Limited,1641.0,1642.6,1632.0,1653.7,1703.0,1707.1,1733.0,1759.2,1728.05,1745.95,1787.0,1798.0
21,ABAN,Aban Offshore Limited,53.4,51.95,49.35,47.4,48.0,46.5,45.75,45.4,45.5,45.55,45.4,47.45
22,ABB,ABB India Limited,4092.0,4275.0,4279.95,4229.0,4219.0,4170.1,4184.0,4083.7,4129.9,4062.05,3995.0,4090.0
23,ABBOTINDIA,Abbott India Limited,22351.0,22379.0,22400.4,22307.35,22345.0,22400.0,22780.5,22859.15,23040.0,22909.0,22830.0,23027.5
24,ABCAPITAL,Aditya Birla Capital Limited,181.0,183.0,180.45,179.6,180.65,178.6,177.4,175.1,181.5,175.65,175.9,180.85
25,ABFRL,Aditya Birla Fashion and Retail Limited,230.4,231.0,226.45,222.5,223.0,222.1,220.15,214.5,219.0,219.1,214.4,215.3
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,440.1,446.2,449.5,458.0,444.5,432.45,435.0,432.4,435.0,437.35,437.9,437.65
28,ACC,ACC Limited,2014.0,2036.15,2030.9,2010.6,2025.5,2039.55,1984.0,1963.1,2008.0,1994.5,2005.0,2032.05
29,ACCELYA,Accelya Solutions India Limited,1689.1,1686.0,1712.0,1696.95,1716.0,1679.0,1685.0,1710.0,1670.3,1649.0,1665.0,1679.0
30,ACCURACY,Accuracy Shipping Limited,,,,,,,,,,,,
31,ACE,Action Construction Equipment Limited,700.25,704.75,703.5,711.8,707.0,713.25,698.4,687.9,704.0,690.0,697.0,675.9
32,ACEINTEG,Ace Integrated Solutions Limited,32.25,33.5,34.25,34.8,34.1,32.95,32.65,33.65,34.85,35.85,34.55,35.0
33,ACI,Archean Chemical Industries Limited,658.0,673.05,658.4,650.7,650.0,648.5,632.0,604.0,589.0,598.0,603.2,612.0
34,ACL,Andhra Cements Limited,97.1,98.1,96.5,96.5,97.95,98.0,96.0,96.6,98.75,96.55,97.0,96.05
35,ADANIENT,Adani Enterprises Limited,2410.0,2429.8,2430.0,2449.0,2505.1,2497.0,2495.0,2440.0,2479.9,2466.0,2464.3,2387.1
36,ADANIGREEN,Adani Green Energy Limited,940.0,947.65,938.0,951.0,951.0,960.05,941.75,937.0,960.0,958.0,970.45,974.0
