,SYMBOL,NAME OF COMPANY,cm29SEP2023bhav.csv,cm28SEP2023bhav.csv,cm27SEP2023bhav.csv,cm26SEP2023bhav.csv,cm25SEP2023bhav.csv,cm22SEP2023bhav.csv,cm21SEP2023bhav.csv,cm20SEP2023bhav.csv,cm18SEP2023bhav.csv,cm15SEP2023bhav.csv,cm14SEP2023bhav.csv,cm13SEP2023bhav.csv,cm12SEP2023bhav.csv,cm11SEP2023bhav.csv,cm08SEP2023bhav.csv,cm07SEP2023bhav.csv,cm06SEP2023bhav.csv,cm05SEP2023bhav.csv,cm04SEP2023bhav.csv,cm01SEP2023bhav.csv
0,20MICRONS,20 Microns Limited,,,,,,,,,,,,,,,,,,,,
1,21STCENMGM,21st Century Management Services Limited,19.65,19.5,19.5,18.8,19.0,19.35,19.4,19.2,19.6,19.7,19.8,20.0,20.3,19.95,19.6,19.4,19.1,19.25,18.9,18.75
2,360ONE,360 ONE WAM LIMITED,503.5,511.0,512.15,514.0,522.75,529.95,517.9,519.95,511.15,525.0,546.85,529.0,540.2,550.0,521.0,514.05,506.0,513.0,503.0,475.0
3,3IINFOLTD,3i Infotech Limited,40.4,40.9,41.2,40.4,41.35,40.45,37.7,38.5,39.0,38.35,38.45,37.0,36.0,39.1,39.2,40.8,41.1,40.0,33.35,32.75
4,3MINDIA,3M India Limited,31793.0,30608.05,31226.0,31025.0,31444.0,31130.15,29854.35,29831.0,30100.55,30276.85,31150.0,31100.0,31652.0,32600.0,32750.0,32051.0,32425.0,32500.0,32922.0,31199.95
5,3PLAND,3P Land Holdings Limited,24.1,23.25,23.4,22.8,22.8,23.5,23.8,23.5,22.8,22.5,22.9,22.5,21.8,23.75,,,,,,
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,441.6,439.0,439.5,444.5,442.9,429.0,424.95,435.0,437.65,442.5,446.9,446.0,447.0,462.9,465.0,466.0,459.25,465.0,447.0,450.0
8,63MOONS,63 moons technologies limited,279.9,274.25,286.4,285.6,298.0,298.0,286.2,292.6,297.0,294.5,302.45,301.5,303.0,319.7,322.3,322.0,320.8,328.5,328.8,331.0
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,56.65,58.2,59.3,58.3,59.3,60.05,60.0,61.0,62.5,61.4,60.0,60.4,58.85,62.0,61.85,61.65,64.7,64.5,66.5,65.3
11,AAKASH,Aakash Exploration Services Limited,,,,,,,,,,,,,,,,,,,,
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,,,,,,,,,,,
13,AARON,Aaron Industries Limited,,,,,,,,,,,,,,,,,,,,
14,AARTIDRUGS,Aarti Drugs Limited,546.0,543.0,548.4,548.15,550.55,552.9,567.8,576.2,594.0,585.5,603.5,600.0,582.65,613.0,616.8,615.75,611.0,612.4,593.5,568.8
15,AARTIIND,Aarti Industries Limited,491.1,487.5,496.35,494.45,496.35,499.3,503.2,507.9,512.7,512.75,522.9,526.3,498.85,516.3,517.9,520.3,515.0,507.0,500.3,491.0
16,AARTIPHARM,Aarti Pharmalabs Limited,464.95,450.0,447.0,443.95,438.8,435.45,437.75,445.0,457.0,473.7,453.5,438.2,427.7,442.0,453.0,446.85,437.75,433.0,404.0,388.85
17,AARTISURF,Aarti Surfactants Limited,638.0,625.0,641.95,643.0,645.0,657.5,654.05,638.2,644.25,644.0,655.0,646.0,622.0,661.85,662.05,666.05,668.0,663.45,644.0,643.9
18,AARVEEDEN,Aarvee Denims & Exports Limited,24.2,23.85,23.65,24.2,24.4,24.8,24.85,24.7,25.45,25.3,25.25,24.35,24.2,26.0,26.7,26.35,23.85,23.8,23.1,23.05
19,AARVI,Aarvi Encon Limited,124.65,124.95,127.45,128.0,125.6,125.85,128.0,125.5,127.2,127.0,127.4,126.05,124.5,127.7,128.8,129.6,127.85,128.5,130.4,129.55
20,AAVAS,Aavas Financiers Limited,1734.0,1707.75,1709.1,1720.0,1707.0,1652.0,1658.0,1673.0,1664.0,1690.0,1664.4,1644.95,1649.8,1718.0,1669.0,1671.0,1630.0,1633.0,1641.5,1628.0
21,ABAN,Aban Offshore Limited,48.8,47.1,45.15,45.25,44.9,45.1,45.65,45.45,45.9,46.25,47.5,46.1,43.9,47.9,49.05,50.55,50.0,48.0,47.25,48.35
22,ABB,ABB India Limited,4099.0,4118.85,4237.0,4219.95,4170.4,4189.0,4278.1,4336.0,4320.0,4361.5,4361.1,4336.0,4398.0,4620.0,4460.0,4445.0,4488.0,4443.2,4308.0,4289.7
23,ABBOTINDIA,Abbott India Limited,23090.0,22227.0,22603.15,22622.65,22605.2,22500.05,22849.0,23150.05,23299.7,23290.0,23000.0,23017.0,22842.6,23029.05,23056.2,23000.0,23081.75,22810.0,22350.55,22700.0
24,ABCAPITAL,Aditya Birla Capital Limited,179.95,176.35,180.5,174.65,176.55,174.9,176.3,180.35,183.0,183.4,181.8,181.05,180.5,190.15,186.8,187.55,186.9,191.3,190.55,184.6
25,ABFRL,Aditya Birla Fashion and Retail Limited,214.8,211.4,215.75,215.35,216.5,214.85,216.5,222.95,225.85,225.5,227.5,223.4,222.9,233.6,229.35,231.65,230.3,231.6,219.15,218.9
26,ABMINTLLTD,ABM International Limited,,,,,,,,,,,,,,,,,,,,
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,431.0,431.7,423.0,424.05,419.0,417.0,421.0,419.0,419.75,416.0,420.0,414.0,410.5,425.55,422.1,412.0,408.0,413.0,398.0,389.6
